record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,m_Name,festival_ash-oath,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,festivalId,festival:ash-oath,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,displayName,재의 맹세일,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,description,악마들이 지난 계약을 검토하고 지킬 약속만 다시 봉인한다.,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,authoringRevision,1,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,sourceNote,V20 hand-authored festival manifest.,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,season,3,Season,Winter,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,dayOfSeason,12,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,convertsActiveGrief,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,cultureId,culture:demon-contract,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,requiredBuildingDefinitionId,building:faction-audience-hall,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,requiredItems.0.itemDefinitionId,material:paper,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,requiredItems.0.amount,12,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,minimumParticipants,6,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,successOutcome.moodDelta,6,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,successOutcome.moodDurationDays,10,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,successOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,successOutcome.griefConversionPercent,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,partialOutcome.moodDelta,2,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,partialOutcome.moodDurationDays,5,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,partialOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,partialOutcome.griefConversionPercent,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,failureOutcome.moodDelta,-3,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,failureOutcome.moodDurationDays,4,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,failureOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:ash-oath,festival:ash-oath,failureOutcome.griefConversionPercent,0,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,m_Name,festival_blood-lantern,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,festivalId,festival:blood-lantern,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,displayName,혈향 등불제,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,description,뱀파이어가 동의받은 혈향 촛불로 생존자와 사망자의 이름을 밝힌다.,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,authoringRevision,1,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,sourceNote,V20 hand-authored festival manifest.,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,season,2,Season,Autumn,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,dayOfSeason,30,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,convertsActiveGrief,1,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,cultureId,culture:vampire-nightcourt,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,requiredBuildingDefinitionId,workstation:v19:memorial-room,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,requiredItems.0.itemDefinitionId,craft:candle,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,requiredItems.0.amount,8,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,minimumParticipants,6,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,successOutcome.moodDelta,6,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,successOutcome.moodDurationDays,10,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,successOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,successOutcome.griefConversionPercent,25,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,partialOutcome.moodDelta,2,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,partialOutcome.moodDurationDays,5,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,partialOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,partialOutcome.griefConversionPercent,10,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,failureOutcome.moodDelta,-3,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,failureOutcome.moodDurationDays,4,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,failureOutcome.factionRapportDelta,0,,,explicit-serialized
FestivalDefinitionSO|festival:blood-lantern,festival:blood-lantern,failureOutcome.griefConversionPercent,0,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,m_Name,festival_clear-confluence,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,festivalId,festival:clear-confluence,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,displayName,맑은 합류제,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,description,슬라임 가구가 깨끗한 수조에서 색과 기억을 나눈다.,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,authoringRevision,1,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,sourceNote,V20 hand-authored festival manifest.,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,season,1,Season,Summer,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,dayOfSeason,20,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,convertsActiveGrief,0,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,cultureId,culture:slime-confluence,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,requiredBuildingDefinitionId,building:clean-water-reservoir,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,requiredItems.0.itemDefinitionId,resource:clean-water,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,requiredItems.0.amount,24,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,minimumParticipants,8,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,successOutcome.moodDelta,6,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,successOutcome.moodDurationDays,10,,,explicit-serialized
FestivalDefinitionSO|festival:clear-confluence,festival:clear-confluence,successOutcome.factionRapportDelta,0,,,explicit-serialized
