record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,m_Name,culture_adventurer-frontier,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,stableId,culture:adventurer-frontier,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,displayName,개척자 연맹 문화,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,description,서로 다른 고향의 규칙을 원정대식 실용주의로 엮는다.,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,authoringRevision,1,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,defaultSpeciesId,Adventurer,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,preferredItemIds.0,food:preserved-ration,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,forbiddenItemIds.0,food:raw-monster-meat,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,preferredFacilityIds,[],,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,environmentalPreferences.0,lit communal rooms,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.preferredRoles,5,FacilityRole,Meal | Rest,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.idealTemperatureC,20,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.temperatureToleranceC,10,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.minimumVentilation,45,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.minimumLighting,55,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.maximumLighting,100,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.minimumCleanliness,40,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.prefersSharedSpace,1,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,roomPreference.prefersPrivateSpace,0,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,etiquetteRules.0,전리품은 귀환자 전원이 확인한 뒤 나눈다.,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,ceremonyIds.0,practice:adventurer-return-table,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,ceremonyIds.1,practice:adventurer-name-token,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.0.id,culture:beastkin-pack,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.0.weight,0.88,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.1.id,culture:demon-contract,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.1.weight,0.91,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.2.id,culture:golem-core,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.2.weight,0.94,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.3.id,culture:harpy-aerie,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.3.weight,0.97,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.4.id,culture:kobold-toolclan,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.4.weight,1,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.5.id,culture:myconid-grove,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.5.weight,1.03,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.6.id,culture:orc-vigil,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.6.weight,1.06,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.7.id,culture:slime-confluence,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.7.weight,1.09,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.8.id,culture:vampire-nightcourt,,,explicit-serialized
SpeciesCultureDefinitionSO|culture:adventurer-frontier,culture:adventurer-frontier,otherCultureAttitudes.8.weight,1.12,,,explicit-serialized
