record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
AnatomyProfileSO|anatomy:avian,anatomy:avian,m_Name,anatomy_avian,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,profileId,anatomy:avian,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,displayName,조류형,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,anatomyFamily,avian,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,speciesIds.0,Harpy,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.nodeId,head,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.displayName,머리,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.parentNodeId,,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.kind,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.functions,6,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.maxHealth,15,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.capacityWeight,0.35,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.vital,1,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.removable,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.pairedGroupId,,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.legacyBodyPart,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.0.mapsToLegacyBodyPart,1,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.nodeId,brain,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.displayName,뇌,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.parentNodeId,head,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.kind,1,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.functions,2,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.maxHealth,10,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.capacityWeight,0.7,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.vital,1,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.removable,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.pairedGroupId,,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.legacyBodyPart,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.1.mapsToLegacyBodyPart,0,,,explicit-serialized
AnatomyProfileSO|anatomy:avian,anatomy:avian,nodes.2.nodeId,eye:left,,,explicit-serialized
