record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,m_Name,A12_ArticulatedPlate,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,equipmentId,armor:articulated-plate,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,displayName,관절식 판금갑,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,description,관절식 판금갑 전투 장비,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,itemId,equipment-item:armor:articulated-plate,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,weight,13,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,occupiedHands,0,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,maxDurability,120,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredCraftWork,256,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,defaultMaterialId,material:iron,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,primaryMaterialAmount,10,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,allowedMaterialFamilies,786432,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,craftMaterials,[],,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.0.itemId,component:growth-frame,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.0.amount,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.1.itemId,component:textile-hardener,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.1.amount,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.2.itemId,material:plate-blank,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredComponentInputs.2.amount,2,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,requiredResearchId,research:equipment:articulated-plate,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,era,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,tier,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,slotProfile,3,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,lineageKind,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,growthEquipment,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,growthBaseStatMultiplier,0.88,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.primaryProficiencyId,proficiency:crafting,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.secondaryProficiencyId,,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.primaryWeight,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.combinationMode,0,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.recommendedRank,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,proficiency.minimumRiskRank,0,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,effects,[],,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,allowMythicInspiration,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,layer,3,CombatArmorLayer,Plate,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,collisionTag,torso-articulated-plate,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.0.bodyPart,1,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.0.slashDefense,34,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.0.pierceDefense,31,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.0.bluntDefense,23,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.1.bodyPart,2,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.1.slashDefense,22,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.1.pierceDefense,20,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.1.bluntDefense,16,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.2.bodyPart,3,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.2.slashDefense,22,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.2.pierceDefense,20,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,bodyPartDefense.2.bluntDefense,16,,,explicit-serialized
CombatArmorSO|equipment-item:armor:articulated-plate,equipment-item:armor:articulated-plate,Kind,0,CombatEquipmentKind,Melee Weapon,implicit-csharp-default
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,m_Name,A17_BlacksteelCarapace,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,equipmentId,armor:blacksteel-carapace,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,displayName,흑강 갑각,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,description,흑강 갑각 전투 장비,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,itemId,equipment-item:armor:blacksteel-carapace,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,weight,15,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,occupiedHands,0,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,maxDurability,120,,,explicit-serialized
CombatArmorSO|equipment-item:armor:blacksteel-carapace,equipment-item:armor:blacksteel-carapace,requiredCraftWork,328,,,explicit-serialized
