record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,asset:DefenseLinkedDropGate_1_Damage,m_Name,DefenseLinkedDropGate_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,asset:DefenseLinkedDropGate_1_Damage,amount,24,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,asset:DefenseLinkedDropGate_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,asset:DefenseLinkedDropGate_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,asset:DefenseLinkedDropGate_1_Damage,logTag,낙하문 충격,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,asset:DefenseWallLauncher_1_Damage,m_Name,DefenseWallLauncher_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,asset:DefenseWallLauncher_1_Damage,amount,28,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,asset:DefenseWallLauncher_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,asset:DefenseWallLauncher_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,asset:DefenseWallLauncher_1_Damage,logTag,벽면 볼트,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,asset:P1_AlarmCoil_1_Damage,m_Name,P1_AlarmCoil_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,asset:P1_AlarmCoil_1_Damage,amount,12,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,asset:P1_AlarmCoil_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,asset:P1_AlarmCoil_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,asset:P1_AlarmCoil_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,asset:P1_CorrosionFreezer_1_Damage,m_Name,P1_CorrosionFreezer_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,asset:P1_CorrosionFreezer_1_Damage,amount,12,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,asset:P1_CorrosionFreezer_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,asset:P1_CorrosionFreezer_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,asset:P1_CorrosionFreezer_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,asset:P1_FireVent_1_Damage,m_Name,P1_FireVent_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,asset:P1_FireVent_1_Damage,amount,18,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,asset:P1_FireVent_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,asset:P1_FireVent_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,asset:P1_FireVent_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,asset:P1_IceVent_1_Damage,m_Name,P1_IceVent_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,asset:P1_IceVent_1_Damage,amount,5,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,asset:P1_IceVent_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,asset:P1_IceVent_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,asset:P1_IceVent_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,asset:P1_LightningPillar_1_Damage,m_Name,P1_LightningPillar_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,asset:P1_LightningPillar_1_Damage,amount,8,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,asset:P1_LightningPillar_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,asset:P1_LightningPillar_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,asset:P1_LightningPillar_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,asset:P1_PoisonPool_1_Damage,m_Name,P1_PoisonPool_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,asset:P1_PoisonPool_1_Damage,amount,6,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,asset:P1_PoisonPool_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,asset:P1_PoisonPool_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,asset:P1_PoisonPool_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,asset:P1_SpikeTrap_1_Damage,m_Name,P1_SpikeTrap_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,asset:P1_SpikeTrap_1_Damage,amount,14,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,asset:P1_SpikeTrap_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,asset:P1_SpikeTrap_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,asset:P1_SpikeTrap_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,asset:P1_StormFireTrap_1_Damage,m_Name,P1_StormFireTrap_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,asset:P1_StormFireTrap_1_Damage,amount,18,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,asset:P1_StormFireTrap_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,asset:P1_StormFireTrap_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,asset:P1_StormFireTrap_1_Damage,logTag,피해,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,asset:P1_VenomSpikeTrap_1_Damage,m_Name,P1_VenomSpikeTrap_1_Damage,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,asset:P1_VenomSpikeTrap_1_Damage,amount,18,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,asset:P1_VenomSpikeTrap_1_Damage,duration,0,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,asset:P1_VenomSpikeTrap_1_Damage,stacks,1,,,explicit-serialized
DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,asset:P1_VenomSpikeTrap_1_Damage,logTag,피해,,,explicit-serialized
