record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,m_Name,P1_AlarmCoil_3_GuardAttack,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,amount,8,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,duration,0,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,stacks,1,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,logTag,경비 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,asset:P1_AlarmCoil_3_GuardAttack,damageReason,경비실 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,m_Name,P1_Barracks_1_GuardAttack,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,amount,16,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,duration,0,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,stacks,1,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,logTag,경비 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,asset:P1_Barracks_1_GuardAttack,damageReason,경비실 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,m_Name,P1_GuardRoom_1_GuardAttack,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,amount,10,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,duration,0,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,stacks,1,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,logTag,경비 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,asset:P1_GuardRoom_1_GuardAttack,damageReason,경비실 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,m_Name,P1_StormFireTrap_4_GuardAttack,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,amount,10,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,duration,0,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,stacks,1,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,logTag,경비 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,asset:P1_StormFireTrap_4_GuardAttack,damageReason,경비실 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,m_Name,P1_WarBarracks_1_GuardAttack,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,amount,24,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,duration,0,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,stacks,1,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,logTag,경비 교전,,,explicit-serialized
DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,asset:P1_WarBarracks_1_GuardAttack,damageReason,경비실 교전,,,explicit-serialized
