record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,m_Name,enemy_crown-chaplain,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,stableId,enemy:crown-chaplain,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,displayName,왕령 군종사제,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,description,부상병을 치료하고 전열 붕괴를 늦춘다.,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,authoringRevision,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,sourceNote,V20 hand-authored enemy archetype.,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,factionId,human:crown,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,speciesTag,Human,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,role,3,EnemyCombatRole,Support,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,maxHealth,86,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,attack,6,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,strength,5.1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,toughness,7,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,dexterity,7,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,moveSpeed,4,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,equipment.weaponDefinitionId,weapon:spear,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,equipment.armorDefinitionId,armor:mail-shirt,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,equipment.shieldDefinitionId,,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,equipment.ammunitionItemId,,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,abilityIds.0,enemy-ability:field-dressing,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,abilityIds.1,enemy-ability:rally,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.attackWeight,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.protectWeight,5,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.abilityWeight,6,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.retreatWeight,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.retreatHealthFraction,0.2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.preferredTargetTags.0,nearest,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.avoidedTargetTags.0,none,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,tacticalProfile.formationTag,protected-center,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,counterTags.0,counter:focus-support,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,rewardItemIds.0,offense:unappraised-loot,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,bossPhases,[],,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.minimumGeneralTraits,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.maximumGeneralTraits,3,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.minimumExpressedHeritableTraits,0,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.maximumExpressedHeritableTraits,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.maximumLatentHeritableTraits,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.aptitudeVariance,15,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.combatStatVariance,0.12,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.minimumLoyalty,20,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.maximumLoyalty,75,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.recruitable,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.militaryTrainingId,training:crown-chaplain,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-chaplain,enemy:crown-chaplain,individualGeneration.allowedBackgroundIds,[],,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,m_Name,enemy_crown-levy,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,stableId,enemy:crown-levy,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,displayName,왕령 징집병,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,description,수적 압박으로 전열을 붙잡는 징집 보병.,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,authoringRevision,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,sourceNote,V20 hand-authored enemy archetype.,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,factionId,human:crown,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,speciesTag,Human,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,role,0,EnemyCombatRole,Vanguard,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,maxHealth,82,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,attack,7,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,strength,5.95,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,toughness,6,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,dexterity,5,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,moveSpeed,4,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,equipment.weaponDefinitionId,weapon:spear,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,equipment.armorDefinitionId,armor:gambeson,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,equipment.shieldDefinitionId,,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,equipment.ammunitionItemId,,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,abilityIds.0,enemy-ability:charge,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.attackWeight,4,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.protectWeight,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.abilityWeight,3,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.retreatWeight,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.retreatHealthFraction,0.2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.preferredTargetTags.0,nearest,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.avoidedTargetTags.0,none,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,tacticalProfile.formationTag,line,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,counterTags.0,counter:reach,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,rewardItemIds.0,offense:unappraised-loot,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,bossPhases,[],,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.minimumGeneralTraits,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.maximumGeneralTraits,3,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.minimumExpressedHeritableTraits,0,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.maximumExpressedHeritableTraits,2,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.maximumLatentHeritableTraits,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.aptitudeVariance,15,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.combatStatVariance,0.12,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.minimumLoyalty,20,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.maximumLoyalty,75,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.recruitable,1,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.militaryTrainingId,training:crown-levy,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-levy,enemy:crown-levy,individualGeneration.allowedBackgroundIds,[],,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-longbow,enemy:crown-longbow,m_Name,enemy_crown-longbow,,,explicit-serialized
EnemyArchetypeDefinitionSO|enemy:crown-longbow,enemy:crown-longbow,stableId,enemy:crown-longbow,,,explicit-serialized
