record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,m_Name,33_camp_bad_dream,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,id,170332,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,cardId,camp_bad_dream,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,stage,4,OffenseDecisionStage,Camp,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,title,같은 악몽,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,situation,잠든 대원 둘이 같은 말을 중얼거리며 몸을 떱니다.,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,requiredWorldTags,[],,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.choiceId,left,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.label,깨워서 이야기한다,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.description,잠을 포기하고 꿈의 공통점을 기록합니다.,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.requiredTag,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.transformedLabel,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.transformedDescription,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.directionLabel,피로 증가·정보 증가,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.severity,1,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.mayStartCombat,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.mayCauseInjury,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.mayMoveExpedition,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.effects.0.rid,7302563269269258766,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.0.effects.1.rid,7302563269269258767,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.choiceId,right,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.label,끝까지 재운다,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.description,몸은 쉬지만 꿈의 잔향이 남습니다.,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.requiredTag,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.transformedLabel,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.transformedDescription,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.directionLabel,스트레스 증가,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.severity,1,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.mayStartCombat,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.mayCauseInjury,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.mayMoveExpedition,0,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,choices.1.effects.0.rid,7302563269269258768,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.version,2,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.0.rid,7302563269269258766,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.0.type.class,OffenseStressDecisionEffect,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.0.type.ns,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.0.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.0.data.amount,10,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.1.rid,7302563269269258767,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.1.type.class,OffenseReconDecisionEffect,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.1.type.ns,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.1.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.1.data.revealCount,1,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.2.rid,7302563269269258768,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.2.type.class,OffenseStressDecisionEffect,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.2.type.ns,,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.2.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseDecisionCardSO|camp_bad_dream,camp_bad_dream,references.RefIds.2.data.amount,10,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,m_Name,35_camp_distant_horns,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,id,170334,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,cardId,camp_distant_horns,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,stage,4,OffenseDecisionStage,Camp,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,title,먼 뿔나팔,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,situation,서로 다른 방향에서 뿔나팔이 두 차례 울립니다.,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,requiredWorldTags,[],,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.choiceId,left,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.label,즉시 이동한다,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.description,휴식을 포기하고 포위되기 전에 자리를 뜹니다.,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.requiredTag,,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.transformedLabel,,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.transformedDescription,,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.directionLabel,피로 증가·위험 감소,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.severity,1,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.mayStartCombat,0,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.mayCauseInjury,0,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.mayMoveExpedition,1,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.effects.0.rid,7302563269269258774,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.effects.1.rid,7302563269269258775,,,explicit-serialized
OffenseDecisionCardSO|camp_distant_horns,camp_distant_horns,choices.0.effects.2.rid,7302563269269258776,,,explicit-serialized
