record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
OffenseSiteArchetypeSO|archive,archive,m_Name,archive,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,id,170107,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,siteTypeId,archive,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,displayName,봉인 기록소,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,description,지역의 길과 약점을 기록한 문서가 보관되어 있습니다.,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,factionId,human,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,pressureAxis,4,StrategicPressureAxis,Intelligence,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,pressureAmount,18,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,minimumStrength,3,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,maximumStrength,6,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,minimumLifetimeDays,2,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,maximumLifetimeDays,7,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,hiddenUntilDiscovered,1,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,canMove,0,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,dynamicSpawnEligible,1,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.0.grantSpec.rid,7302563269269258796,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.0.displayLabel,봉인 지식,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.0.baseAmount,8,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.0.amountPerStrength,3,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.1.grantSpec.rid,7302563269269258797,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.1.displayLabel,봉인 설계도,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.1.baseAmount,1,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.1.amountPerStrength,0,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.2.grantSpec.rid,7302563269269258798,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.2.displayLabel,지역 전략 압력,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.2.baseAmount,1,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,rewards.2.amountPerStrength,0,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.version,2,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.0.rid,7302563269269258796,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.0.type.class,OffenseStockRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.0.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.0.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.0.data.stockCategory,9,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.1.rid,7302563269269258797,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.1.type.class,OffenseAnyBlueprintRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.1.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.1.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.1.data,,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.2.rid,7302563269269258798,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.2.type.class,OffenseRegionalPressureRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.2.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.2.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|archive,archive,references.RefIds.2.data,,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,m_Name,armory,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,id,170102,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,siteTypeId,armory,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,displayName,전진 무기고,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,description,순찰대의 무기와 탄약을 보급하는 무기고입니다.,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,factionId,human,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,pressureAxis,2,StrategicPressureAxis,Armament,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,pressureAmount,16,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,minimumStrength,2,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,maximumStrength,5,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,minimumLifetimeDays,2,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,maximumLifetimeDays,7,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,hiddenUntilDiscovered,1,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,canMove,0,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,dynamicSpawnEligible,1,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.0.grantSpec.rid,7302563269269258856,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.0.displayLabel,노획 무기,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.0.baseAmount,2,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.0.amountPerStrength,1,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.1.grantSpec.rid,7302563269269258857,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.1.displayLabel,노획 탄약,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.1.baseAmount,12,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.1.amountPerStrength,5,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.2.grantSpec.rid,7302563269269258858,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.2.displayLabel,지역 전략 압력,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.2.baseAmount,1,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,rewards.2.amountPerStrength,0,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.version,2,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.0.rid,7302563269269258856,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.0.type.class,OffenseStockRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.0.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.0.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.0.data.stockCategory,2,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.1.rid,7302563269269258857,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.1.type.class,OffenseStockRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.1.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.1.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.1.data.stockCategory,7,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.2.rid,7302563269269258858,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.2.type.class,OffenseRegionalPressureRewardSpec,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.2.type.ns,,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.2.type.asm,Assembly-CSharp,,,explicit-serialized
OffenseSiteArchetypeSO|armory,armory,references.RefIds.2.data,,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,m_Name,caravan,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,id,170101,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,siteTypeId,caravan,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,displayName,이동 상단,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,description,도로를 따라 물자와 정보를 옮기는 상단입니다.,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,factionId,human,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,pressureAxis,1,StrategicPressureAxis,Logistics,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,pressureAmount,10,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,minimumStrength,1,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,maximumStrength,3,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,minimumLifetimeDays,2,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,maximumLifetimeDays,5,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,hiddenUntilDiscovered,1,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,canMove,1,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,dynamicSpawnEligible,1,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.0.grantSpec.rid,7302563269269258738,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.0.displayLabel,압수한 자금,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.0.baseAmount,140,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.0.amountPerStrength,60,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.1.grantSpec.rid,7302563269269258739,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.1.displayLabel,상단 물자,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.1.baseAmount,8,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.1.amountPerStrength,3,,,explicit-serialized
OffenseSiteArchetypeSO|caravan,caravan,rewards.2.grantSpec.rid,7302563269269258740,,,explicit-serialized
