record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
SurgicalProcedureSO|procedure:amputation,procedure:amputation,m_Name,procedure_amputation,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,procedureId,procedure:amputation,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,displayName,괴사 부위 절단,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,description,회복할 수 없는 부위를 제거해 감염 확산을 막는다.,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,kind,4,SurgicalProcedureKind,Amputate,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,family,0,MedicalProcedureFamily,Biological,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,urgency,2,MedicalProcedureUrgency,Required,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,allowedAnatomyFamilies,[],,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,allowedSpeciesIds,[],,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,operatorRequirement.stats,[],,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,operatorRequirement.minimumWeightedScore,3,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,targetNodeId,,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,requiredResearchId,research:medical:surgery,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,requiredFacilityTags,28,SurgeryFacilityTag,General Surgery | Sterilization | Anesthesia,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,requiredWork,38,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,difficultyPenalty,0.18,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,baseInfectionRisk,0.12,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,baseBleedingRisk,0.24,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,requiresAnesthesia,1,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,requiresRestraintForUnwilling,1,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,allowsLivingSubject,1,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,allowsCorpseSubject,0,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,allowsWildlife,1,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,materials.0.itemId,medicine:standard,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,materials.0.quantity,2,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,materials.0.optional,0,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,effects.0.rid,7737212199327498943,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,references.version,2,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,references.RefIds.0.rid,7737212199327498943,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,references.RefIds.0.type.class,RemoveSurgicalNodeEffect,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,references.RefIds.0.type.ns,,,,explicit-serialized
SurgicalProcedureSO|procedure:amputation,procedure:amputation,references.RefIds.0.type.asm,DungeonStory.Medical,,,explicit-serialized
