record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,m_Name,ending_arcane-ascension,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,stableId,ending:arcane-ascension,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,displayName,비전 승천,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,description,룬 전력망과 비전 생산을 통합해 물질과 마력의 경계를 산업 체계로 바꾼다.,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,authoringRevision,1,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,sourceNote,V20 hand-authored non-terminal run milestone.,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,tier,1,RunMilestoneTier,Grand,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.items,[],,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.facilities,[],,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.research.0.researchNumericId,7238,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.characters,[],,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.factions,[],,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.worldMetrics.0.kind,6,V20WorldMetricKind,Rune Power,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.worldMetrics.0.minimumValue,100,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.requiredFlags.0,arcane:grid-integrated,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,completionRequirements.excludedFlags,[],,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,landmarkBuildingId,building:landmark:arcane-spire,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,permanentRewards.0.kind,12,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,permanentRewards.0.targetId,reward:ending:arcane-ascension,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,permanentRewards.0.amount,1,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,permanentRewards.0.durationDays,0,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,counterPressures.0.kind,17,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,counterPressures.0.targetId,pressure:ending:arcane-ascension,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,counterPressures.0.amount,2,,,explicit-serialized
EndingDefinitionSO|ending:arcane-ascension,ending:arcane-ascension,counterPressures.0.durationDays,0,,,explicit-serialized
EndingDefinitionSO|ending:dungeon-sovereignty,ending:dungeon-sovereignty,m_Name,ending_dungeon-sovereignty,,,explicit-serialized
