record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,m_Name,arc_beastkin,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,stableId,faction-arc:beastkin,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,displayName,붉은발톱 교역소,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,description,사냥터와 피난민 사이에서 무리의 생존 규칙을 다시 정하려 한다.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,authoringRevision,1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,factionId,faction:dungeon:beastkin,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.0,faction-chapter:beastkin:1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.1,faction-chapter:beastkin:2,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.2,faction-chapter:beastkin:3,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.3,faction-chapter:beastkin:4,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.4,faction-chapter:beastkin:5,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,chapterIds.5,faction-chapter:beastkin:6,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,contractIds.0,faction-contract:beastkin:supply,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,contractIds.1,faction-contract:beastkin:crisis,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,contractIds.2,faction-contract:beastkin:strategic,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,relicItemIds.0,relic:faction:beastkin:1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,relicItemIds.1,relic:faction:beastkin:2,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:beastkin,faction-arc:beastkin,relicItemIds.2,relic:faction:beastkin:3,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,m_Name,arc_demon,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,stableId,faction-arc:demon,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,displayName,잿빛 계약정,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,description,불완전한 계약과 계승 분쟁을 이용해 세력을 재편하려 한다.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,authoringRevision,1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,factionId,faction:dungeon:demon,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.0,faction-chapter:demon:1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.1,faction-chapter:demon:2,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.2,faction-chapter:demon:3,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.3,faction-chapter:demon:4,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.4,faction-chapter:demon:5,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,chapterIds.5,faction-chapter:demon:6,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,contractIds.0,faction-contract:demon:supply,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,contractIds.1,faction-contract:demon:crisis,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,contractIds.2,faction-contract:demon:strategic,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,relicItemIds.0,relic:faction:demon:1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,relicItemIds.1,relic:faction:demon:2,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:demon,faction-arc:demon,relicItemIds.2,relic:faction:demon:3,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,m_Name,arc_golem,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,stableId,faction-arc:golem,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,displayName,돌맥 주조소,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,description,마모된 핵과 생산 할당량 사이에서 인격을 가진 구성체의 권리를 묻는다.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,authoringRevision,1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,factionId,faction:dungeon:golem,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,chapterIds.0,faction-chapter:golem:1,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,chapterIds.1,faction-chapter:golem:2,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,chapterIds.2,faction-chapter:golem:3,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,chapterIds.3,faction-chapter:golem:4,,,explicit-serialized
FactionArcDefinitionSO|faction-arc:golem,faction-arc:golem,chapterIds.4,faction-chapter:golem:5,,,explicit-serialized
