record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,m_Name,contract_beastkin_crisis,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,stableId,faction-contract:beastkin:crisis,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,displayName,붉은발톱 교역소 위기 대응 계약,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,description,붉은발톱 교역소이 실제 물자와 작업 결과를 요구하는 위기 대응 계약이다.,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,authoringRevision,1,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,factionId,faction:dungeon:beastkin,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,kind,1,V20FactionContractKind,Crisis Response,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,deadlineDays,7,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.items.0.itemDefinitionId,medicine:standard,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.items.0.amount,3,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.items.0.consume,1,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.facilities,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.research,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.characters,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.factions,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.worldMetrics,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.requiredFlags,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,completionRequirements.excludedFlags,[],,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,successEffects.0.kind,6,V20FactionContractKind,알 수 없음 (6),explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,successEffects.0.targetId,faction:dungeon:beastkin,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,successEffects.0.amount,8,,,explicit-serialized
FactionContractDefinitionSO|faction-contract:beastkin:crisis,faction-contract:beastkin:crisis,successEffects.0.durationDays,0,,,explicit-serialized
