record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,m_Name,guest-request_allergen-banquet,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,stableId,guest-request:allergen-banquet,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,displayName,금기 없는 화합식,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,description,서로 음식 금기가 다른 두 사절단이 같은 식탁을 요청한다.,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,authoringRevision,1,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,kind,0,GuestRequestKind,Luxury Meal,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,deadlineDays,4,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,serviceRequirements.items.0.itemDefinitionId,food:lavish-vegan,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,serviceRequirements.items.0.amount,8,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,serviceRequirements.items.0.consume,1,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,serviceRequirements.facilities.0.buildingDefinitionId,building:festival-common-hall,,,explicit-serialized
GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,serviceRequirements.facilities.0.capabilityId,,,,explicit-serialized
