record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,m_Name,service-incident_brawl,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,stableId,service-incident:brawl,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,displayName,난투,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,description,술자리의 모욕이 무장 난투로 번졌다.,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,authoringRevision,1,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,kind,0,ServiceIncidentKind,Brawl,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,triggerRequirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.choiceId,separate,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.title,경비가 분리한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.outcomeText,경비가 분리한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.requirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.effects.0.kind,4,V20ContentEffectKind,Health (건강),explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.effects.0.targetId,service-incident:brawl,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.effects.0.amount,-3,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.0.effects.0.durationDays,0,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.choiceId,mediate,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.title,당사자를 중재한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.outcomeText,당사자를 중재한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.requirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.effects.0.kind,5,V20ContentEffectKind,Relationship (관계),explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.effects.0.targetId,service-incident:brawl,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.effects.0.amount,4,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.1.effects.0.durationDays,0,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.choiceId,arrest,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.title,주동자를 체포한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.outcomeText,주동자를 체포한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.requirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.effects.0.kind,7,V20ContentEffectKind,FactionGrievance (세력 원한),explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.effects.0.targetId,affected-faction,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.effects.0.amount,4,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:brawl,service-incident:brawl,responses.2.effects.0.durationDays,0,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,m_Name,service-incident_contamination,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,stableId,service-incident:contamination,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,displayName,객실 오염,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,description,객실과 음식에서 같은 오염원이 발견됐다.,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,authoringRevision,1,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,kind,2,ServiceIncidentKind,Contamination,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,triggerRequirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.choiceId,quarantine,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.title,구역을 격리한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.outcomeText,구역을 격리한다,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.items,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.facilities,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.research,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.characters,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.factions,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.worldMetrics,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.requiredFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.requirements.excludedFlags,[],,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.effects.0.kind,13,V20ContentEffectKind,WorkDelayDays (작업 지연),explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.effects.0.targetId,service-incident:contamination,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.effects.0.amount,2,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.0.effects.0.durationDays,0,,,explicit-serialized
ServiceIncidentDefinitionSO|service-incident:contamination,service-incident:contamination,responses.1.choiceId,treat,,,explicit-serialized
