record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,m_Name,Genome_bloodleaf,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,id,93005,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,genomeId,genome:bloodleaf:base,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,cropId,crop:bloodleaf,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,cultivarName,bloodleaf 기본종,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,description,기본 환경에 적응한 표준 품종.,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,authoringRevision,1,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,tradeoffTags,[],,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.0.locus,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.0.alleleA,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.0.alleleB,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.1.locus,1,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.1.alleleA,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.1.alleleB,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.2.locus,2,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.2.alleleA,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.2.alleleB,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.3.locus,3,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.3.alleleA,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.3.alleleB,0,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.4.locus,4,,,explicit-serialized
CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,loci.4.alleleA,0,,,explicit-serialized
