record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,m_Name,crop_bloodleaf,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,id,10004,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,cropId,crop:bloodleaf,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,displayName,혈엽,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,harvestItemId,resource:bloodleaf,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,seedItemId,seed-lot:bloodleaf,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,baseGenome.fileID,11400000,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,baseGenome.guid,492fddf692c4b5f499aac16db74a7c55,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,baseGenome.type,2,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,familyGroup,3,CropFamilyGroup,Leaf,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,endemicDisease,3,CropDiseaseKind,Leaf Vine Powdery Mildew,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,requiredResearchId,research:pharmacology:herbalism,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,growthHours,46,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,sowWork,4,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,harvestWork,7,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,dailyWater,0.35,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,yield,4,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,indoorAllowed,1,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,temperatureRange.x,8,,,explicit-serialized
CropDefinitionSO|crop:bloodleaf,crop:bloodleaf,temperatureRange.y,30,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,m_Name,crop_cave_mushroom,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,id,10003,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,cropId,crop:cave-mushroom,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,displayName,동굴버섯,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,harvestItemId,resource:cave-mushroom,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,seedItemId,seed-lot:cave-mushroom,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,baseGenome.fileID,11400000,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,baseGenome.guid,b6ce63ae53ecdef4aa94192f97a44413,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,baseGenome.type,2,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,familyGroup,5,CropFamilyGroup,Fungus,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,endemicDisease,4,CropDiseaseKind,Mushroom Spore Mold,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,requiredResearchId,research:agriculture:gathering,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,growthHours,28,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,sowWork,3,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,harvestWork,5,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,dailyWater,0.2,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,yield,5,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,indoorAllowed,1,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,temperatureRange.x,3,,,explicit-serialized
CropDefinitionSO|crop:cave-mushroom,crop:cave-mushroom,temperatureRange.y,26,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,m_Name,crop_dreamleaf,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,id,10006,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,cropId,crop:dreamleaf,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,displayName,몽엽,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,harvestItemId,resource:dreamleaf,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,seedItemId,seed-lot:dreamleaf,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,baseGenome.fileID,11400000,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,baseGenome.guid,5f6b1b68673a9f44abbc200364293627,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,baseGenome.type,2,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,familyGroup,3,CropFamilyGroup,Leaf,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,endemicDisease,3,CropDiseaseKind,Leaf Vine Powdery Mildew,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,requiredResearchId,research:pharmacology:anesthesia,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,growthHours,52,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,sowWork,5,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,harvestWork,8,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,dailyWater,0.3,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,yield,4,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,indoorAllowed,1,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,temperatureRange.x,6,,,explicit-serialized
CropDefinitionSO|crop:dreamleaf,crop:dreamleaf,temperatureRange.y,26,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,m_Name,crop_ember-cotton,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,id,9352,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,cropId,crop:ember-cotton,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,displayName,잿불 목화,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,harvestItemId,fiber:ember-cotton,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,seedItemId,seed-lot:ember-cotton,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,baseGenome.fileID,11400000,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,baseGenome.guid,f2eb5ce2d306e4548877d4ddf69c9033,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,baseGenome.type,2,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,familyGroup,1,CropFamilyGroup,Fiber,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,endemicDisease,1,CropDiseaseKind,Grain Fiber Rust,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,requiredResearchId,research:textile:fiber,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,growthHours,92,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,sowWork,4,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,harvestWork,7,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,dailyWater,0.4,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,yield,6,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,indoorAllowed,1,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,temperatureRange.x,14,,,explicit-serialized
CropDefinitionSO|crop:ember-cotton,crop:ember-cotton,temperatureRange.y,42,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,m_Name,crop_ember_root,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,id,10001,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,cropId,crop:ember-root,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,displayName,잿불뿌리,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,harvestItemId,resource:ember-root,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,seedItemId,seed-lot:ember-root,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,baseGenome.fileID,11400000,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,baseGenome.guid,bdde30b6524cfb441836fd149048c082,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,baseGenome.type,2,,,explicit-serialized
CropDefinitionSO|crop:ember-root,crop:ember-root,familyGroup,2,CropFamilyGroup,Root,explicit-serialized
