record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,m_Name,EV_CommercialGrill,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,id,9101,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,evolutionId,evolve_commercial_hearth_to_grill,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,displayName,상업 화덕 진화,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,description,조리 지원과 손님 회전이 갖춰진 방에서 간이화덕을 고기그릴로 진화시킨다.,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,resultBuilding.fileID,11400000,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,resultBuilding.guid,70000b7382d2d3c4ba492123068cd53d,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,resultBuilding.type,2,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,fromFacilities.0.fileID,11400000,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,fromFacilities.0.guid,12515c9dd1e06424180ccafcaeba8d56,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,fromFacilities.0.type,2,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,fromLineageTags,[],,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredStarGrade,1,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,resultStarGrade,2,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,publicByDefault,1,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredResearchRecipeId,,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requireUsableRoom,1,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.0.key,Dining,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.0.requireMin,1,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.0.minValue,20,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.0.requireMax,0,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.0.maxValue,0,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.1.key,Cooking,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.1.requireMin,1,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.1.minValue,14,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.1.requireMax,0,,,explicit-serialized
FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,facilityevolutionrecipe:9101,requiredRoomScores.1.maxValue,0,,,explicit-serialized
