record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,m_Name,RS_AlchemyBench,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,id,7021,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,recipeId,recipe_arcane_alchemy_1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,displayName,연금술작업대 개조,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,description,연구책상과 연구용책장을 결합해 실험과 기록을 함께 처리하는 작업대로 개조한다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,resultBuilding.guid,e62af50c0a780fc4cb94c30fb8a639dd,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.0.guid,b979191eb47450c428a071541938b95d,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.1.guid,829adc66666a0fa45b2f0f179c890496,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,publicByDefault,1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,requiredResearchRecipeId,,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,recipe_arcane_alchemy_1,levelInheritanceRatio,0.75,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,m_Name,RS_ManaReservoir,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,id,7022,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,recipeId,recipe_arcane_reservoir_1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,displayName,마력저장조 조립,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,description,마력수정선반과 시약선반을 결합해 안정적인 대용량 마력저장조를 만든다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,resultBuilding.guid,617304b460628614893b8613a3363fd3,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.0.guid,aa2bcf0e65f91c941b2265e643609040,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.1.guid,5e36a668290d02244bdff1251990132e,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,publicByDefault,1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,requiredResearchRecipeId,,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,recipe_arcane_reservoir_1,levelInheritanceRatio,0.75,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,m_Name,RS_RitualFocus,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,id,7023,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,recipeId,recipe_arcane_ritual_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,displayName,의식초점석 조율,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,description,룬안정기와 촛대의 의식 환경을 결합해 마력 흐름을 모으는 초점석을 조율한다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,resultBuilding.guid,9bf5f02d88117e54184a799d8a678d6c,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.0.guid,e154bab8ba3ec5a4799045991a61eebe,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.1.guid,21487cae0bab0da4fae1bf7d879992ef,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,publicByDefault,0,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,requiredResearchRecipeId,recipe_arcane_ritual_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,recipe_arcane_ritual_2,levelInheritanceRatio,0.8,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,m_Name,RS_SecureDisplay,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,id,7003,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,recipeId,recipe_commerce_secure_display_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,displayName,잠금진열장 개조,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,description,잡화 진열과 보관 부품을 결합해 고가 상품을 지키는 잠금진열장으로 개조한다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,resultBuilding.guid,b54e8594cef594d4fb5d0ad3463cd4ed,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.0.guid,273c27f6edc0ae8449661be09667c322,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.1.guid,8c05934a195b98e438904557f6533fde,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,publicByDefault,0,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,requiredResearchRecipeId,recipe_commerce_secure_display_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,recipe_commerce_secure_display_2,levelInheritanceRatio,0.8,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,m_Name,RS_CommercialGrill,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,id,7001,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,recipeId,recipe_commercial_grill_1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,displayName,고기그릴 개량,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,description,간이화덕과 조리손질대를 합쳐 처리량이 높은 고기그릴로 개량한다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,resultBuilding.guid,70000b7382d2d3c4ba492123068cd53d,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.0.guid,12515c9dd1e06424180ccafcaeba8d56,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.1.guid,37fea6eb1c9eeb843b76ed0dbc12e3d0,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,publicByDefault,1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,requiredResearchRecipeId,,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_commercial_grill_1,recipe_commercial_grill_1,levelInheritanceRatio,0.75,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,m_Name,RS_BattleBanner,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,id,7013,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,recipeId,recipe_fortress_banner_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,displayName,전투깃발 제작,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,description,완성된 순찰 체계에 세력 표식을 더해 전투 집중도를 높이는 깃발을 만든다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,resultBuilding.guid,5a67ae238abb90f4689a6d39083b79f8,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.0.guid,0b11a649893e47d4b8105d31d7c360db,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.1.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.1.guid,03c1b1ef366ae5c4d9b50a3df3ed10dc,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,materialBuildings.1.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,publicByDefault,0,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,requiredResearchRecipeId,recipe_fortress_banner_2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_banner_2,recipe_fortress_banner_2,levelInheritanceRatio,0.8,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,m_Name,RS_PatrolBoard,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,id,7011,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,recipeId,recipe_fortress_patrol_1,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,displayName,순찰상황판 제작,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,description,경보종의 신호 체계와 세력깃발의 표식을 합쳐 순찰상황판을 만든다.,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,resultBuilding.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,resultBuilding.guid,0b11a649893e47d4b8105d31d7c360db,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,resultBuilding.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,materialBuildings.0.fileID,11400000,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,materialBuildings.0.guid,1c846eda7c3fc364e888b19ad2de9d1d,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,materialBuildings.0.type,2,,,explicit-serialized
FacilitySynthesisRecipeSO|recipe_fortress_patrol_1,recipe_fortress_patrol_1,materialBuildings.1.fileID,11400000,,,explicit-serialized
