record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,m_Name,performance_combat_arcane-power,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,formulaId,performance:combat:arcane-power,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,displayName,마력 위력,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,domain,2,CharacterPerformanceFormulaDomain,Combat,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,resultChannel,0,CharacterPerformanceResultChannel,Factor,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,baseValue,1,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.0.capacityId,12,CharacterFunctionalCapacityId,Arcane Conduction,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.0.weight,0.6,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.0.role,7,CharacterPerformanceInputRole,Contribution | Bottleneck | Required,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.0.requiredThreshold,0.1,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.1.capacityId,0,CharacterFunctionalCapacityId,Mental Maintenance,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.1.weight,0.25,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.1.role,5,CharacterPerformanceInputRole,Contribution | Required,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.1.requiredThreshold,0.1,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.2.capacityId,4,CharacterFunctionalCapacityId,Power Circulation,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.2.weight,0.15,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.2.role,1,CharacterPerformanceInputRole,Contribution,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,capacityInputs.2.requiredThreshold,0.1,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,primaryProficiencyId,proficiency:scholarship,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,secondaryProficiencyId,,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,secondaryProficiencyWeight,0,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,gameplayEffectTargetId,character:combat-power,,,explicit-serialized
CharacterPerformanceFormulaDefinitionSO|performance:combat:arcane-power,performance:combat:arcane-power,executionWorkTypeId,,,,explicit-serialized
