record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
GameplayEffectConditionDefinitionSO|accident:fall-slip,accident:fall-slip,m_Name,accident_fall-slip,,,explicit-serialized
GameplayEffectConditionDefinitionSO|accident:fall-slip,accident:fall-slip,numericId,1171627407,,,explicit-serialized
GameplayEffectConditionDefinitionSO|accident:fall-slip,accident:fall-slip,conditionId,accident:fall-slip,,,explicit-serialized
GameplayEffectConditionDefinitionSO|accident:fall-slip,accident:fall-slip,description,V26 trait effect condition 'accident:fall-slip'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|event:hostile-execution,event:hostile-execution,m_Name,event_hostile-execution,,,explicit-serialized
GameplayEffectConditionDefinitionSO|event:hostile-execution,event:hostile-execution,numericId,77651635,,,explicit-serialized
GameplayEffectConditionDefinitionSO|event:hostile-execution,event:hostile-execution,conditionId,event:hostile-execution,,,explicit-serialized
GameplayEffectConditionDefinitionSO|event:hostile-execution,event:hostile-execution,description,V26 trait effect condition 'event:hostile-execution'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:first-apology,relationship:first-apology,m_Name,relationship_first-apology,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:first-apology,relationship:first-apology,numericId,357374960,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:first-apology,relationship:first-apology,conditionId,relationship:first-apology,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:first-apology,relationship:first-apology,description,V26 trait effect condition 'relationship:first-apology'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:negative,relationship:negative,m_Name,relationship_negative,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:negative,relationship:negative,numericId,632715895,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:negative,relationship:negative,conditionId,relationship:negative,,,explicit-serialized
GameplayEffectConditionDefinitionSO|relationship:negative,relationship:negative,description,V26 trait effect condition 'relationship:negative'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|room:noise,room:noise,m_Name,room_noise,,,explicit-serialized
GameplayEffectConditionDefinitionSO|room:noise,room:noise,numericId,927940349,,,explicit-serialized
GameplayEffectConditionDefinitionSO|room:noise,room:noise,conditionId,room:noise,,,explicit-serialized
GameplayEffectConditionDefinitionSO|room:noise,room:noise,description,V26 trait effect condition 'room:noise'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:day,shift:day,m_Name,shift_day,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:day,shift:day,numericId,1338041020,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:day,shift:day,conditionId,shift:day,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:day,shift:day,description,V26 trait effect condition 'shift:day'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:night,shift:night,m_Name,shift_night,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:night,shift:night,numericId,1580040360,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:night,shift:night,conditionId,shift:night,,,explicit-serialized
GameplayEffectConditionDefinitionSO|shift:night,shift:night,description,V26 trait effect condition 'shift:night'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge,state:arcane-overcharge,m_Name,state_arcane-overcharge,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge,state:arcane-overcharge,numericId,86068988,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge,state:arcane-overcharge,conditionId,state:arcane-overcharge,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge,state:arcane-overcharge,description,V26 trait effect condition 'state:arcane-overcharge'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge-aftermath,state:arcane-overcharge-aftermath,m_Name,state_arcane-overcharge-aftermath,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge-aftermath,state:arcane-overcharge-aftermath,numericId,401215619,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge-aftermath,state:arcane-overcharge-aftermath,conditionId,state:arcane-overcharge-aftermath,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:arcane-overcharge-aftermath,state:arcane-overcharge-aftermath,description,V26 trait effect condition 'state:arcane-overcharge-aftermath'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:emergency-stocked,state:emergency-stocked,m_Name,state_emergency-stocked,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:emergency-stocked,state:emergency-stocked,numericId,1136768896,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:emergency-stocked,state:emergency-stocked,conditionId,state:emergency-stocked,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:emergency-stocked,state:emergency-stocked,description,V26 trait effect condition 'state:emergency-stocked'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:forbidden-leap-aftermath,state:forbidden-leap-aftermath,m_Name,state_forbidden-leap-aftermath,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:forbidden-leap-aftermath,state:forbidden-leap-aftermath,numericId,1204881926,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:forbidden-leap-aftermath,state:forbidden-leap-aftermath,conditionId,state:forbidden-leap-aftermath,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:forbidden-leap-aftermath,state:forbidden-leap-aftermath,description,V26 trait effect condition 'state:forbidden-leap-aftermath'.,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:formal-status,state:formal-status,m_Name,state_formal-status,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:formal-status,state:formal-status,numericId,1717678675,,,explicit-serialized
GameplayEffectConditionDefinitionSO|state:formal-status,state:formal-status,conditionId,state:formal-status,,,explicit-serialized
