target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FuneralCultureSO,FuneralCultureSO|funeral-culture:slime,CharacterSpeciesSO,characterspecies:1,CharacterSpeciesSO|characterspecies:1,references,funeral-culture:slime,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:slime,Assets/Resources/SO/Character/Species/Species_Slime.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:adventurer,CharacterSpeciesSO,characterspecies:10,CharacterSpeciesSO|characterspecies:10,references,funeral-culture:adventurer,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:adventurer,Assets/Resources/SO/Character/Species/Species_Adventurer.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:orc,CharacterSpeciesSO,characterspecies:2,CharacterSpeciesSO|characterspecies:2,references,funeral-culture:orc,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:orc,Assets/Resources/SO/Character/Species/Species_Orc.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:vampire,CharacterSpeciesSO,characterspecies:3,CharacterSpeciesSO|characterspecies:3,references,funeral-culture:vampire,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:vampire,Assets/Resources/SO/Character/Species/Species_Vampire.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:beastkin,CharacterSpeciesSO,characterspecies:4,CharacterSpeciesSO|characterspecies:4,references,funeral-culture:beastkin,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:beastkin,Assets/Resources/SO/Character/Species/Species_Beastkin.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:demon,CharacterSpeciesSO,characterspecies:5,CharacterSpeciesSO|characterspecies:5,references,funeral-culture:demon,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:demon,Assets/Resources/SO/Character/Species/Species_Demon.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:kobold,CharacterSpeciesSO,characterspecies:6,CharacterSpeciesSO|characterspecies:6,references,funeral-culture:kobold,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:kobold,Assets/Resources/SO/Character/Species/Species_Kobold.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:myconid,CharacterSpeciesSO,characterspecies:7,CharacterSpeciesSO|characterspecies:7,references,funeral-culture:myconid,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:myconid,Assets/Resources/SO/Character/Species/Species_Myconid.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:harpy,CharacterSpeciesSO,characterspecies:8,CharacterSpeciesSO|characterspecies:8,references,funeral-culture:harpy,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:harpy,Assets/Resources/SO/Character/Species/Species_Harpy.asset
FuneralCultureSO,FuneralCultureSO|funeral-culture:golem,CharacterSpeciesSO,characterspecies:9,CharacterSpeciesSO|characterspecies:9,references,funeral-culture:golem,,,funeralCulture,Unity asset reference,content-reference,resolved-content,FuneralCultureSO|funeral-culture:golem,Assets/Resources/SO/Character/Species/Species_Golem.asset
