target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,OffenseEncounterSO,encounter:01,OffenseEncounterSO|encounter:01,references,battlefield:narrow-bridge,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,Assets/Resources/SO/Offense/Encounters/encounter_01.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,OffenseEncounterSO,encounter:02,OffenseEncounterSO|encounter:02,references,battlefield:broken-pillars,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,Assets/Resources/SO/Offense/Encounters/encounter_02.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:elevated-gallery,OffenseEncounterSO,encounter:03,OffenseEncounterSO|encounter:03,references,battlefield:elevated-gallery,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:elevated-gallery,Assets/Resources/SO/Offense/Encounters/encounter_03.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:flooded-floor,OffenseEncounterSO,encounter:04,OffenseEncounterSO|encounter:04,references,battlefield:flooded-floor,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:flooded-floor,Assets/Resources/SO/Offense/Encounters/encounter_04.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:civilian-corridor,OffenseEncounterSO,encounter:05,OffenseEncounterSO|encounter:05,references,battlefield:civilian-corridor,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:civilian-corridor,Assets/Resources/SO/Offense/Encounters/encounter_05.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:unstable-device,OffenseEncounterSO,encounter:06,OffenseEncounterSO|encounter:06,references,battlefield:unstable-device,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:unstable-device,Assets/Resources/SO/Offense/Encounters/encounter_06.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:sealed-exit,OffenseEncounterSO,encounter:07,OffenseEncounterSO|encounter:07,references,battlefield:sealed-exit,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:sealed-exit,Assets/Resources/SO/V20/Combat/Encounters/encounter_07.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:hostage-chain,OffenseEncounterSO,encounter:08,OffenseEncounterSO|encounter:08,references,battlefield:hostage-chain,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:hostage-chain,Assets/Resources/SO/V20/Combat/Encounters/encounter_08.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:mana-storm,OffenseEncounterSO,encounter:09,OffenseEncounterSO|encounter:09,references,battlefield:mana-storm,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:mana-storm,Assets/Resources/SO/V20/Combat/Encounters/encounter_09.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:powder-smoke,OffenseEncounterSO,encounter:10,OffenseEncounterSO|encounter:10,references,battlefield:powder-smoke,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:powder-smoke,Assets/Resources/SO/V20/Combat/Encounters/encounter_10.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:spore-bloom,OffenseEncounterSO,encounter:11,OffenseEncounterSO|encounter:11,references,battlefield:spore-bloom,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:spore-bloom,Assets/Resources/SO/V20/Combat/Encounters/encounter_11.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:collapsing-ceiling,OffenseEncounterSO,encounter:12,OffenseEncounterSO|encounter:12,references,battlefield:collapsing-ceiling,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:collapsing-ceiling,Assets/Resources/SO/V20/Combat/Encounters/encounter_12.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,OffenseEncounterSO,encounter:13,OffenseEncounterSO|encounter:13,references,battlefield:narrow-bridge,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,Assets/Resources/SO/V20/Combat/Encounters/encounter_13.asset
BattlefieldModifierDefinitionSO,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,OffenseEncounterSO,encounter:14,OffenseEncounterSO|encounter:14,references,battlefield:broken-pillars,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,Assets/Resources/SO/V20/Combat/Encounters/encounter_14.asset
