target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:gut-rot,SeasonalWorldEventDefinitionSO,seasonal:autumn-rot-cart,SeasonalWorldEventDefinitionSO|seasonal:autumn-rot-cart,adds-disease-exposure,disease:gut-rot,9,2,startEffects.0.targetId,DiseaseExposure (질병 노출),disease-content,resolved-content,DiseaseDefinitionSO|disease:gut-rot,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-rot-cart.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:red-fever,SeasonalWorldEventDefinitionSO,seasonal:spring-fever-camp,SeasonalWorldEventDefinitionSO|seasonal:spring-fever-camp,adds-disease-exposure,disease:red-fever,10,4,startEffects.0.targetId,DiseaseExposure (질병 노출),disease-content,resolved-content,DiseaseDefinitionSO|disease:red-fever,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_spring-fever-camp.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:spore-lung,SeasonalWorldEventDefinitionSO,seasonal:spring-spore-rain,SeasonalWorldEventDefinitionSO|seasonal:spring-spore-rain,adds-disease-exposure,disease:spore-lung,8,4,startEffects.0.targetId,DiseaseExposure (질병 노출),disease-content,resolved-content,DiseaseDefinitionSO|disease:spore-lung,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_spring-spore-rain.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:ash-lung,SeasonalWorldEventDefinitionSO,seasonal:summer-smoke-valley,SeasonalWorldEventDefinitionSO|seasonal:summer-smoke-valley,adds-disease-exposure,disease:ash-lung,7,4,startEffects.0.targetId,DiseaseExposure (질병 노출),disease-content,resolved-content,DiseaseDefinitionSO|disease:ash-lung,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_summer-smoke-valley.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:cave-flu,SeasonalWorldEventDefinitionSO,seasonal:winter-cave-flu-wave,SeasonalWorldEventDefinitionSO|seasonal:winter-cave-flu-wave,adds-disease-exposure,disease:cave-flu,12,6,startEffects.0.targetId,DiseaseExposure (질병 노출),disease-content,resolved-content,DiseaseDefinitionSO|disease:cave-flu,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_winter-cave-flu-wave.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:ash-lung,WildlifeSpeciesSO,ash_crawler,WildlifeSpeciesSO|ash_crawler,references,disease:ash-lung,,,diseaseVectorIds,disease Vector Ids,content-reference,resolved-content,DiseaseDefinitionSO|disease:ash-lung,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_ash_crawler.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:gut-rot,WildlifeSpeciesSO,carrion_drake,WildlifeSpeciesSO|carrion_drake,references,disease:gut-rot,,,diseaseVectorIds,disease Vector Ids,content-reference,resolved-content,DiseaseDefinitionSO|disease:gut-rot,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_carrion_drake.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:red-fever,WildlifeSpeciesSO,cave_hound,WildlifeSpeciesSO|cave_hound,references,disease:red-fever,,,diseaseVectorIds,disease Vector Ids,content-reference,resolved-content,DiseaseDefinitionSO|disease:red-fever,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:cave-flu,WildlifeSpeciesSO,cave_rat,WildlifeSpeciesSO|cave_rat,references,disease:cave-flu,,,diseaseVectorIds,disease Vector Ids,content-reference,resolved-content,DiseaseDefinitionSO|disease:cave-flu,Assets/Resources/SO/Wildlife/Species/Wildlife_CaveRat.asset
DiseaseDefinitionSO,DiseaseDefinitionSO|disease:glass-blood,WildlifeSpeciesSO,crystal_beetle,WildlifeSpeciesSO|crystal_beetle,references,disease:glass-blood,,,diseaseVectorIds,disease Vector Ids,content-reference,resolved-content,DiseaseDefinitionSO|disease:glass-blood,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_crystal_beetle.asset
