target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
WildlifeSpeciesSO,WildlifeSpeciesSO|cave_hound,WildlifeSpeciesSO,ash_crawler,WildlifeSpeciesSO|ash_crawler,references,cave_hound,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|cave_hound,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_ash_crawler.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|ember_lizard,WildlifeSpeciesSO,ash_crawler,WildlifeSpeciesSO|ash_crawler,references,ember_lizard,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|ember_lizard,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_ash_crawler.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|cave_rat,WildlifeSpeciesSO,carrion_drake,WildlifeSpeciesSO|carrion_drake,references,cave_rat,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|cave_rat,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_carrion_drake.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|shadow_hare,WildlifeSpeciesSO,carrion_drake,WildlifeSpeciesSO|carrion_drake,references,shadow_hare,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|shadow_hare,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_carrion_drake.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|carrion_drake,WildlifeSpeciesSO,cave_hound,WildlifeSpeciesSO|cave_hound,references,carrion_drake,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|carrion_drake,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|cave_rat,WildlifeSpeciesSO,cave_hound,WildlifeSpeciesSO|cave_hound,references,cave_rat,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|cave_rat,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|shadow_hare,WildlifeSpeciesSO,cave_hound,WildlifeSpeciesSO|cave_hound,references,shadow_hare,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|shadow_hare,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|tunnel_mole,WildlifeSpeciesSO,cave_hound,WildlifeSpeciesSO|cave_hound,references,tunnel_mole,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|tunnel_mole,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|cave_rat,WildlifeSpeciesSO,cave_rat,WildlifeSpeciesSO|cave_rat,references,cave_rat,,,preySpeciesIds,prey Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|cave_rat,Assets/Resources/SO/Wildlife/Species/Wildlife_CaveRat.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|shadow_wolf,WildlifeSpeciesSO,cave_rat,WildlifeSpeciesSO|cave_rat,references,shadow_wolf,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|shadow_wolf,Assets/Resources/SO/Wildlife/Species/Wildlife_CaveRat.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|ember_lizard,WildlifeSpeciesSO,crystal_beetle,WildlifeSpeciesSO|crystal_beetle,references,ember_lizard,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|ember_lizard,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_crystal_beetle.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|moss_boar,WildlifeSpeciesSO,crystal_beetle,WildlifeSpeciesSO|crystal_beetle,references,moss_boar,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|moss_boar,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_crystal_beetle.asset
WildlifeSpeciesSO,WildlifeSpeciesSO|cave_hound,WildlifeSpeciesSO,deep_goat,WildlifeSpeciesSO|deep_goat,references,cave_hound,,,predatorSpeciesIds,predator Species Ids,content-reference,resolved-content,WildlifeSpeciesSO|cave_hound,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_deep_goat.asset
