target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:growth-frame,CombatArmorSO,equipment-item:armor:articulated-plate,CombatArmorSO|equipment-item:armor:articulated-plate,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/A12_ArticulatedPlate.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:textile-hardener,CombatArmorSO,equipment-item:armor:articulated-plate,CombatArmorSO|equipment-item:armor:articulated-plate,requires,component:textile-hardener,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:textile-hardener,Assets/Resources/SO/Combat/Equipment/A12_ArticulatedPlate.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:plate-blank,CombatArmorSO,equipment-item:armor:articulated-plate,CombatArmorSO|equipment-item:armor:articulated-plate,requires,material:plate-blank,2,,requiredComponentInputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:plate-blank,Assets/Resources/SO/Combat/Equipment/A12_ArticulatedPlate.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:blacksteel-defense-plate,CombatArmorSO,equipment-item:armor:blacksteel-carapace,CombatArmorSO|equipment-item:armor:blacksteel-carapace,requires,component:blacksteel-defense-plate,2,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:blacksteel-defense-plate,Assets/Resources/SO/Combat/Equipment/A17_BlacksteelCarapace.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:growth-frame,CombatArmorSO,equipment-item:armor:blacksteel-carapace,CombatArmorSO|equipment-item:armor:blacksteel-carapace,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/A17_BlacksteelCarapace.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:blast-coat-shell,CombatArmorSO,equipment-item:armor:blast-coat,CombatArmorSO|equipment-item:armor:blast-coat,requires,component:blast-coat-shell,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:blast-coat-shell,Assets/Resources/SO/Combat/Equipment/A13_BlastCoat.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:insulating-cloth,CombatArmorSO,equipment-item:armor:blast-coat,CombatArmorSO|equipment-item:armor:blast-coat,requires,textile:insulating-cloth,1,,requiredComponentInputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:insulating-cloth,Assets/Resources/SO/Combat/Equipment/A13_BlastCoat.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:quilted-liner,CombatArmorSO,equipment-item:armor:blast-coat,CombatArmorSO|equipment-item:armor:blast-coat,requires,textile:quilted-liner,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:quilted-liner,Assets/Resources/SO/Combat/Equipment/A13_BlastCoat.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:brigandine-padding,CombatArmorSO,equipment-item:armor:brigandine,CombatArmorSO|equipment-item:armor:brigandine,requires,component:brigandine-padding,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:brigandine-padding,Assets/Resources/SO/Combat/Equipment/A09_Brigandine.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:textile-hardener,CombatArmorSO,equipment-item:armor:brigandine,CombatArmorSO|equipment-item:armor:brigandine,requires,component:textile-hardener,1,,requiredComponentInputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:textile-hardener,Assets/Resources/SO/Combat/Equipment/A09_Brigandine.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:quilted-liner,CombatArmorSO,equipment-item:armor:brigandine,CombatArmorSO|equipment-item:armor:brigandine,requires,textile:quilted-liner,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:quilted-liner,Assets/Resources/SO/Combat/Equipment/A09_Brigandine.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|component:growth-frame,CombatArmorSO,equipment-item:armor:gambeson,CombatArmorSO|equipment-item:armor:gambeson,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/A02_Gambeson.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:quilted-liner,CombatArmorSO,equipment-item:armor:gambeson,CombatArmorSO|equipment-item:armor:gambeson,requires,textile:quilted-liner,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:quilted-liner,Assets/Resources/SO/Combat/Equipment/A02_Gambeson.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:hardened-leather,CombatArmorSO,equipment-item:armor:hardened-leather-coat,CombatArmorSO|equipment-item:armor:hardened-leather-coat,requires,material:hardened-leather,2,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:hardened-leather,Assets/Resources/SO/Combat/Equipment/A21_HardenedLeatherCoat.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:hardened-leather,CombatArmorSO,equipment-item:armor:jack-of-plates,CombatArmorSO|equipment-item:armor:jack-of-plates,requires,material:hardened-leather,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:hardened-leather,Assets/Resources/SO/Combat/Equipment/A18_JackOfPlates.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:plate-blank,CombatArmorSO,equipment-item:armor:jack-of-plates,CombatArmorSO|equipment-item:armor:jack-of-plates,requires,material:plate-blank,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:plate-blank,Assets/Resources/SO/Combat/Equipment/A18_JackOfPlates.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:quilted-liner,CombatArmorSO,equipment-item:armor:jack-of-plates,CombatArmorSO|equipment-item:armor:jack-of-plates,requires,textile:quilted-liner,1,,requiredComponentInputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:quilted-liner,Assets/Resources/SO/Combat/Equipment/A18_JackOfPlates.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:chain-mesh,CombatArmorSO,equipment-item:armor:mail-coif,CombatArmorSO|equipment-item:armor:mail-coif,requires,material:chain-mesh,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:chain-mesh,Assets/Resources/SO/Combat/Equipment/A05_MailCoif.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:chain-mesh,CombatArmorSO,equipment-item:armor:mail-shirt,CombatArmorSO|equipment-item:armor:mail-shirt,requires,material:chain-mesh,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:chain-mesh,Assets/Resources/SO/Combat/Equipment/A06_MailShirt.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|textile:quilted-liner,CombatArmorSO,equipment-item:armor:padded-hood,CombatArmorSO|equipment-item:armor:padded-hood,requires,textile:quilted-liner,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|textile:quilted-liner,Assets/Resources/SO/Combat/Equipment/A20_PaddedHood.asset
ResourceItemDefinitionSO,ResourceItemDefinitionSO|material:plate-blank,CombatArmorSO,equipment-item:armor:powder-cuirass,CombatArmorSO|equipment-item:armor:powder-cuirass,requires,material:plate-blank,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:plate-blank,Assets/Resources/SO/Combat/Equipment/A19_PowderCuirass.asset
