target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:sated,CharacterTraitSO,trait:101,CharacterTraitSO|trait:101,references,state:sated,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|state:sated,Assets/Resources/SO/Character/Traits/Trait_BigEater.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:clean-maintenance,CharacterTraitSO,trait:107,CharacterTraitSO|trait:107,references,work:clean-maintenance,,,effects.0.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:clean-maintenance,Assets/Resources/SO/Character/Traits/Trait_Clean.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:contamination,CharacterTraitSO,trait:107,CharacterTraitSO|trait:107,references,work:contamination,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:contamination,Assets/Resources/SO/Character/Traits/Trait_Clean.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:not-research,CharacterTraitSO,trait:108,CharacterTraitSO|trait:108,references,work:not-research,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:not-research,Assets/Resources/SO/Character/Traits/Trait_Researcher.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:research,CharacterTraitSO,trait:108,CharacterTraitSO|trait:108,references,work:research,,,effects.2.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:research,Assets/Resources/SO/Character/Traits/Trait_Researcher.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:long-shift,CharacterTraitSO,trait:200,CharacterTraitSO|trait:200,references,work:long-shift,,,effects.0.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:long-shift,Assets/Resources/SO/V20/Traits/General/Trait_200_tireless.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:long-shift,CharacterTraitSO,trait:200,CharacterTraitSO|trait:200,references,work:long-shift,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:long-shift,Assets/Resources/SO/V20/Traits/General/Trait_200_tireless.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|room:noise,CharacterTraitSO,trait:201,CharacterTraitSO|trait:201,references,room:noise,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|room:noise,Assets/Resources/SO/V20/Traits/General/Trait_201_light-sleeper.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|accident:fall-slip,CharacterTraitSO,trait:202,CharacterTraitSO|trait:202,references,accident:fall-slip,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|accident:fall-slip,Assets/Resources/SO/V20/Traits/General/Trait_202_sure-footed.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|terrain:rough,CharacterTraitSO,trait:202,CharacterTraitSO|trait:202,references,terrain:rough,,,effects.0.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|terrain:rough,Assets/Resources/SO/V20/Traits/General/Trait_202_sure-footed.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:precision,CharacterTraitSO,trait:203,CharacterTraitSO|trait:203,references,work:precision,,,effects.0.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:precision,Assets/Resources/SO/V20/Traits/General/Trait_203_delicate-frame.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:pain,CharacterTraitSO,trait:204,CharacterTraitSO|trait:204,references,state:pain,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|state:pain,Assets/Resources/SO/V20/Traits/General/Trait_204_scarred.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:insulted,CharacterTraitSO,trait:209,CharacterTraitSO|trait:209,references,state:insulted,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|state:insulted,Assets/Resources/SO/V20/Traits/General/Trait_209_hot-blooded.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:sweet-fed,CharacterTraitSO,trait:210,CharacterTraitSO|trait:210,references,state:sweet-fed,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|state:sweet-fed,Assets/Resources/SO/V20/Traits/General/Trait_210_sugar-seeker.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|work:contaminated-food,CharacterTraitSO,trait:211,CharacterTraitSO|trait:211,references,work:contaminated-food,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|work:contaminated-food,Assets/Resources/SO/V20/Traits/General/Trait_211_iron-stomach.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|temperature:cold,CharacterTraitSO,trait:212,CharacterTraitSO|trait:212,references,temperature:cold,,,effects.2.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|temperature:cold,Assets/Resources/SO/V20/Traits/General/Trait_212_temperature-sensitive.asset
GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|temperature:comfortable,CharacterTraitSO,trait:212,CharacterTraitSO|trait:212,references,temperature:comfortable,,,effects.0.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|temperature:comfortable,Assets/Resources/SO/V20/Traits/General/Trait_212_temperature-sensitive.asset
