source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:battle-shock:severity,,,drawbackCapabilities.0.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:cold-sensitive:severity,,,drawbackCapabilities.1.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:daylight-fatigue:severity,,,drawbackCapabilities.2.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:frailty:severity,,,drawbackCapabilities.3.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:heat-sensitive:severity,,,drawbackCapabilities.4.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:heavy-step:severity,,,drawbackCapabilities.5.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:lingering-dread:severity,,,drawbackCapabilities.6.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:overstrain:severity,,,drawbackCapabilities.7.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:rough-craft:severity,,,drawbackCapabilities.8.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:sickly:severity,,,drawbackCapabilities.9.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:slow-disease-recovery:severity,,,drawbackCapabilities.10.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:slow-recovery:severity,,,drawbackCapabilities.11.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:social-withdrawal:severity,,,drawbackCapabilities.12.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:stunted-learning:severity,,,drawbackCapabilities.13.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:tunnel-vision:severity,,,drawbackCapabilities.14.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:unsafe-appetite:severity,,,drawbackCapabilities.15.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:voracious:severity,,,drawbackCapabilities.16.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:wasteful-salvage:severity,,,drawbackCapabilities.17.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,acquired-trait:drawback:weak-haul:severity,,,drawbackCapabilities.18.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
