source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CharacterBackgroundDefinitionSO,background:archive-caretaker,CharacterBackgroundDefinitionSO|background:archive-caretaker,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_archive-caretaker.asset
CharacterBackgroundDefinitionSO,background:camp-refugee,CharacterBackgroundDefinitionSO|background:camp-refugee,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_camp-refugee.asset
CharacterBackgroundDefinitionSO,background:caravan-artisan,CharacterBackgroundDefinitionSO|background:caravan-artisan,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_caravan-artisan.asset
CharacterBackgroundDefinitionSO,background:deserter,CharacterBackgroundDefinitionSO|background:deserter,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_deserter.asset
CharacterBackgroundDefinitionSO,background:exiled-heir,CharacterBackgroundDefinitionSO|background:exiled-heir,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_exiled-heir.asset
CharacterBackgroundDefinitionSO,background:guild-apprentice,CharacterBackgroundDefinitionSO|background:guild-apprentice,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_guild-apprentice.asset
CharacterBackgroundDefinitionSO,background:inn-servant,CharacterBackgroundDefinitionSO|background:inn-servant,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_inn-servant.asset
CharacterBackgroundDefinitionSO,background:mine-bondworker,CharacterBackgroundDefinitionSO|background:mine-bondworker,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_mine-bondworker.asset
CharacterBackgroundDefinitionSO,background:monastery-novice,CharacterBackgroundDefinitionSO|background:monastery-novice,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_monastery-novice.asset
CharacterBackgroundDefinitionSO,background:ritual-test-subject,CharacterBackgroundDefinitionSO|background:ritual-test-subject,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_ritual-test-subject.asset
CharacterBackgroundDefinitionSO,background:siege-survivor,CharacterBackgroundDefinitionSO|background:siege-survivor,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_siege-survivor.asset
CharacterBackgroundDefinitionSO,background:tenant-farmer,CharacterBackgroundDefinitionSO|background:tenant-farmer,changes-mood,background-confidence,2,10,startingEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Backgrounds/background_tenant-farmer.asset
