source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CharacterTraitSO,trait:101,CharacterTraitSO|trait:101,references,effect:character:consumption:multiply,,,effects.0.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:consumption:multiply,Assets/Resources/SO/Character/Traits/Trait_BigEater.asset
CharacterTraitSO,trait:101,CharacterTraitSO|trait:101,references,effect:character:work-speed:multiply,,,effects.1.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:work-speed:multiply,Assets/Resources/SO/Character/Traits/Trait_BigEater.asset
CharacterTraitSO,trait:101,CharacterTraitSO|trait:101,references,state:sated,,,effects.1.condition,Unity asset reference,content-reference,resolved-content,GameplayEffectConditionDefinitionSO|state:sated,Assets/Resources/SO/Character/Traits/Trait_BigEater.asset
CharacterTraitSO,trait:102,CharacterTraitSO|trait:102,references,effect:character:accident-chance:multiply,,,effects.2.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:accident-chance:multiply,Assets/Resources/SO/Character/Traits/Trait_Frugal.asset
CharacterTraitSO,trait:102,CharacterTraitSO|trait:102,references,effect:character:consumption:multiply,,,effects.0.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:consumption:multiply,Assets/Resources/SO/Character/Traits/Trait_Frugal.asset
CharacterTraitSO,trait:102,CharacterTraitSO|trait:102,references,effect:character:work-speed:multiply,,,effects.1.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:work-speed:multiply,Assets/Resources/SO/Character/Traits/Trait_Frugal.asset
CharacterTraitSO,trait:103,CharacterTraitSO|trait:103,references,effect:character:spending:multiply,,,effects.1.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:spending:multiply,Assets/Resources/SO/Character/Traits/Trait_Rich.asset
CharacterTraitSO,trait:103,CharacterTraitSO|trait:103,references,effect:proficiency:social:starting-xp:addflat,,,effects.0.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:proficiency:social:starting-xp:addflat,Assets/Resources/SO/Character/Traits/Trait_Rich.asset
CharacterTraitSO,trait:104,CharacterTraitSO|trait:104,references,effect:character:accident-chance:multiply,,,effects.2.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:accident-chance:multiply,Assets/Resources/SO/Character/Traits/Trait_Impatient.asset
CharacterTraitSO,trait:104,CharacterTraitSO|trait:104,references,effect:character:move-speed:multiply,,,effects.0.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:move-speed:multiply,Assets/Resources/SO/Character/Traits/Trait_Impatient.asset
CharacterTraitSO,trait:104,CharacterTraitSO|trait:104,references,effect:character:work-speed:multiply,,,effects.1.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:work-speed:multiply,Assets/Resources/SO/Character/Traits/Trait_Impatient.asset
CharacterTraitSO,trait:105,CharacterTraitSO|trait:105,references,effect:character:accident-chance:multiply,,,effects.1.definition,Unity asset reference,content-reference,resolved-content,GameplayEffectDefinitionSO|effect:character:accident-chance:multiply,Assets/Resources/SO/Character/Traits/Trait_Timid.asset
