source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FestivalDefinitionSO,festival:ash-oath,FestivalDefinitionSO|festival:ash-oath,requires,building:faction-audience-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_ash-oath.asset
FestivalDefinitionSO,festival:ash-oath,FestivalDefinitionSO|festival:ash-oath,requires,material:paper,12,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:paper,Assets/Resources/SO/V20/Society/Festivals/festival_ash-oath.asset
FestivalDefinitionSO,festival:blood-lantern,FestivalDefinitionSO|festival:blood-lantern,requires,craft:candle,8,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|craft:candle,Assets/Resources/SO/V20/Society/Festivals/festival_blood-lantern.asset
FestivalDefinitionSO,festival:blood-lantern,FestivalDefinitionSO|festival:blood-lantern,requires,workstation:v19:memorial-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_blood-lantern.asset
FestivalDefinitionSO,festival:clear-confluence,FestivalDefinitionSO|festival:clear-confluence,requires,building:clean-water-reservoir,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_clear-confluence.asset
FestivalDefinitionSO,festival:clear-confluence,FestivalDefinitionSO|festival:clear-confluence,requires,resource:clean-water,24,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:clean-water,Assets/Resources/SO/V20/Society/Festivals/festival_clear-confluence.asset
FestivalDefinitionSO,festival:core-resonance,FestivalDefinitionSO|festival:core-resonance,requires,building:rune-tuning-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_core-resonance.asset
FestivalDefinitionSO,festival:core-resonance,FestivalDefinitionSO|festival:core-resonance,requires,tool:maintenance-kit,2,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|tool:maintenance-kit,Assets/Resources/SO/V20/Society/Festivals/festival_core-resonance.asset
FestivalDefinitionSO,festival:dungeon-accord-day,FestivalDefinitionSO|festival:dungeon-accord-day,requires,building:faction-audience-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_dungeon-accord-day.asset
FestivalDefinitionSO,festival:dungeon-accord-day,FestivalDefinitionSO|festival:dungeon-accord-day,requires,craft:dreamweave-ritual-banner,1,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|craft:dreamweave-ritual-banner,Assets/Resources/SO/V20/Society/Festivals/festival_dungeon-accord-day.asset
FestivalDefinitionSO,festival:frontier-map-night,FestivalDefinitionSO|festival:frontier-map-night,requires,building:expedition-map-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_frontier-map-night.asset
FestivalDefinitionSO,festival:frontier-map-night,FestivalDefinitionSO|festival:frontier-map-night,requires,material:paper,8,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:paper,Assets/Resources/SO/V20/Society/Festivals/festival_frontier-map-night.asset
FestivalDefinitionSO,festival:high-sun,FestivalDefinitionSO|festival:high-sun|Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset,requires,building:festival-common-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset
FestivalDefinitionSO,festival:high-sun,FestivalDefinitionSO|festival:high-sun|Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset,requires,food:twilight-beer,8,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|food:twilight-beer,Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset
FestivalDefinitionSO,festival:long-night-memorial,FestivalDefinitionSO|festival:long-night-memorial|Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset,requires,craft:candle,12,,requiredItems.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|craft:candle,Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset
