source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
AnatomyConditionLexiconSO,condition:biological,AnatomyConditionLexiconSO|condition:biological,references,beastkin,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_biological.asset
AnatomyConditionLexiconSO,condition:biological,AnatomyConditionLexiconSO|condition:biological,references,human,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_biological.asset
AnatomyConditionLexiconSO,condition:biological,AnatomyConditionLexiconSO|condition:biological,references,kobold,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_biological.asset
AnatomyConditionLexiconSO,condition:biological,AnatomyConditionLexiconSO|condition:biological,references,orc,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_biological.asset
AnatomyConditionLexiconSO,condition:demon,AnatomyConditionLexiconSO|condition:demon,references,demon,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_demon.asset
AnatomyConditionLexiconSO,condition:golem,AnatomyConditionLexiconSO|condition:golem,references,golem,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_golem.asset
AnatomyConditionLexiconSO,condition:harpy,AnatomyConditionLexiconSO|condition:harpy,references,harpy,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_harpy.asset
AnatomyConditionLexiconSO,condition:myconid,AnatomyConditionLexiconSO|condition:myconid,references,myconid,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_myconid.asset
AnatomyConditionLexiconSO,condition:slime,AnatomyConditionLexiconSO|condition:slime,references,slime,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_slime.asset
AnatomyConditionLexiconSO,condition:vampire,AnatomyConditionLexiconSO|condition:vampire,references,vampire,,,speciesIds,species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/ConditionLexicons/condition_vampire.asset
