source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
DiseaseDefinitionSO,condition:core-corrosion,DiseaseDefinitionSO|condition:core-corrosion,references,response:environment:condition:core-corrosion,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_condition-core-corrosion.asset
DiseaseDefinitionSO,condition:core-corrosion,DiseaseDefinitionSO|condition:core-corrosion,references,response:isolate:condition:core-corrosion,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_condition-core-corrosion.asset
DiseaseDefinitionSO,disease:ash-lung,DiseaseDefinitionSO|disease:ash-lung,references,response:respirator,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/Ecology/Diseases/disease_ash-lung.asset
DiseaseDefinitionSO,disease:ash-lung,DiseaseDefinitionSO|disease:ash-lung,references,response:wet-cleaning,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/Ecology/Diseases/disease_ash-lung.asset
DiseaseDefinitionSO,disease:blood-wasting,DiseaseDefinitionSO|disease:blood-wasting,references,response:isolate:disease:blood-wasting,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_disease-blood-wasting.asset
DiseaseDefinitionSO,disease:blood-wasting,DiseaseDefinitionSO|disease:blood-wasting,references,response:vaccine:disease:blood-wasting,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_disease-blood-wasting.asset
DiseaseDefinitionSO,disease:cave-flu,DiseaseDefinitionSO|disease:cave-flu,references,response:isolate:disease:cave-flu,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_disease-cave-flu.asset
DiseaseDefinitionSO,disease:cave-flu,DiseaseDefinitionSO|disease:cave-flu,references,response:vaccine:disease:cave-flu,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Population/Diseases/Disease_disease-cave-flu.asset
DiseaseDefinitionSO,disease:deep-parasitosis,DiseaseDefinitionSO|disease:deep-parasitosis,references,response:antiparasitic,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/Ecology/Diseases/disease_deep-parasitosis.asset
DiseaseDefinitionSO,disease:deep-parasitosis,DiseaseDefinitionSO|disease:deep-parasitosis,references,response:boil-water,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/Ecology/Diseases/disease_deep-parasitosis.asset
DiseaseDefinitionSO,disease:dream-mold,DiseaseDefinitionSO|disease:dream-mold,references,response:dreamless-sedative,,,fieldResponseIds,field Response Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/Ecology/Diseases/disease_dream-mold.asset
