source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,enemy-ability:field-dressing,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:field-dressing,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,enemy-ability:rally,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyArchetypeDefinitionSO,enemy:crown-levy,EnemyArchetypeDefinitionSO|enemy:crown-levy,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-levy.asset
EnemyArchetypeDefinitionSO,enemy:crown-levy,EnemyArchetypeDefinitionSO|enemy:crown-levy,references,enemy-ability:charge,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:charge,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-levy.asset
EnemyArchetypeDefinitionSO,enemy:crown-levy,EnemyArchetypeDefinitionSO|enemy:crown-levy,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-levy.asset
EnemyArchetypeDefinitionSO,enemy:crown-longbow,EnemyArchetypeDefinitionSO|enemy:crown-longbow,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-longbow.asset
EnemyArchetypeDefinitionSO,enemy:crown-longbow,EnemyArchetypeDefinitionSO|enemy:crown-longbow,references,enemy-ability:suppressive-volley,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:suppressive-volley,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-longbow.asset
EnemyArchetypeDefinitionSO,enemy:crown-longbow,EnemyArchetypeDefinitionSO|enemy:crown-longbow,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-longbow.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:armor-break,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:armor-break,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:armor-break,,,bossPhases.0.abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:armor-break,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:rally,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:rally,,,bossPhases.0.abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-tower-guard,EnemyArchetypeDefinitionSO|enemy:crown-tower-guard,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-tower-guard.asset
EnemyArchetypeDefinitionSO,enemy:crown-tower-guard,EnemyArchetypeDefinitionSO|enemy:crown-tower-guard,references,enemy-ability:shield-wall,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:shield-wall,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-tower-guard.asset
EnemyArchetypeDefinitionSO,enemy:crown-tower-guard,EnemyArchetypeDefinitionSO|enemy:crown-tower-guard,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-tower-guard.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,enemy-ability:arcane-null,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:arcane-null,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,enemy-ability:rune-ward,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rune-ward,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-high-judge,EnemyArchetypeDefinitionSO|enemy:inquisition-high-judge,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-high-judge.asset
