source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FactionContractDefinitionSO,faction-contract:beastkin:crisis,FactionContractDefinitionSO|faction-contract:beastkin:crisis,changes-faction-grievance,faction:dungeon:beastkin,12,0,failureEffects.0.targetId,FactionGrievance (세력 원한),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_crisis.asset
FactionContractDefinitionSO,faction-contract:beastkin:crisis,FactionContractDefinitionSO|faction-contract:beastkin:crisis,changes-faction-obligation,faction:dungeon:beastkin,1,0,successEffects.1.targetId,FactionObligation (세력 의무),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_crisis.asset
FactionContractDefinitionSO,faction-contract:beastkin:crisis,FactionContractDefinitionSO|faction-contract:beastkin:crisis,changes-faction-rapport,faction:dungeon:beastkin,8,0,successEffects.0.targetId,FactionRapport (세력 우호도),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_crisis.asset
FactionContractDefinitionSO,faction-contract:beastkin:crisis,FactionContractDefinitionSO|faction-contract:beastkin:crisis,references,faction:dungeon:beastkin,,,factionId,faction Id,faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_crisis.asset
FactionContractDefinitionSO,faction-contract:beastkin:crisis,FactionContractDefinitionSO|faction-contract:beastkin:crisis,requires,medicine:standard,3,,completionRequirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_crisis.asset
FactionContractDefinitionSO,faction-contract:beastkin:strategic,FactionContractDefinitionSO|faction-contract:beastkin:strategic,changes-faction-grievance,faction:dungeon:beastkin,7,0,failureEffects.0.targetId,FactionGrievance (세력 원한),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_strategic.asset
FactionContractDefinitionSO,faction-contract:beastkin:strategic,FactionContractDefinitionSO|faction-contract:beastkin:strategic,changes-faction-obligation,faction:dungeon:beastkin,1,0,successEffects.1.targetId,FactionObligation (세력 의무),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_strategic.asset
FactionContractDefinitionSO,faction-contract:beastkin:strategic,FactionContractDefinitionSO|faction-contract:beastkin:strategic,changes-faction-rapport,faction:dungeon:beastkin,15,0,successEffects.0.targetId,FactionRapport (세력 우호도),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_strategic.asset
FactionContractDefinitionSO,faction-contract:beastkin:strategic,FactionContractDefinitionSO|faction-contract:beastkin:strategic,references,faction:dungeon:beastkin,,,factionId,faction Id,faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/Dungeons/Faction_Beastkin_RedPawPost.asset; DungeonFactionDefinitionSO|faction:dungeon:beastkin|Assets/Resources/SO/Factions/faction_dungeon_beastkin.asset,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_strategic.asset
FactionContractDefinitionSO,faction-contract:beastkin:strategic,FactionContractDefinitionSO|faction-contract:beastkin:strategic,requires,equipment-item:shield:tower,4,,completionRequirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,CombatShieldSO|equipment-item:shield:tower; GenericItemDefinitionSO|equipment-item:shield:tower,Assets/Resources/SO/V20/Factions/Contracts/contract_beastkin_strategic.asset
