source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
SeasonalWorldEventDefinitionSO,seasonal:autumn-caravan-rush,SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,changes-money,contract,180,4,startEffects.0.targetId,Money (자금),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-caravan-rush.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-caravan-rush,SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,references,faction,,,affectedDomainIds,affected Domain Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-caravan-rush.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-caravan-rush,SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,references,production,,,affectedDomainIds,affected Domain Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-caravan-rush.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-caravan-rush,SeasonalWorldEventDefinitionSO|seasonal:autumn-caravan-rush,sets-world-flag,resolved:seasonal:autumn-caravan-rush,1,0,endEffects.0.targetId,WorldFlag (세계 플래그),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-caravan-rush.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-early-frost,SeasonalWorldEventDefinitionSO|seasonal:autumn-early-frost,changes-threat,early-frost,4,4,startEffects.0.targetId,Threat (위협),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-early-frost.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-early-frost,SeasonalWorldEventDefinitionSO|seasonal:autumn-early-frost,references,agriculture,,,affectedDomainIds,affected Domain Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-early-frost.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-early-frost,SeasonalWorldEventDefinitionSO|seasonal:autumn-early-frost,references,expedition,,,affectedDomainIds,affected Domain Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-early-frost.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-early-frost,SeasonalWorldEventDefinitionSO|seasonal:autumn-early-frost,sets-world-flag,resolved:seasonal:autumn-early-frost,1,0,endEffects.0.targetId,WorldFlag (세계 플래그),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-early-frost.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-harvest-dispute,SeasonalWorldEventDefinitionSO|seasonal:autumn-harvest-dispute,changes-faction-grievance,faction:dungeon:kobold,5,3,startEffects.0.targetId,FactionGrievance (세력 원한),faction-content,resolved-content,DungeonFactionDefinitionSO|faction:dungeon:kobold|Assets/Resources/SO/Factions/Dungeons/Faction_Kobold_DeepGearWarren.asset; DungeonFactionDefinitionSO|faction:dungeon:kobold|Assets/Resources/SO/Factions/faction_dungeon_kobold.asset,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-harvest-dispute.asset
SeasonalWorldEventDefinitionSO,seasonal:autumn-harvest-dispute,SeasonalWorldEventDefinitionSO|seasonal:autumn-harvest-dispute,references,agriculture,,,affectedDomainIds,affected Domain Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/V20/World/SeasonalEvents/seasonal_autumn-harvest-dispute.asset
