source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
BuildingSO,building:1804,BuildingSO|building:1804,references,asset:DefenseLinkedDropGate_1_Damage,,,references.RefIds.4.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,Assets/Resources/SO/Building/P1/DefenseLinkedDropGate.asset
BuildingSO,building:1804,BuildingSO|building:1804,references,asset:DefenseLinkedDropGate_2_Slow,,,references.RefIds.4.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseSlowEffectSO|asset:DefenseLinkedDropGate_2_Slow,Assets/Resources/SO/Building/P1/DefenseLinkedDropGate.asset
BuildingSO,building:1805,BuildingSO|building:1805,references,asset:DefenseWallLauncher_1_Damage,,,references.RefIds.3.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,Assets/Resources/SO/Building/P1/DefenseWallLauncher.asset
BuildingSO,building:30,BuildingSO|building:30,references,asset:P1_SpikeTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_SpikeTrap.asset
BuildingSO,building:31,BuildingSO|building:31,references,asset:P1_PoisonPool_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,Assets/Resources/SO/Building/P1/P1_PoisonPool.asset
BuildingSO,building:31,BuildingSO|building:31,references,asset:P1_PoisonPool_2_Corrosion,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,Assets/Resources/SO/Building/P1/P1_PoisonPool.asset
BuildingSO,building:32,BuildingSO|building:32,references,asset:P1_FireVent_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,Assets/Resources/SO/Building/P1/P1_FireVent.asset
BuildingSO,building:32,BuildingSO|building:32,references,asset:P1_FireVent_2_Burn,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseBurnEffectSO|asset:P1_FireVent_2_Burn,Assets/Resources/SO/Building/P1/P1_FireVent.asset
BuildingSO,building:33,BuildingSO|building:33,references,asset:P1_LightningPillar_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,Assets/Resources/SO/Building/P1/P1_LightningPillar.asset
BuildingSO,building:33,BuildingSO|building:33,references,asset:P1_LightningPillar_2_Charge,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseChargeEffectSO|asset:P1_LightningPillar_2_Charge,Assets/Resources/SO/Building/P1/P1_LightningPillar.asset
BuildingSO,building:34,BuildingSO|building:34,references,asset:P1_IceVent_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,Assets/Resources/SO/Building/P1/P1_IceVent.asset
BuildingSO,building:34,BuildingSO|building:34,references,asset:P1_IceVent_2_Slow,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseSlowEffectSO|asset:P1_IceVent_2_Slow,Assets/Resources/SO/Building/P1/P1_IceVent.asset
BuildingSO,building:35,BuildingSO|building:35,references,asset:P1_GuardRoom_1_GuardAttack,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseGuardAttackEffectSO|asset:P1_GuardRoom_1_GuardAttack,Assets/Resources/SO/Building/P1/P1_GuardRoom.asset
BuildingSO,building:52,BuildingSO|building:52,references,asset:P1_VenomSpikeTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_VenomSpikeTrap.asset
BuildingSO,building:52,BuildingSO|building:52,references,asset:P1_VenomSpikeTrap_2_Corrosion,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,Assets/Resources/SO/Building/P1/P1_VenomSpikeTrap.asset
BuildingSO,building:53,BuildingSO|building:53,references,asset:P1_AlarmCoil_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,Assets/Resources/SO/Building/P1/P1_AlarmCoil.asset
BuildingSO,building:53,BuildingSO|building:53,references,asset:P1_AlarmCoil_2_Charge,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseChargeEffectSO|asset:P1_AlarmCoil_2_Charge,Assets/Resources/SO/Building/P1/P1_AlarmCoil.asset
BuildingSO,building:53,BuildingSO|building:53,references,asset:P1_AlarmCoil_3_GuardAttack,,,references.RefIds.2.data.settings.effectAssets.2,Unity asset reference,content-reference,resolved-content,DefenseGuardAttackEffectSO|asset:P1_AlarmCoil_3_GuardAttack,Assets/Resources/SO/Building/P1/P1_AlarmCoil.asset
BuildingSO,building:54,BuildingSO|building:54,references,asset:P1_Barracks_1_GuardAttack,,,references.RefIds.4.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseGuardAttackEffectSO|asset:P1_Barracks_1_GuardAttack,Assets/Resources/SO/Building/P1/P1_Barracks.asset
BuildingSO,building:57,BuildingSO|building:57,references,asset:P1_CorrosionFreezer_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,Assets/Resources/SO/Building/P1/P1_CorrosionFreezer.asset
BuildingSO,building:57,BuildingSO|building:57,references,asset:P1_CorrosionFreezer_2_Corrosion,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,Assets/Resources/SO/Building/P1/P1_CorrosionFreezer.asset
BuildingSO,building:57,BuildingSO|building:57,references,asset:P1_CorrosionFreezer_3_Slow,,,references.RefIds.2.data.settings.effectAssets.2,Unity asset reference,content-reference,resolved-content,DefenseSlowEffectSO|asset:P1_CorrosionFreezer_3_Slow,Assets/Resources/SO/Building/P1/P1_CorrosionFreezer.asset
BuildingSO,building:58,BuildingSO|building:58,references,asset:P1_StormFireTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_StormFireTrap.asset
BuildingSO,building:58,BuildingSO|building:58,references,asset:P1_StormFireTrap_2_Burn,,,references.RefIds.2.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseBurnEffectSO|asset:P1_StormFireTrap_2_Burn,Assets/Resources/SO/Building/P1/P1_StormFireTrap.asset
BuildingSO,building:58,BuildingSO|building:58,references,asset:P1_StormFireTrap_3_Charge,,,references.RefIds.2.data.settings.effectAssets.2,Unity asset reference,content-reference,resolved-content,DefenseChargeEffectSO|asset:P1_StormFireTrap_3_Charge,Assets/Resources/SO/Building/P1/P1_StormFireTrap.asset
BuildingSO,building:58,BuildingSO|building:58,references,asset:P1_StormFireTrap_4_GuardAttack,,,references.RefIds.2.data.settings.effectAssets.3,Unity asset reference,content-reference,resolved-content,DefenseGuardAttackEffectSO|asset:P1_StormFireTrap_4_GuardAttack,Assets/Resources/SO/Building/P1/P1_StormFireTrap.asset
BuildingSO,building:59,BuildingSO|building:59,references,asset:P1_WarBarracks_1_GuardAttack,,,references.RefIds.4.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseGuardAttackEffectSO|asset:P1_WarBarracks_1_GuardAttack,Assets/Resources/SO/Building/P1/P1_WarBarracks.asset
BuildingSO,building:9961,BuildingSO|building:9961,references,asset:P1_LightningPillar_1_Damage,,,references.RefIds.5.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,Assets/Resources/SO/Building/P1/P1_TreasuryBoltThrower.asset
BuildingSO,building:9961,BuildingSO|building:9961,references,asset:P1_LightningPillar_2_Charge,,,references.RefIds.5.data.settings.effectAssets.1,Unity asset reference,content-reference,resolved-content,DefenseChargeEffectSO|asset:P1_LightningPillar_2_Charge,Assets/Resources/SO/Building/P1/P1_TreasuryBoltThrower.asset
