source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FacilitySynthesisRecipeSO,recipe_arcane_alchemy_1,FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,references,building:1030,,,materialBuildings.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1030,Assets/Resources/SO/Synthesis/P1/RS_AlchemyBench.asset
FacilitySynthesisRecipeSO,recipe_arcane_alchemy_1,FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,references,building:1031,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1031,Assets/Resources/SO/Synthesis/P1/RS_AlchemyBench.asset
FacilitySynthesisRecipeSO,recipe_arcane_alchemy_1,FacilitySynthesisRecipeSO|recipe_arcane_alchemy_1,references,building:1032,,,materialBuildings.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1032,Assets/Resources/SO/Synthesis/P1/RS_AlchemyBench.asset
FacilitySynthesisRecipeSO,recipe_arcane_reservoir_1,FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,references,building:1033,,,materialBuildings.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1033,Assets/Resources/SO/Synthesis/P1/RS_ManaReservoir.asset
FacilitySynthesisRecipeSO,recipe_arcane_reservoir_1,FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,references,building:1036,,,materialBuildings.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1036,Assets/Resources/SO/Synthesis/P1/RS_ManaReservoir.asset
FacilitySynthesisRecipeSO,recipe_arcane_reservoir_1,FacilitySynthesisRecipeSO|recipe_arcane_reservoir_1,references,building:1037,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1037,Assets/Resources/SO/Synthesis/P1/RS_ManaReservoir.asset
FacilitySynthesisRecipeSO,recipe_arcane_ritual_2,FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,references,building:1038,,,materialBuildings.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1038,Assets/Resources/SO/Synthesis/P1/RS_RitualFocus.asset
FacilitySynthesisRecipeSO,recipe_arcane_ritual_2,FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,references,building:1039,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1039,Assets/Resources/SO/Synthesis/P1/RS_RitualFocus.asset
FacilitySynthesisRecipeSO,recipe_arcane_ritual_2,FacilitySynthesisRecipeSO|recipe_arcane_ritual_2,references,building:1070,,,materialBuildings.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1070,Assets/Resources/SO/Synthesis/P1/RS_RitualFocus.asset
FacilitySynthesisRecipeSO,recipe_commerce_secure_display_2,FacilitySynthesisRecipeSO|recipe_commerce_secure_display_2,references,building:1013,,,materialBuildings.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1013,Assets/Resources/SO/Synthesis/P1/RS_SecureDisplay.asset
