source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CharacterAcquiredTraitModuleSO,acquired-trait:module:battle-temper,CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_battle-temper.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:night-vigil,CharacterAcquiredTraitModuleSO|acquired-trait:module:night-vigil,references,acquired-trait:module:night-vigil:effect:1,,,drawbackBindingIds,drawback Binding Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_night-vigil.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:night-vigil,CharacterAcquiredTraitModuleSO|acquired-trait:module:night-vigil,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_night-vigil.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:ritual-attunement,CharacterAcquiredTraitModuleSO|acquired-trait:module:ritual-attunement,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_ritual-attunement.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:scar-memory,CharacterAcquiredTraitModuleSO|acquired-trait:module:scar-memory,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_scar-memory.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:social-bridge,CharacterAcquiredTraitModuleSO|acquired-trait:module:social-bridge,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_social-bridge.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:steady-hands,CharacterAcquiredTraitModuleSO|acquired-trait:module:steady-hands,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_steady-hands.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:survival-instinct,CharacterAcquiredTraitModuleSO|acquired-trait:module:survival-instinct,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_survival-instinct.asset
CharacterAcquiredTraitModuleSO,acquired-trait:module:work-rhythm,CharacterAcquiredTraitModuleSO|acquired-trait:module:work-rhythm,references,magnitude,,,formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/Modules/acquired-trait_module_work-rhythm.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.0.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.1.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.10.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.11.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.12.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.13.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.14.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
CharacterAcquiredTraitSettingsSO,character:acquired-trait-settings,CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,references,magnitude,,,drawbackCapabilities.15.formula.appliedParameterIds,applied Parameter Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V25/AcquiredTraits/acquired-trait-settings.asset
