"enemy_id","faction_id","role","max_health","attack","strength","toughness","dexterity","move_speed","equipment","equipment_weight_kg","equipment_craft_wu","ability_ids","counter_tags","reward_items","reward_item_unit_value","attack_weight","protect_weight","ability_weight","retreat_weight","retreat_health_fraction","trait_count_range","combat_stat_variance","final_value_source","static_status"
"enemy:crown-chaplain","human:crown","3","86","6","5.1000004","7","7","4","weapon:spear|armor:mail-shirt","9.9","224","enemy-ability:field-dressing|enemy-ability:rally","counter:focus-support","offense:unappraised-loot","19","1","5","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:crown-levy","human:crown","0","82","7","5.9500003","6","5","4","weapon:spear|armor:gambeson","5.9","180","enemy-ability:charge","counter:reach","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:crown-longbow","human:crown","2","72","10","8.5","4","9","4.5","weapon:longbow|armor:gambeson","5.6","220","enemy-ability:suppressive-volley","counter:smoke","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:crown-marshal","human:crown","5","150","12","10.200001","12","9","4.5","weapon:longsword|armor:breastplate","10.8","256","enemy-ability:rally|enemy-ability:armor-break","counter:isolate-leader","offense:unappraised-loot","19","4","1","6","0","0.2","2-4","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:crown-tower-guard","human:crown","1","112","7","5.9500003","11","4","3","weapon:mace|armor:brigandine|shield:tower","19.0","432","enemy-ability:shield-wall","counter:armor-break","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:inquisition-censor","human:inquisition","4","92","8","6.8","8","8","4","weapon:mana-lance|armor:rune-ward-mail","13.9","600","enemy-ability:arcane-null|enemy-ability:rune-ward","counter:dispel","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:inquisition-high-judge","human:inquisition","5","158","13","11.05","12","11","4.5","weapon:rune-blade|armor:breastplate","11.2","448","enemy-ability:truth-seal|enemy-ability:rally","counter:split-pressure","offense:unappraised-loot","19","4","1","6","0","0.2","2-4","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:inquisition-purifier","human:inquisition","0","98","10","8.5","8","6","4","weapon:warhammer|armor:blast-coat","10.1","320","enemy-ability:armor-break","counter:kite","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:inquisition-rune-sniper","human:inquisition","2","80","11","9.35","5","10","4","weapon:windlass-crossbow|armor:smoke-hood","6.3","304","enemy-ability:arcane-null|enemy-ability:suppressive-volley","counter:decoy","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:inquisition-ward-knight","human:inquisition","1","126","8","6.8","13","5","3.5","weapon:mace|armor:breastplate|shield:mana-buckler","14.0","512","enemy-ability:rune-ward|enemy-ability:shield-wall","counter:physical-burst","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
