"species_tag","source_path","hunger_multiplier","thirst_multiplier","sleep_multiplier","hygiene_multiplier","social_multiplier","comfort_temperature","safe_temperature","lethal_temperature","airborne_exposure_multiplier","visual_strain_multiplier","dryness_sensitivity","stay_duration_multiplier","crime_risk_multiplier","capacity_effects","final_value_source","static_status"
"Adventurer","Assets/Resources/SO/Character/Species/Species_Adventurer.asset","1","1","1","1","1","15-27","0-40","-10-48","1","1","1","1","1","—","serialized CharacterSpeciesSO asset","locked"
"Beastkin","Assets/Resources/SO/Character/Species/Species_Beastkin.asset","1.35","1.15","1","1","1.4","10-29","-4-40","-12-48","1","1","1","1","1","species:Beastkin:capacity_mental-maintenance=0.9|species:Beastkin:capacity_visual-discernment=1.15|species:Beastkin:capacity_auditory-sensing=1.2|species:Beastkin:capacity_respiratory-exchange=1.1|species:Beastkin:capacity_power-circulation=1.15|species:Beastkin:capacity_intake-processing=1|species:Beastkin:capacity_purification-processing=0.9|species:Beastkin:capacity_vitality-response=1.05|species:Beastkin:capacity_physical-power=1.1|species:Beastkin:capacity_precision-manipulation=0.95|species:Beastkin:capacity_physical-mobility=1.25|species:Beastkin:capacity_communication=1|species:Beastkin:capacity_arcane-conduction=0.8|species:Beastkin:capacity_immune-defense=1|species:Beastkin:character_crowd-sensitivity=1.3","serialized CharacterSpeciesSO asset","locked"
"Demon","Assets/Resources/SO/Character/Species/Species_Demon.asset","1","0.9","1","1","0.8","20-34","10-46","-2-56","1","1","1","1","1","species:Demon:capacity_mental-maintenance=1.1|species:Demon:capacity_visual-discernment=1|species:Demon:capacity_auditory-sensing=1|species:Demon:capacity_respiratory-exchange=1.05|species:Demon:capacity_power-circulation=1.1|species:Demon:capacity_intake-processing=0.9|species:Demon:capacity_purification-processing=1.05|species:Demon:capacity_vitality-response=1|species:Demon:capacity_physical-power=1.05|species:Demon:capacity_precision-manipulation=1|species:Demon:capacity_physical-mobility=0.9|species:Demon:capacity_communication=1.15|species:Demon:capacity_arcane-conduction=1.15|species:Demon:capacity_immune-defense=1.05|species:Demon:character_spending=1.6","serialized CharacterSpeciesSO asset","locked"
"Golem","Assets/Resources/SO/Character/Species/Species_Golem.asset","0","0","0.35","0.6","0.3","-5-35","-20-50","-35-65","1","1","1","1","1","species:Golem:capacity_mental-maintenance=0.9|species:Golem:capacity_visual-discernment=1|species:Golem:capacity_auditory-sensing=0.85|species:Golem:capacity_respiratory-exchange=1.05|species:Golem:capacity_power-circulation=1.15|species:Golem:capacity_intake-processing=0.9|species:Golem:capacity_purification-processing=1.1|species:Golem:capacity_vitality-response=1|species:Golem:capacity_physical-power=1.25|species:Golem:capacity_precision-manipulation=1.05|species:Golem:capacity_physical-mobility=1.1|species:Golem:capacity_communication=0.8|species:Golem:capacity_arcane-conduction=1.1|species:Golem:capacity_immune-defense=1.15","serialized CharacterSpeciesSO asset","locked"
"Harpy","Assets/Resources/SO/Character/Species/Species_Harpy.asset","1.1","1","1","1","1.15","7-25","-5-36","-15-44","1","1","1","1","1","species:Harpy:capacity_mental-maintenance=0.95|species:Harpy:capacity_visual-discernment=1.25|species:Harpy:capacity_auditory-sensing=1.1|species:Harpy:capacity_respiratory-exchange=1.15|species:Harpy:capacity_power-circulation=1.15|species:Harpy:capacity_intake-processing=0.9|species:Harpy:capacity_purification-processing=0.85|species:Harpy:capacity_vitality-response=0.95|species:Harpy:capacity_physical-power=0.8|species:Harpy:capacity_precision-manipulation=1.1|species:Harpy:capacity_physical-mobility=1.25|species:Harpy:capacity_communication=1.05|species:Harpy:capacity_arcane-conduction=0.9|species:Harpy:capacity_immune-defense=0.9","serialized CharacterSpeciesSO asset","locked"
"Kobold","Assets/Resources/SO/Character/Species/Species_Kobold.asset","0.85","0.9","1","1","0.9","11-28","-2-40","-10-48","1","1","1","1","1.15","species:Kobold:capacity_mental-maintenance=1.05|species:Kobold:capacity_visual-discernment=1.1|species:Kobold:capacity_auditory-sensing=1.05|species:Kobold:capacity_respiratory-exchange=0.95|species:Kobold:capacity_power-circulation=0.95|species:Kobold:capacity_intake-processing=0.9|species:Kobold:capacity_purification-processing=1|species:Kobold:capacity_vitality-response=0.9|species:Kobold:capacity_physical-power=0.8|species:Kobold:capacity_precision-manipulation=1.25|species:Kobold:capacity_physical-mobility=1.05|species:Kobold:capacity_communication=0.9|species:Kobold:capacity_arcane-conduction=1|species:Kobold:capacity_immune-defense=0.95","serialized CharacterSpeciesSO asset","locked"
"Myconid","Assets/Resources/SO/Character/Species/Species_Myconid.asset","0.75","1.2","1","1","0.7","8-22","0-32","-8-40","1","1","1","1","1","species:Myconid:capacity_mental-maintenance=1.05|species:Myconid:capacity_visual-discernment=0.95|species:Myconid:capacity_auditory-sensing=0.8|species:Myconid:capacity_respiratory-exchange=1.05|species:Myconid:capacity_power-circulation=1.1|species:Myconid:capacity_intake-processing=1.1|species:Myconid:capacity_purification-processing=1.2|species:Myconid:capacity_vitality-response=1.1|species:Myconid:capacity_physical-power=0.8|species:Myconid:capacity_precision-manipulation=1.1|species:Myconid:capacity_physical-mobility=1.1|species:Myconid:capacity_communication=0.9|species:Myconid:capacity_arcane-conduction=1|species:Myconid:capacity_immune-defense=1.15","serialized CharacterSpeciesSO asset","locked"
"Orc","Assets/Resources/SO/Character/Species/Species_Orc.asset","1.2","1.05","1","1","1","12-30","-5-42","-15-50","1","1","1","1","1.2","species:Orc:capacity_mental-maintenance=0.85|species:Orc:capacity_visual-discernment=0.9|species:Orc:capacity_auditory-sensing=0.95|species:Orc:capacity_respiratory-exchange=1.1|species:Orc:capacity_power-circulation=1.15|species:Orc:capacity_intake-processing=0.85|species:Orc:capacity_purification-processing=0.9|species:Orc:capacity_vitality-response=1.15|species:Orc:capacity_physical-power=1.25|species:Orc:capacity_precision-manipulation=0.95|species:Orc:capacity_physical-mobility=1.1|species:Orc:capacity_communication=0.9|species:Orc:capacity_arcane-conduction=0.8|species:Orc:capacity_immune-defense=1.05|species:Orc:character_spending=1.25|species:Orc:character_wait-patience=0.9|species:Orc:character_crowd-sensitivity=0.8","serialized CharacterSpeciesSO asset","locked"
"Slime","Assets/Resources/SO/Character/Species/Species_Slime.asset","1","1","1","1","1","16-24","5-34","0-40","1","1","1","1","1.05","species:Slime:capacity_mental-maintenance=1|species:Slime:capacity_visual-discernment=0.9|species:Slime:capacity_auditory-sensing=0.9|species:Slime:capacity_respiratory-exchange=1|species:Slime:capacity_power-circulation=1.1|species:Slime:capacity_intake-processing=1.05|species:Slime:capacity_purification-processing=1.15|species:Slime:capacity_vitality-response=1.15|species:Slime:capacity_physical-power=0.8|species:Slime:capacity_precision-manipulation=0.85|species:Slime:capacity_physical-mobility=1.1|species:Slime:capacity_communication=0.85|species:Slime:capacity_arcane-conduction=1.05|species:Slime:capacity_immune-defense=1.15|species:Slime:character_spending=0.85","serialized CharacterSpeciesSO asset","locked"
"Vampire","Assets/Resources/SO/Character/Species/Species_Vampire.asset","1","1","1","1","1","8-22","0-34","-10-42","1","1","1","1","1.1","species:Vampire:capacity_mental-maintenance=1.15|species:Vampire:capacity_visual-discernment=1.1|species:Vampire:capacity_auditory-sensing=1|species:Vampire:capacity_respiratory-exchange=0.85|species:Vampire:capacity_power-circulation=1|species:Vampire:capacity_intake-processing=1.15|species:Vampire:capacity_purification-processing=1|species:Vampire:capacity_vitality-response=1.1|species:Vampire:capacity_physical-power=0.9|species:Vampire:capacity_precision-manipulation=1.05|species:Vampire:capacity_physical-mobility=1|species:Vampire:capacity_communication=1.05|species:Vampire:capacity_arcane-conduction=1.15|species:Vampire:capacity_immune-defense=1.05|species:Vampire:character_spending=1.25|species:Vampire:character_wait-patience=1.1|species:Vampire:character_crowd-sensitivity=1.25","serialized CharacterSpeciesSO asset","locked"
