"cultural_practice_id","culture_id","kind","requirement_bom","requirement_kg","requirement_market_value","facility_requirement_count","success_effects","neglected_effects","final_value_source","static_status"
"practice:adventurer-name-token","culture:adventurer-frontier","4","material:paper×1","0.9","9","0","1:practice:adventurer-name-token×3/5d","1:practice:adventurer-name-token×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:adventurer-return-table","culture:adventurer-frontier","0","food:preserved-ration×1","0.5","15","0","5:practice:adventurer-return-table×3/5d","1:practice:adventurer-return-table×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:beastkin-pack-meal","culture:beastkin-pack","1","resource:meat×1","0.7","2","0","5:practice:beastkin-pack-meal×3/5d","1:practice:beastkin-pack-meal×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:beastkin-scent-vigil","culture:beastkin-pack","6","textile:cloth×1","0","0","0","2:practice:beastkin-scent-vigil×-4/5d","1:practice:beastkin-scent-vigil×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:demon-oath-embers","culture:demon-contract","5","material:paper×1","0.9","9","0","12:practice:demon-oath-embers×3/5d","1:practice:demon-oath-embers×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:demon-third-bell","culture:demon-contract","7","item:bell×1","0","0","0","1:practice:demon-third-bell×3/5d","1:practice:demon-third-bell×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:golem-core-polish","culture:golem-core","0","tool:maintenance-kit×1","2.35","108","0","4:practice:golem-core-polish×3/5d","1:practice:golem-core-polish×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:golem-memory-plaque","culture:golem-core","6","material:iron-ingot×1","0.9","40","0","2:practice:golem-memory-plaque×-4/5d","1:practice:golem-memory-plaque×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:harpy-dawn-chorus","culture:harpy-aerie","0","food:dried-fruit×1","0","0","0","1:practice:harpy-dawn-chorus×3/5d","1:practice:harpy-dawn-chorus×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:harpy-first-flight","culture:harpy-aerie","4","material:rope×1","0.9","7","0","3:practice:harpy-first-flight×3/5d","1:practice:harpy-first-flight×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:kobold-bench-feast","culture:kobold-toolclan","7","food:mushroom-stew×1","0","0","0","1:practice:kobold-bench-feast×3/5d","1:practice:kobold-bench-feast×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:kobold-tool-naming","culture:kobold-toolclan","4","material:iron-ingot×1","0.9","40","0","3:practice:kobold-tool-naming×3/5d","1:practice:kobold-tool-naming×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:myconid-shared-mist","culture:myconid-grove","0","resource:clean-water×1","0.5","1","0","5:practice:myconid-shared-mist×3/5d","1:practice:myconid-shared-mist×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:myconid-spore-return","culture:myconid-grove","6","resource:compost×1","0","0","0","2:practice:myconid-spore-return×-4/5d","1:practice:myconid-spore-return×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:orc-shared-cauldron","culture:orc-vigil","1","food:salted-meat-stew×1","0.8","13","0","5:practice:orc-shared-cauldron×3/5d","1:practice:orc-shared-cauldron×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:orc-weapon-vigil","culture:orc-vigil","6","material:charcoal×1","0.45","7","0","2:practice:orc-weapon-vigil×-4/5d","1:practice:orc-weapon-vigil×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:slime-clear-water","culture:slime-confluence","3","resource:clean-water×1","0.5","1","0","5:practice:slime-clear-water×3/5d","1:practice:slime-clear-water×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:slime-core-ring","culture:slime-confluence","4","component:mana-shield-plate×1","2.35","52","0","4:practice:slime-core-ring×3/5d","1:practice:slime-core-ring×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:vampire-consent-cup","culture:vampire-nightcourt","1","food:blood-reserve×1","0","0","0","5:practice:vampire-consent-cup×3/5d","1:practice:vampire-consent-cup×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
"practice:vampire-incense-memory","culture:vampire-nightcourt","6","item:candle×1","0","0","0","2:practice:vampire-incense-memory×-4/5d","1:practice:vampire-incense-memory×-2/3d","serialized CulturalPracticeDefinitionSO asset + item-numeric-ledger.csv","locked"
