"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"faction-chapter:beastkin:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:beastkin:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:beastkin:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:beastkin:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:beastkin:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:beastkin:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:demon:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:golem:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:harpy:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:kobold:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:1","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=1;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:2","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=2;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:3","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=3;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:4","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=4;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:5","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=5;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
"faction-chapter:myconid:6","faction-chapter","36","36","36","0","0","faction-chapter-response@1","chapter=6;choices=3;kg=0-0;market=0-0;facilities=0","false","faction chapter response and cargo handoff work order","document-final-runtime-unbound"
