"contract_id","faction_id","kind","deadline_days","cargo_bom","cargo_kg","cargo_market_value","facility_requirement_count","success_effects","failure_effects","final_value_source","static_status"
"faction-contract:beastkin:crisis","faction:dungeon:beastkin","1","7","medicine:standard×3","0.9","105","0","6:faction:dungeon:beastkin×8/0d|8:faction:dungeon:beastkin×1/0d","7:faction:dungeon:beastkin×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:beastkin:strategic","faction:dungeon:beastkin","2","45","equipment-item:shield:tower×4","40","1968","0","6:faction:dungeon:beastkin×15/0d|8:faction:dungeon:beastkin×1/0d","7:faction:dungeon:beastkin×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:beastkin:supply","faction:dungeon:beastkin","0","20","food:salted-meat-stew×8","6.4","104","0","6:faction:dungeon:beastkin×8/0d|8:faction:dungeon:beastkin×1/0d","7:faction:dungeon:beastkin×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:demon:crisis","faction:dungeon:demon","1","7","component:rune-conductor×1","2.4","345","0","6:faction:dungeon:demon×8/0d|8:faction:dungeon:demon×1/0d","7:faction:dungeon:demon×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:demon:strategic","faction:dungeon:demon","2","45","tool:administrative-seal×18","42.3","1152","0","6:faction:dungeon:demon×15/0d|8:faction:dungeon:demon×1/0d","7:faction:dungeon:demon×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:demon:supply","faction:dungeon:demon","0","20","material:paper×8","7.2","72","0","6:faction:dungeon:demon×8/0d|8:faction:dungeon:demon×1/0d","7:faction:dungeon:demon×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:golem:crisis","faction:dungeon:golem","1","7","tool:maintenance-kit×1","2.35","108","0","6:faction:dungeon:golem×8/0d|8:faction:dungeon:golem×1/0d","7:faction:dungeon:golem×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:golem:strategic","faction:dungeon:golem","2","45","component:rune-conductor×8","19.2","2760","0","6:faction:dungeon:golem×15/0d|8:faction:dungeon:golem×1/0d","7:faction:dungeon:golem×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:golem:supply","faction:dungeon:golem","0","20","component:machine-parts×2","4.2","182","0","6:faction:dungeon:golem×8/0d|8:faction:dungeon:golem×1/0d","7:faction:dungeon:golem×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:harpy:crisis","faction:dungeon:harpy","1","7","medicine:antiseptic×6","1.68","90","0","6:faction:dungeon:harpy×8/0d|8:faction:dungeon:harpy×1/0d","7:faction:dungeon:harpy×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:harpy:strategic","faction:dungeon:harpy","2","45","tool:weather-observation-kit×6","14.1","2172","0","6:faction:dungeon:harpy×15/0d|8:faction:dungeon:harpy×1/0d","7:faction:dungeon:harpy×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:harpy:supply","faction:dungeon:harpy","0","20","material:rope×8","7.2","56","0","6:faction:dungeon:harpy×8/0d|8:faction:dungeon:harpy×1/0d","7:faction:dungeon:harpy×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:kobold:crisis","faction:dungeon:kobold","1","7","tool:field-repair-kit×1","2.5","108","0","6:faction:dungeon:kobold×8/0d|8:faction:dungeon:kobold×1/0d","7:faction:dungeon:kobold×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:kobold:strategic","faction:dungeon:kobold","2","45","component:engineering-drawing×18","16.2","396","0","6:faction:dungeon:kobold×15/0d|8:faction:dungeon:kobold×1/0d","7:faction:dungeon:kobold×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:kobold:supply","faction:dungeon:kobold","0","20","component:machine-parts×2","4.2","182","0","6:faction:dungeon:kobold×8/0d|8:faction:dungeon:kobold×1/0d","7:faction:dungeon:kobold×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:myconid:crisis","faction:dungeon:myconid","1","7","supply:fungicide×4","4.6","84","0","6:faction:dungeon:myconid×8/0d|8:faction:dungeon:myconid×1/0d","7:faction:dungeon:myconid×12/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:myconid:strategic","faction:dungeon:myconid","2","45","tool:weather-observation-kit×6","14.1","2172","0","6:faction:dungeon:myconid×15/0d|8:faction:dungeon:myconid×1/0d","7:faction:dungeon:myconid×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
"faction-contract:myconid:supply","faction:dungeon:myconid","0","20","resource:cave-mushroom×16","4","32","0","6:faction:dungeon:myconid×8/0d|8:faction:dungeon:myconid×1/0d","7:faction:dungeon:myconid×7/0d","serialized FactionContractDefinitionSO asset + item-numeric-ledger.csv","locked"
