"life_event_id","category","automatic","emergency","response_deadline_days","cooldown_days","frequency_rule","choice_count","choice_contracts","automatic_effects","final_value_source","static_status"
"life-event:apprentice-mistake","1","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=3:life-event:apprentice-mistake×25/0d} || second{bom=—;kg=0;market=0;effects=1:life-event:apprentice-mistake×-4/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:captains-test","3","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=16:life-event:captains-test×45/0d} || second{bom=—;kg=0;market=0;effects=5:life-event:captains-test×6/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:childhood-bully","0","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:childhood-bully×5/0d} || second{bom=—;kg=0;market=0;effects=13:life-event:childhood-bully×1/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:clinic-shortage","3","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=4:life-event:clinic-shortage×8/0d} || second{bom=—;kg=0;market=0;effects=6:affected-faction×-6/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:cultural-petition","2","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=1:life-event:cultural-petition×5/0d} || second{bom=—;kg=0;market=0;effects=5:life-event:cultural-petition×5/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:dangerous-friendship","0","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=3:life-event:dangerous-friendship×15/0d} || second{bom=—;kg=0;market=0;effects=1:life-event:dangerous-friendship×-3/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:disputed-thesis","3","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=3:life-event:disputed-thesis×30/0d} || second{bom=—;kg=0;market=0;effects=13:life-event:disputed-thesis×2/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:elder-birthday","4","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:family-room","2","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:family-room×7/0d} || second{bom=—;kg=0;market=0;effects=1:life-event:family-room×3/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:first-forbidden-door","0","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:first-forbidden-door×4/0d} || second{bom=—;kg=0;market=0;effects=1:life-event:first-forbidden-door×-2/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
