"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"life-event:apprentice-mistake","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:captains-test","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:childhood-bully","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:clinic-shortage","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:cultural-petition","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:dangerous-friendship","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:disputed-thesis","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:elder-birthday","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:family-room","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:first-forbidden-door","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:first-lost-tooth","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:first-safe-task","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:foundling-question","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:grave-visit","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:guardian-oath","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:household-meal","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:inherited-debt","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:killer-sighted","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:last-lesson","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:lineage-relic","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:masterpiece-commission","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:mentor-favor","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:newborn-welcome","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:position-rivalry","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:quiet-promotion","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:retiree-story","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:retirement-request","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:shared-lullaby","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:shift-saved","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:stolen-design","life-event","28","28","28","0","0","life-choice-response@1","choices=2;emergency=0;deadline=3;kg=0-0;market=0-0","false","life-event response work order","document-final-runtime-unbound"
"life-event:story-compressed","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
"life-event:tool-inheritance","life-event","0","0","0","0","0","automatic-record@1","automatic=1","false","no response work order; retain automatic record only","document-final-runtime-unbound"
