"seasonal_event_id","season","minimum_duration_days","maximum_duration_days","affected_domains","start_effects","daily_effects","end_effects","final_value_source","static_status"
"seasonal:autumn-caravan-rush","2","2","4","faction|production","9:contract×180/4d","—","12:resolved:seasonal:autumn-caravan-rush×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-early-frost","2","2","4","agriculture|expedition","14:early-frost×4/4d","—","12:resolved:seasonal:autumn-early-frost×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-harvest-dispute","2","2","3","faction|agriculture","7:faction:dungeon:kobold×5/3d","—","12:resolved:seasonal:autumn-harvest-dispute×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-migration-window","2","2","3","expedition|wildlife","12:migration-window×1/3d","—","12:resolved:seasonal:autumn-migration-window×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-predator-descent","2","3","5","wildlife|defense","14:predators×5/5d","—","12:resolved:seasonal:autumn-predator-descent×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-rot-cart","2","1","2","logistics|disease","15:disease:gut-rot×9/2d","—","12:resolved:seasonal:autumn-rot-cart×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:autumn-spoiled-silage","2","1","3","husbandry|facility","14:silage-fire×4/3d","—","12:resolved:seasonal:autumn-spoiled-silage×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-fever-camp","0","2","4","disease|service","15:disease:red-fever×10/4d","—","12:resolved:seasonal:spring-fever-camp×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-migrant-herd","0","2","4","wildlife|agriculture","14:herd×3/4d","—","12:resolved:seasonal:spring-migrant-herd×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-nesting-season","0","3","5","wildlife|facility","14:nests×2/5d","—","12:resolved:seasonal:spring-nesting-season×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-seed-exchange","0","2","2","faction|agriculture","6:faction:dungeon:myconid×4/2d","—","12:resolved:seasonal:spring-seed-exchange×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-spore-rain","0","2","4","agriculture|disease","15:disease:spore-lung×8/4d","—","12:resolved:seasonal:spring-spore-rain×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-thaw-flood","0","2","3","agriculture|logistics","13:flood×1/3d","—","12:resolved:seasonal:spring-thaw-flood×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:spring-washed-road","0","1","3","expedition|logistics","13:road×2/3d","—","12:resolved:seasonal:spring-washed-road×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
"seasonal:summer-dry-well","1","3","5","agriculture|service","11:resource:clean-water×6/5d","—","12:resolved:seasonal:summer-dry-well×1/0d","serialized SeasonalWorldEventDefinitionSO asset","locked"
