"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"seasonal:autumn-caravan-rush","seasonal-event","82","123","164","750","540","seasonal-opportunity-allocation@1","duration=2-4;affected=faction|production;start=9:contract×180/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-early-frost","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=agriculture|expedition;start=14:early-frost×4/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-harvest-dispute","seasonal-event","126","158","189","1150","540","seasonal-pressure-allocation@1","duration=2-3;affected=faction|agriculture;start=7:faction:dungeon:kobold×5/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-migration-window","seasonal-event","126","158","189","1150","540","seasonal-pressure-allocation@1","duration=2-3;affected=expedition|wildlife;start=12:migration-window×1/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-predator-descent","seasonal-event","219","292","365","1350","540","seasonal-pressure-allocation@1","duration=3-5;affected=wildlife|defense;start=14:predators×5/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-rot-cart","seasonal-event","52","78","104","950","540","seasonal-pressure-allocation@1","duration=1-2;affected=logistics|disease;start=15:disease:gut-rot×9/2d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:autumn-spoiled-silage","seasonal-event","52","104","156","950","540","seasonal-pressure-allocation@1","duration=1-3;affected=husbandry|facility;start=14:silage-fire×4/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-fever-camp","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=disease|service;start=15:disease:red-fever×10/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-migrant-herd","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=wildlife|agriculture;start=14:herd×3/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-nesting-season","seasonal-event","219","292","365","1350","540","seasonal-pressure-allocation@1","duration=3-5;affected=wildlife|facility;start=14:nests×2/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-seed-exchange","seasonal-event","126","126","126","1150","540","seasonal-pressure-allocation@1","duration=2-2;affected=faction|agriculture;start=6:faction:dungeon:myconid×4/2d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-spore-rain","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=agriculture|disease;start=15:disease:spore-lung×8/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-thaw-flood","seasonal-event","126","158","189","1150","540","seasonal-pressure-allocation@1","duration=2-3;affected=agriculture|logistics;start=13:flood×1/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:spring-washed-road","seasonal-event","52","104","156","950","540","seasonal-pressure-allocation@1","duration=1-3;affected=expedition|logistics;start=13:road×2/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-dry-well","seasonal-event","219","292","365","1350","540","seasonal-pressure-allocation@1","duration=3-5;affected=agriculture|service;start=11:resource:clean-water×6/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-festival-scarcity","seasonal-event","82","103","123","750","540","seasonal-opportunity-allocation@1","duration=2-3;affected=service|faction;start=9:market×-120/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-heat-grid","seasonal-event","126","221","315","1150","540","seasonal-pressure-allocation@1","duration=2-5;affected=facility|health;start=14:power-grid×4/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-mana-lightning","seasonal-event","52","104","156","950","540","seasonal-pressure-allocation@1","duration=1-3;affected=facility|expedition;start=14:mana-surge×5/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-smoke-valley","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=disease|combat;start=15:disease:ash-lung×7/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-vermin-bloom","seasonal-event","219","292","365","1350","540","seasonal-pressure-allocation@1","duration=3-5;affected=agriculture|logistics;start=14:crop-pests×5/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:summer-wounded-mercenaries","seasonal-event","126","158","189","1150","540","seasonal-pressure-allocation@1","duration=2-3;affected=service|faction;start=7:faction:dungeon:beastkin×5/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-cave-flu-wave","seasonal-event","219","329","438","1350","540","seasonal-pressure-allocation@1","duration=3-6;affected=disease|service;start=15:disease:cave-flu×12/6d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-deep-echo","seasonal-event","52","78","104","950","540","seasonal-pressure-allocation@1","duration=1-2;affected=expedition|wildlife;start=14:truth-guardian×5/2d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-frozen-pipes","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=facility|health;start=14:frozen-pipes×4/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-fuel-demand","seasonal-event","126","189","252","1150","540","seasonal-pressure-allocation@1","duration=2-4;affected=faction|facility;start=11:material:charcoal×8/4d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-hungry-pack","seasonal-event","219","292","365","1350","540","seasonal-pressure-allocation@1","duration=3-5;affected=wildlife|defense;start=14:hungry-pack×6/5d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-memorial-envoys","seasonal-event","52","78","104","950","540","seasonal-pressure-allocation@1","duration=1-2;affected=faction|psychosocial;start=6:faction:dungeon:golem×5/2d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
"seasonal:winter-whiteout","seasonal-event","52","104","156","950","540","seasonal-pressure-allocation@1","duration=1-3;affected=expedition|logistics;start=13:whiteout×3/3d","false","seasonal response allocation and named recovery work orders","document-final-runtime-unbound"
