"building_id","asset_classification","source_path","cells","construction_wu","repair_wu","clean_wu","operate_wu","construction_bom","construction_value","construction_cost","maintenance","maintenance_per_game_hour","demolition_refund_rate","facility_capacity","default_batch_capacity","output_buffer_cycles","service_capacity","utility_max_throughput","process_work_seconds","final_value_source","static_status"
"building:1000","player-composable-part","Assets/Resources/SO/Building/Modular/D01_간이화덕.asset","1x1","261","32","8","10","material:stone-block×9|material:iron-ingot×3","95","0","3","1","0.5","1","—","—","—","25","1.1|0.8","serialized BuildingSO asset","locked"
"building:1001","player-composable-part","Assets/Resources/SO/Building/Modular/D02_고기그릴.asset","2x1","364","42","8","10","material:stone-block×4|material:iron-ingot×5","110","0","3","1","0.5","1","—","—","—","25","1.3|0.9","serialized BuildingSO asset","locked"
"building:1002","player-composable-part","Assets/Resources/SO/Building/Modular/D03_조리손질대.asset","2x1","312","10","4","10","material:treated-lumber×9|material:iron-ingot×3|material:stone-block×2","75","0","1","1","0.5","24|96|48|64|120|16|0","4","4","—","25","1","serialized BuildingSO asset","locked"
"building:1003","player-composable-part","Assets/Resources/SO/Building/Modular/D04_배식카운터.asset","2x1","451","42","8","10","material:lumber×8|material:iron-ingot×2","110","0","3","—","0.5","1","—","—","1","—","—","serialized BuildingSO asset","locked"
"building:1004","player-composable-part","Assets/Resources/SO/Building/Modular/D05_소형식탁.asset","2x1","463","10","4","10","material:lumber×9","75","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1005","player-composable-part","Assets/Resources/SO/Building/Modular/D06_대형연회식탁.asset","3x1","566","12","4","10","material:lumber×12","115","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1006","player-composable-part","Assets/Resources/SO/Building/Modular/D07_목제의자.asset","1x1","386","8","4","10","material:lumber×5","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1007","player-composable-part","Assets/Resources/SO/Building/Modular/D08_푹신한의자.asset","1x1","368","8","4","10","material:lumber×5|material:cloth×3","85","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1008","player-composable-part","Assets/Resources/SO/Building/Modular/D09_긴벤치.asset","2x1","499","10","4","10","material:lumber×8","75","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1009","player-composable-part","Assets/Resources/SO/Building/Modular/D10_식재료선반.asset","1x1","125","12","4","10","material:lumber×6","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1010","player-composable-part","Assets/Resources/SO/Building/Modular/D11_고기걸이.asset","1x1","54","8","4","10","material:lumber×5|material:iron-ingot×1","85","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1011","player-composable-part","Assets/Resources/SO/Building/Modular/D12_술음료장.asset","1x1","241","32","8","10","material:treated-lumber×6|material:iron-ingot×2","120","0","4","—","0.5","24|96|48|64|120|16|1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:1012","player-composable-part","Assets/Resources/SO/Building/Modular/S01_판매카운터.asset","2x1","141","16","4","10","material:lumber×5|material:iron-ingot×2","110","0","3","—","0.5","1","—","—","1","—","—","serialized BuildingSO asset","locked"
"building:1013","player-composable-part","Assets/Resources/SO/Building/Modular/S02_잡화진열선반.asset","2x1","512","10","4","10","material:lumber×6","75","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1014","player-composable-part","Assets/Resources/SO/Building/Modular/S03_잠금진열장.asset","2x1","428","58","10","10","material:treated-lumber×6|material:iron-ingot×3","100","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1015","player-composable-part","Assets/Resources/SO/Building/Modular/S04_잡화상자.asset","1x1","125","12","4","10","material:lumber×6","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1016","player-composable-part","Assets/Resources/SO/Building/Modular/S05_무기거치대.asset","1x1","81","8","4","10","material:lumber×3|material:iron-ingot×2","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1017","player-composable-part","Assets/Resources/SO/Building/Modular/S06_갑옷거치대.asset","1x1","81","8","4","10","material:lumber×3|material:iron-ingot×3","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1018","player-composable-part","Assets/Resources/SO/Building/Modular/S07_무기보관함.asset","1x1","153","44","10","10","material:treated-lumber×4|material:iron-ingot×2","60","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1019","player-composable-part","Assets/Resources/SO/Building/Modular/S08_대장작업대.asset","2x1","312","36","6","10","material:treated-lumber×9|material:iron-ingot×4|material:stone-block×2","135","0","4","1","0.5","24|96|48|64|120|16|1","4","4","—","25","—","serialized BuildingSO asset","locked"
"building:1020","player-composable-part","Assets/Resources/SO/Building/Modular/R01_간이침대.asset","2x1","751","42","8","10","material:lumber×8|material:cloth×5","110","0","3","—","0.5","1","—","—","1","—","1.4","serialized BuildingSO asset","locked"
"building:1021","player-composable-part","Assets/Resources/SO/Building/Modular/R02_정식침대.asset","2x1","751","42","8","10","material:lumber×8|material:cloth×5","135","0","4","—","0.5","1","—","—","1","—","1.2","serialized BuildingSO asset","locked"
"building:1022","player-composable-part","Assets/Resources/SO/Building/Modular/R03_이층침대.asset","2x1","672","42","8","10","material:lumber×12|material:cloth×8|material:iron-ingot×3","135","0","4","—","0.5","2","—","—","1","—","1.3","serialized BuildingSO asset","locked"
