"building_id","asset_classification","source_path","cells","construction_wu","repair_wu","clean_wu","operate_wu","construction_bom","construction_value","construction_cost","maintenance","maintenance_per_game_hour","demolition_refund_rate","facility_capacity","default_batch_capacity","output_buffer_cycles","service_capacity","utility_max_throughput","process_work_seconds","final_value_source","static_status"
"building:8801","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF01_채집_바구니_작업대.asset","1x1","719","10","8","12","material:lumber×9|material:treated-lumber×5|material:iron-ingot×3|material:rope×3|material:cloth×2","0","130","1","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8802","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF02_중력식_수문.asset","1x1","234","16","12","12","material:stone-block×8|material:treated-lumber×4|material:iron-ingot×6|resource:clean-water×4","0","200","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8803","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF03_동굴_재배_선반.asset","1x1","351","21","12","12","material:treated-lumber×12|material:stone-block×8|material:iron-ingot×6|resource:clean-water×12|component:machine-parts×2|material:cloth×4","0","260","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8804","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF04_문장_깃발_제작대.asset","1x1","360","18","8","12","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","0","220","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8805","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF05_의식_화로.asset","1x1","360","18","8","12","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","0","220","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8806","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF06_운반_멜빵_걸이.asset","1x1","360","18","8","12","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","0","220","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8807","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF07_가격표_게시판.asset","1x1","240","10","8","12","material:lumber×6|material:treated-lumber×2|material:iron-ingot×2|material:paper×6|component:price-board×2","0","120","1","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8808","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF08_피의_무대_배수구.asset","1x1","276","16","12","12","material:stone-block×10|material:treated-lumber×4|material:iron-ingot×6|resource:clean-water×4","0","200","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8809","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF09_포로_작업_도구함.asset","1x1","360","22","8","12","material:treated-lumber×5|material:iron-ingot×4|material:hardened-leather×2|material:chain-mesh×1","0","280","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8810","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF10_강화_구속구_선반.asset","1x1","360","22","8","12","material:treated-lumber×5|material:iron-ingot×4|material:hardened-leather×2|material:chain-mesh×1","0","280","2","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
"building:8811","player-composable-part","Assets/Resources/SO/Building/ResearchOverhaul/RF11_공연_소품_보관대.asset","1x1","234","14","8","12","material:treated-lumber×9|material:iron-ingot×2|material:cloth×2|material:paper×3","0","180","1","—","0.5","1","4","4","—","—","—","serialized BuildingSO asset","locked"
