"building_id","asset_classification","source_path","cells","construction_wu","repair_wu","clean_wu","operate_wu","construction_bom","construction_value","construction_cost","maintenance","maintenance_per_game_hour","demolition_refund_rate","facility_capacity","default_batch_capacity","output_buffer_cycles","service_capacity","utility_max_throughput","process_work_seconds","final_value_source","static_status"
"building:1200","player-composable-part","Assets/Resources/SO/Building/Captivity/CP01_감방구속대.asset","2x1","463","12","7.5","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1201","player-composable-part","Assets/Resources/SO/Building/Captivity/CS01_중앙무대.asset","2x1","372","12","7.5","10","material:iron-ingot×12","0","180","3","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1202","player-composable-part","Assets/Resources/SO/Building/Captivity/CS02_관람석.asset","2x1","499","12","7.5","10","material:lumber×8","0","90","1","—","0.5","2","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1203","player-composable-part","Assets/Resources/SO/Building/Captivity/CB01_야수우리.asset","1x1","373","10","6.25","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1204","player-composable-part","Assets/Resources/SO/Building/Captivity/CT01_매표소.asset","2x1","499","12","7.5","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1205","player-composable-part","Assets/Resources/SO/Building/Captivity/CG01_도박창구.asset","2x1","499","12","7.5","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1206","player-composable-part","Assets/Resources/SO/Building/Captivity/CA01_진행자단상.asset","1x1","373","10","6.25","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1207","player-composable-part","Assets/Resources/SO/Building/Captivity/CH01_위험장치.asset","1x1","373","10","6.25","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1208","player-composable-part","Assets/Resources/SO/Building/Captivity/CM01_치료구역.asset","2x1","78","12","7.5","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1209","player-composable-part","Assets/Resources/SO/Building/Captivity/CP02_공개형벌장치.asset","1x1","373","10","6.25","10","material:lumber×8","0","90","1","—","0.5","1","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1700","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR01_숙박 접수대.asset","2x1","89","42","10","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1701","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR02_목욕 접수대.asset","2x1","89","42","10","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1702","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR03_의료 분류대.asset","2x1","89","42","10","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1703","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR04_순번판.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1704","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR05_보온 배식대.asset","2x1","684","52","12","10","material:treated-lumber×4|material:steel-ingot×3|component:machine-parts×2|component:precision-parts×1","40","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1705","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR06_자동 계산대.asset","2x1","684","52","12","10","material:treated-lumber×4|material:steel-ingot×3|component:machine-parts×2|component:precision-parts×1","40","0","2","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1706","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR07_슬라임 전용 좌석.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1707","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR08_오크 전용 좌석.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1708","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR09_뱀파이어 전용 좌석.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1709","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR10_객실 정리함.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1710","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR11_목욕 위생대.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1711","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR12_의료 호출판.asset","1x1","60","32","8","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:1712","player-composable-part","Assets/Resources/SO/Building/ServiceRooms/SR13_주문 접수대.asset","2x1","89","42","10","10","material:lumber×6|material:iron-ingot×1","24","0","1","—","0.5","—","—","—","—","—","—","serialized BuildingSO asset","locked"
