"building_id","asset_classification","source_path","cells","construction_wu","repair_wu","clean_wu","operate_wu","construction_bom","construction_value","construction_cost","maintenance","maintenance_per_game_hour","demolition_refund_rate","facility_capacity","default_batch_capacity","output_buffer_cycles","service_capacity","utility_max_throughput","process_work_seconds","final_value_source","static_status"
"building:-1949999295","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_FloorOverlay.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","1.2|1.6","serialized BuildingSO asset","locked"
"building:-1949999296","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_CeilingFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","1.2|1.6","serialized BuildingSO asset","locked"
"building:-1949999297","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_WallFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","1.2|1.6","serialized BuildingSO asset","locked"
"building:-1949999299","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Building.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","1.2|1.6","serialized BuildingSO asset","locked"
"building:-1949999300","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Hallway.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","1.2|1.6","serialized BuildingSO asset","locked"
"building:-1949999395","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_FloorOverlay.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:-1949999396","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_CeilingFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:-1949999397","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_WallFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:-1949999399","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Building.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:-1949999400","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Hallway.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","—","serialized BuildingSO asset","locked"
"building:-1949999495","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_OutdoorRestSpot_FloorOverlay.asset","1x1","18","10","6.25","10","material:stone-block×1","—","—","—","—","—","0","—","—","—","—","1.4","serialized BuildingSO asset","locked"
"building:-1949999496","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_OutdoorRestSpot_CeilingFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","1.4","serialized BuildingSO asset","locked"
"building:-1949999497","runtime-anchor","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_OutdoorRestSpot_WallFixture.asset","1x1","18","10","6.25","10","material:lumber×1","—","—","—","—","—","0","—","—","—","—","1.4","serialized BuildingSO asset","locked"
