"equipment_id","equipment_type","item_id","weight_kg","occupied_hands","max_durability","required_craft_wu","era","tier","required_research","default_material","craft_bom","craft_bom_kg","craft_bom_market_value","unresolved_bom_items","combat_signature","final_value_source","static_status"
"armor:articulated-plate","CombatArmorSO","equipment-item:armor:articulated-plate","13","0","120","256","1","1","research:equipment:articulated-plate","material:iron","component:growth-frame×1|component:textile-hardener×1|material:iron-ingot×10|material:plate-blank×2","17.35","1314","—","layer=3;defense=slash=34/pierce=31/blunt=23|slash=22/pierce=20/blunt=16|slash=22/pierce=20/blunt=16","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:blacksteel-carapace","CombatArmorSO","equipment-item:armor:blacksteel-carapace","15","0","120","328","4","4","research:industry:dark-foundry","material:iron","component:blacksteel-defense-plate×2|component:growth-frame×1|material:iron-ingot×10","16.75","2360","—","layer=3;defense=slash=48/pierce=46/blunt=38","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:blast-coat","CombatArmorSO","equipment-item:armor:blast-coat","7","0","120","224","3","3","research:equipment:pressure-barrels","material:iron","component:blast-coat-shell×1|material:iron-ingot×6|textile:insulating-cloth×1|textile:quilted-liner×1","8.45","324","—","layer=4;defense=slash=16/pierce=18/blunt=26","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:breastplate","CombatArmorSO","equipment-item:armor:breastplate","9","0","120","184","1","1","research:equipment:articulated-plate","material:iron","material:iron-ingot×7","6.3","280","—","layer=3;defense=slash=25/pierce=22/blunt=16","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:brigandine","CombatArmorSO","equipment-item:armor:brigandine","6.2","0","120","168","1","1","research:equipment:armor-tailoring","material:iron","component:brigandine-padding×1|component:textile-hardener×1|material:iron-ingot×5|textile:quilted-liner×1","7.70","273","—","layer=4;defense=slash=18/pierce=15/blunt=11","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:closed-plate-helm","CombatArmorSO","equipment-item:armor:closed-plate-helm","3.8","0","120","84","1","1","research:equipment:articulated-plate","material:iron","material:iron-ingot×3","2.7","120","—","layer=3;defense=slash=28/pierce=25/blunt=19","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:cloth-hood","CombatArmorSO","equipment-item:armor:cloth-hood","0.4","0","120","52","0","0","—","material:cloth","material:cloth×1","0.2","6","—","layer=1;defense=slash=2/pierce=1/blunt=1","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:gambeson","CombatArmorSO","equipment-item:armor:gambeson","3.5","0","120","108","1","1","research:textile:tailoring","material:cloth","component:growth-frame×1|material:cloth×3|textile:quilted-liner×1","4.60","693","—","layer=1;defense=slash=7/pierce=5/blunt=8|slash=5/pierce=3/blunt=5|slash=5/pierce=3/blunt=5","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:hardened-leather-coat","CombatArmorSO","equipment-item:armor:hardened-leather-coat","4.8","0","120","148","1","1","research:textile:tanning","material:iron","material:hardened-leather×2|material:iron-ingot×4","5.5","200","—","layer=4;defense=slash=14/pierce=11/blunt=8","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:iron-helmet","CombatArmorSO","equipment-item:armor:iron-helmet","2.8","0","120","84","1","1","research:equipment:articulated-plate","material:iron","material:iron-ingot×3","2.7","120","—","layer=3;defense=slash=20/pierce=18/blunt=13","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:jack-of-plates","CombatArmorSO","equipment-item:armor:jack-of-plates","5.4","0","120","168","1","1","research:equipment:armor-tailoring","material:iron","material:hardened-leather×1|material:iron-ingot×5|material:plate-blank×1|textile:quilted-liner×1","8.50","365","—","layer=4;defense=slash=17/pierce=14/blunt=10","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:leather","CombatArmorSO","equipment-item:armor:leather","4.2","0","120","124","1","1","research:textile:tanning","material:leather","material:leather×4","1.8","44","—","layer=4;defense=slash=10/pierce=8/blunt=5","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:leather-cap","CombatArmorSO","equipment-item:armor:leather-cap","0.8","0","120","52","0","0","—","material:leather","material:leather×1","0.45","11","—","layer=1;defense=slash=5/pierce=4/blunt=3","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:mail-coif","CombatArmorSO","equipment-item:armor:mail-coif","1.6","0","120","88","1","1","research:equipment:mail-weaving","material:iron","material:chain-mesh×1|material:iron-ingot×2","3.9","128","—","layer=2;defense=slash=11/pierce=10/blunt=5","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:mail-shirt","CombatArmorSO","equipment-item:armor:mail-shirt","7.5","0","120","152","1","1","research:equipment:mail-weaving","material:iron","material:chain-mesh×1|material:iron-ingot×6","7.5","288","—","layer=2;defense=slash=16/pierce=15/blunt=7|slash=10/pierce=9/blunt=5|slash=10/pierce=9/blunt=5","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:padded-hood","CombatArmorSO","equipment-item:armor:padded-hood","0.8","0","120","80","1","1","research:textile:tailoring","material:iron","material:iron-ingot×1|textile:quilted-liner×1","1.85","61","—","layer=1;defense=slash=6/pierce=4/blunt=9","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:powder-cuirass","CombatArmorSO","equipment-item:armor:powder-cuirass","8.2","0","120","256","3","3","research:equipment:pressure-barrels","material:iron","material:iron-ingot×7|material:plate-blank×1|textile:insulating-cloth×1","9.35","421","—","layer=4;defense=slash=14/pierce=18/blunt=31","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:powered-harness","CombatArmorSO","equipment-item:armor:powered-harness","18","0","120","392","4","4","research:equipment:powered-armor","material:iron","component:growth-frame×1|component:machine-parts×2|component:powered-armor-joint×2|component:precision-parts×2|component:prototype-package×1|material:iron-ingot×10","26.35","3391","—","layer=3;defense=slash=42/pierce=40/blunt=34","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:rune-ward-mail","CombatArmorSO","equipment-item:armor:rune-ward-mail","9","0","120","344","4","4","research:equipment:rune-module-tuning","material:iron","component:dreamweave-rune-lining×1|component:growth-frame×1|component:rune-conductor×1|component:rune-leather-lining×1|material:chain-mesh×1|material:iron-ingot×7|material:mana-alloy×1","18.95","2169","—","layer=2;defense=slash=30/pierce=31/blunt=20","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:scale-coat","CombatArmorSO","equipment-item:armor:scale-coat","8.2","0","120","208","1","1","research:equipment:mail-weaving","material:iron","component:growth-frame×1|material:chain-mesh×1|material:iron-ingot×7","11.45","982","—","layer=2;defense=slash=23/pierce=19/blunt=13","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"armor:smoke-hood","CombatArmorSO","equipment-item:armor:smoke-hood","1.1","0","120","140","3","3","research:equipment:pressure-barrels","material:iron","material:iron-ingot×1|textile:insulating-cloth×1|textile:sterile-cloth×1","2.85","73","—","layer=1;defense=slash=7/pierce=6/blunt=12","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:blacksteel","CombatShieldSO","equipment-item:shield:blacksteel","11","1","160","312","4","4","research:industry:dark-foundry","material:iron","material:blacksteel-ingot×2|material:iron-ingot×9","10.1","1578","—","slash=42;pierce=40;blunt=25;frontalBlock=0.56","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:buckler","CombatShieldSO","equipment-item:shield:buckler","1.8","1","160","100","1","1","research:equipment:weapon-patterns","material:iron","component:growth-frame×1|material:iron-ingot×2","4.85","734","—","slash=12;pierce=10;blunt=9;frontalBlock=0.32","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:iron","CombatShieldSO","equipment-item:shield:iron","6","1","160","176","1","1","research:metallurgy:iron","material:iron","component:growth-frame×1|material:iron-ingot×5","7.55","854","—","slash=18;pierce=15;blunt=13;frontalBlock=0.38","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:mana-buckler","CombatShieldSO","equipment-item:shield:mana-buckler","2.2","1","160","256","4","4","research:equipment:rune-module-tuning","material:iron","component:rune-conductor×1|material:iron-ingot×2|material:mana-alloy×1","6.6","655","—","slash=14;pierce=24;blunt=18;frontalBlock=0.34","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:pavise","CombatShieldSO","equipment-item:shield:pavise","12","1","160","232","1","1","research:defense:siege-fortification","material:iron","material:iron-ingot×9|material:laminated-lumber×2|material:plate-blank×1","13.4","530","—","slash=34;pierce=31;blunt=26;frontalBlock=0.68","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:powered","CombatShieldSO","equipment-item:shield:powered","13","1","160","352","4","4","research:equipment:powered-armor","material:iron","component:growth-frame×1|component:machine-parts×2|material:iron-ingot×10|material:plate-blank×2","20.45","1484","—","slash=39;pierce=38;blunt=33;frontalBlock=0.62","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:rune","CombatShieldSO","equipment-item:shield:rune","6.5","1","160","312","4","4","research:equipment:rune-module-tuning","material:iron","component:growth-frame×1|component:rune-conductor×1|component:rune-control-panel×1|component:rune-leather-strap×1|component:rune-tuning-shield×1|material:iron-ingot×5","15.05","2874","—","slash=30;pierce=31;blunt=25;frontalBlock=0.48","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:tower","CombatShieldSO","equipment-item:shield:tower","10","1","160","192","1","1","research:defense:fortification","material:iron","material:iron-ingot×8","7.2","320","—","slash=28;pierce=25;blunt=22;frontalBlock=0.52","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"shield:wood","CombatShieldSO","equipment-item:shield:wood","3.5","1","160","80","0","0","—","material:wood","material:lumber×3","3.6","15","—","slash=10;pierce=7;blunt=7;frontalBlock=0.28","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:arquebus","CombatWeaponSO","equipment-item:weapon:arquebus","5.6","2","100","176","2","2","research:equipment:ballistics","material:iron","component:engineering-drawing×1|component:machine-parts×1|component:precision-parts×1|material:iron-ingot×5","9.65","603","—","damage=34;penetration=31;tracking=0.018;attackSeconds=1.7;range=24;magazine=1;reloadSeconds=8.5;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:blacksteel-poleaxe","CombatWeaponSO","equipment-item:weapon:blacksteel-poleaxe","6.8","2","100","312","4","4","research:industry:dark-foundry","material:iron","component:growth-frame×1|material:blacksteel-ingot×2|material:iron-ingot×6|material:spring-steel×1","12.60","2243","—","damage=34;penetration=35;tracking=0.025;attackSeconds=1.45;range=2;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:composite-bow","CombatWeaponSO","equipment-item:weapon:composite-bow","1.8","2","100","124","1","1","research:equipment:bowyery","material:iron","material:bowstring×1|material:iron-ingot×2|material:laminated-lumber×1|material:rope×1","4.38","119","—","damage=12;penetration=8;tracking=0.05;attackSeconds=0.9;range=20;magazine=1;reloadSeconds=0.85;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:crossbow","CombatWeaponSO","equipment-item:weapon:crossbow","3.8","2","100","132","1","1","research:equipment:mechanical-projectiles","material:iron","component:machine-parts×1|material:bowstring×1|material:iron-ingot×3|material:laminated-lumber×1","6.48","243","—","damage=14;penetration=12;tracking=0.03;attackSeconds=1;range=18;magazine=1;reloadSeconds=2.2;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:dagger","CombatWeaponSO","equipment-item:weapon:dagger","0.7","1","100","28","0","0","—","material:iron","material:iron-ingot×1","0.9","40","—","damage=7;penetration=4;tracking=0.14;attackSeconds=0.7;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:estoc","CombatWeaponSO","equipment-item:weapon:estoc","2.2","1","100","64","1","1","research:metallurgy:steel","material:iron","material:iron-ingot×2","1.8","80","—","damage=13;penetration=19;tracking=0.075;attackSeconds=0.86;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:falchion","CombatWeaponSO","equipment-item:weapon:falchion","1.7","1","100","64","1","1","research:equipment:weapon-patterns","material:iron","material:iron-ingot×2","1.8","80","—","damage=12;penetration=7;tracking=0.09;attackSeconds=0.95;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:greatsword","CombatWeaponSO","equipment-item:weapon:greatsword","4.6","2","100","116","1","1","research:metallurgy:steel","material:iron","component:growth-frame×1|material:iron-ingot×4","6.65","814","—","damage=20;penetration=12;tracking=0.04;attackSeconds=1.4;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:halberd","CombatWeaponSO","equipment-item:weapon:halberd","4.2","2","100","116","1","1","research:equipment:weapon-patterns","material:iron","component:growth-frame×1|material:iron-ingot×4","6.65","814","—","damage=17;penetration=13;tracking=0.05;attackSeconds=1.25;range=2;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:handgonne","CombatWeaponSO","equipment-item:weapon:handgonne","4.8","2","100","168","2","2","research:equipment:ignition-mechanisms","material:iron","component:engineering-drawing×1|component:machine-parts×1|component:precision-parts×1|material:iron-ingot×4","8.75","563","—","damage=28;penetration=25;tracking=0.02;attackSeconds=1.6;range=16;magazine=1;reloadSeconds=7.5;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:heavy-matchlock","CombatWeaponSO","equipment-item:weapon:heavy-matchlock","8.4","2","100","248","3","3","research:equipment:pressure-barrels","material:iron","component:engineering-drawing×1|component:growth-frame×1|component:machine-parts×1|component:precision-parts×1|material:barrel-steel×1|material:iron-ingot×7","16.65","1531","—","damage=48;penetration=46;tracking=0.01;attackSeconds=2.15;range=28;magazine=1;reloadSeconds=14;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:javelin","CombatWeaponSO","equipment-item:weapon:javelin","2","1","100","48","0","0","—","material:wood","material:lumber×2","2.4","10","—","damage=12;penetration=8;tracking=0.05;attackSeconds=1.1;range=11;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:longbow","CombatWeaponSO","equipment-item:weapon:longbow","2.1","2","100","112","1","1","research:equipment:bowyery","material:wood","material:bowstring×1|material:lumber×2|material:rope×1","3.38","26","—","damage=10;penetration=6;tracking=0.04;attackSeconds=1.2;range=18;magazine=1;reloadSeconds=1;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:longsword","CombatWeaponSO","equipment-item:weapon:longsword","1.8","1","100","72","1","1","research:equipment:weapon-patterns","material:iron","component:growth-frame×1|material:iron-ingot×2","4.85","734","—","damage=10;penetration=7;tracking=0.08;attackSeconds=1.05;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:mace","CombatWeaponSO","equipment-item:weapon:mace","2.8","1","100","72","1","1","research:metallurgy:iron","material:iron","material:iron-ingot×3","2.7","120","—","damage=12;penetration=4;tracking=0.04;attackSeconds=1.25;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:mana-lance","CombatWeaponSO","equipment-item:weapon:mana-lance","4.9","2","100","256","4","4","research:equipment:rune-module-tuning","material:iron","component:rune-conductor×1|material:iron-ingot×4","6.0","505","—","damage=27;penetration=26;tracking=0.05;attackSeconds=1.2;range=2;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
