"item_id","unit_weight_g","max_stack","max_stack_kg","unit_price","sale_rate","stock_category"
"ammo:armor-piercing-cartridge","275","40","11","16","0.592875","7"
"ammo:arrow","60","50","3","1","n/a","7"
"ammo:arrow-bone","80","100","8","5","0.580333","7"
"ammo:arrow-iron","90","100","9","9","0.591667","7"
"ammo:arrow-rune","80","75","6","33","0.588323","7"
"ammo:arrow-steel","85","100","8.5","17","0.583","7"
"ammo:blacksteel-bolt","150","120","18","119","0.596053","7"
"ammo:blasting-charge","2900","4","11.6","32","0.595906","7"
"ammo:bolt","90","40","3.6","2","n/a","7"
"ammo:bolt-bone","100","100","10","6","0.506667","7"
"ammo:bolt-iron","110","100","11","10","0.5416","7"
"ammo:bolt-rune","100","75","7.5","33","0.588343","7"
"ammo:bolt-steel","105","100","10.5","17","0.588353","7"
"ammo:incendiary-arrow","150","120","18","26","0.592782","7"
"ammo:incendiary-bolt","150","120","18","26","0.596385","7"
"ammo:mana-disruptor-bolt","150","120","18","63","0.59828","7"
"ammo:paper-cartridge","300","40","12","11","0.597667","7"
"ammo:rune-cartridge","575","20","11.5","53","0.597969","7"
"ammo:scatter-cartridge","325","36","11.7","19","0.57293","7"
"ammo:signal-flare","275","40","11","18","0.582778","7"
"ammo:smoke-cartridge","175","64","11.2","11","0.576061","7"
"ammo:tranquilizer-dart","150","72","10.8","14","0.598738","7"
"ammo:trap-canister","1900","6","11.4","44","0.592333","7"
"apparel:apron","420","1","0.42","19","0.57886","1"
"apparel:belt","200","1","0.2","19","0.578018","1"
"apparel:blouse","380","1","0.38","19","0.578702","1"
"apparel:boots","650","1","0.65","19","0.579632","1"
"apparel:ceremonial-dress","1050","1","1.05","25","0.588347","1"
"apparel:chest-wrap","150","1","0.15","19","0.577807","1"
"apparel:cloak","720","1","0.72","19","0.579842","1"
"apparel:contract-sash","150","1","0.15","19","0.577807","1"
"apparel:daily-robe","850","1","0.85","19","0.580228","1"
"apparel:envoy-coat","900","1","0.9","25","0.588053","1"
"apparel:farmer-workwear","1000","1","1","19","0.580649","1"
"apparel:festival-vest","480","1","0.48","19","0.57907","1"
"apparel:footwraps","100","1","0.1","19","0.577579","1"
"apparel:formal-coat","820","1","0.82","25","0.58788","1"
"apparel:gloves","250","1","0.25","19","0.578228","1"
"apparel:golem-functional-lining","700","1","0.7","19","0.579789","1"
"apparel:hat","200","1","0.2","19","0.578018","1"
"apparel:heat-work-suit","1350","1","1.35","25","0.588893","1"
"apparel:hooded-robe","1000","1","1","25","0.58824","1"
"apparel:horn-ring","100","1","0.1","13","0.560821","1"
"apparel:keeper-coat","1150","1","1.15","25","0.588533","1"
"apparel:loincloth-underwear","160","1","0.16","19","0.577842","1"
"apparel:long-underpants","350","1","0.35","19","0.578596","1"
"apparel:lower-underwear","180","1","0.18","19","0.57793","1"
"apparel:miner-workwear","1250","1","1.25","25","0.58872","1"
"apparel:mourning-clothes","850","1","0.85","19","0.580228","1"
"apparel:raincoat","1100","1","1.1","25","0.58844","1"
"apparel:ritual-robe","950","1","0.95","25","0.588147","1"
"apparel:scarf","180","1","0.18","19","0.57793","1"
"apparel:shorts","320","1","0.32","19","0.578491","1"
"apparel:skirt","420","1","0.42","19","0.57886","1"
"apparel:sky-chorus-shawl","220","1","0.22","19","0.578105","1"
"apparel:sleep-bottom","320","1","0.32","19","0.578491","1"
"apparel:sleep-top","350","1","0.35","19","0.578596","1"
"apparel:smith-apron","900","1","0.9","25","0.588053","1"
"apparel:smoke-protection-hood","380","1","0.38","25","0.586893","1"
"apparel:socks","120","1","0.12","19","0.577684","1"
"apparel:spore-garden-cloak","780","1","0.78","25","0.5878","1"
"apparel:spore-protection-hood","350","1","0.35","25","0.586827","1"
"apparel:sterile-gown","520","1","0.52","19","0.579211","1"
"apparel:surgical-apron","620","1","0.62","25","0.587453","1"
"apparel:tail-guard","350","1","0.35","19","0.578596","1"
"apparel:tail-ribbon","80","1","0.08","19","0.577491","1"
"apparel:trousers","500","1","0.5","19","0.57914","1"
"apparel:tunic","450","1","0.45","19","0.578965","1"
"apparel:undershirt","200","1","0.2","19","0.578018","1"
"apparel:vest","400","1","0.4","19","0.578789","1"
"apparel:waterproof-work-suit","1380","1","1.38","25","0.588947","1"
"apparel:weapon-vigil-cloak","800","1","0.8","25","0.58784","1"
"apparel:wing-cloak","600","1","0.6","19","0.579474","1"
"apparel:wing-harness","500","1","0.5","19","0.57914","1"
"apparel:work-shirt","480","1","0.48","19","0.57907","1"
"book:seasonal-almanac","1100","1","1.1","22","0.594439","1"
"captivity:extracted-blood","500","20","10","22","n/a","8"
"captivity:memory-residue","200","20","4","35","n/a","9"
"captivity:restraints","2500","10","25","18","n/a","1"
"component:blacksteel-defense-plate","2350","50","117.5","653","0.599987","1"
"component:blast-coat-shell","1150","50","57.5","46","0.589029","1"
"component:brigandine-padding","1150","50","57.5","40","0.592833","1"
"component:climate-control-manifold","2350","50","117.5","130","0.599044","1"
"component:corridor-detonator","2350","50","117.5","161","0.596973","1"
"component:dreamweave-rune-lining","1350","50","67.5","378","0.598698","1"
"component:engineering-drawing","900","50","45","22","0.594182","1"
"component:factory-installation-plan","1150","50","57.5","59","0.591034","1"
"component:golem-core-case","2550","50","127.5","476","0.599022","1"
"component:growth-frame","3050","50","152.5","654","0.5998","1"
"component:insulated-wiring","2500","50","125","93","0.599398","1"
"component:lead-counterweight","2100","50","105","58","0.598483","1"
"component:machine-parts","2100","50","105","91","0.593707","1"
"component:mana-shield-plate","2350","50","117.5","52","0.595679","1"
"component:material-test-coupon","2350","50","117.5","132","0.599919","1"
"component:paper-paste","1100","50","55","13","0.560487","1"
"component:powered-armor-joint","2350","50","117.5","723","0.599723","1"
"component:precision-optics","2350","50","117.5","327","0.598439","1"
"component:precision-parts","2150","50","107.5","290","0.598297","1"
"component:price-board","1800","50","90","27","0.59779","1"
"component:prototype-package","1100","50","55","129","0.598579","1"
"component:reclaimed-water-filter","1150","50","57.5","20","0.591067","1"
"component:room-partition-kit","1950","50","97.5","54","0.597025","1"
"component:rune-bus-coupler","1200","50","60","509","0.599086","1"
"component:rune-conductor","2400","50","120","345","0.598835","1"
"component:rune-control-panel","1200","50","60","667","0.599295","1"
"component:rune-leather-lining","1350","50","67.5","234","0.599799","1"
"component:rune-leather-strap","1350","50","67.5","587","0.599461","1"
"component:rune-purification-crystal","1200","50","60","429","0.598839","1"
"component:rune-tuning-shield","2550","50","127.5","421","0.598863","1"
"component:sealed-seasonal-container","1800","50","90","75","0.597773","1"
"component:siege-counterweight","2350","50","117.5","161","0.599878","1"
"component:siege-reinforcement-kit","2350","50","117.5","354","0.599879","1"
"component:stock-sensor-panel","2350","50","117.5","402","0.599318","1"
"component:temporal-stasis-seal","2650","50","132.5","1715","0.599716","1"
"component:textile-hardener","1100","50","55","12","0.562361","1"
"component:waterwheel-drive-shaft","3150","50","157.5","190","0.599426","1"
"container:medical-vial","30","300","9","4","0.526833","1"
"craft:bone-charm","200","40","8","24","0.594556","1"
"craft:candle","200","50","10","16","0.579396","6"
"craft:dreamweave-ritual-banner","1350","50","67.5","174","0.597163","1"
"craft:fang-poison","550","20","11","55","0.599042","8"
"craft:fermented-vinegar","400","50","20","12","0.567389","0"
"craft:gold-ornament","400","20","8","79","0.599675","1"
"craft:resin-balm","600","20","12","37","0.584685","5"
"craft:ritual-reagent","1100","10","11","31","0.584914","8"
"craft:soap","250","50","12.5","19","0.58386","1"
"craft:stone-ornament","1600","30","48","19","0.588456","1"
"craft:toxic-trap-coating","1000","50","50","22","0.585697","1"
"dark:bone","400","50","20","1","n/a","1"
"dark:humanoid_corpse","28000","1","28","0","n/a","1"
"dark:humanoid_meat","650","30","19.5","1","n/a","0"
"drug:blood-stimulant","900","12","10.8","59","0.597881","5"
"drug:dreamleaf-analgesic","425","24","10.2","60","0.591567","5"
"drug:hallucinogenic-distillate","900","12","10.8","37","0.590027","5"
"drug:mana-awakener","650","16","10.4","232","0.597994","5"
"drug:moonflower-tea","250","40","10","9","0.588111","5"
"drug:night-wine","325","40","13","27","0.594802","0"
"drug:vitality-tonic","425","24","10.2","18","0.58937","5"
"equipment-item:armor:articulated-plate","13000","1","13","1563","n/a","2"
"equipment-item:armor:blacksteel-carapace","15000","1","15","2721","n/a","2"
"equipment-item:armor:blast-coat","7000","1","7","539","n/a","2"
"equipment-item:armor:breastplate","9000","1","9","448","n/a","2"
"equipment-item:armor:brigandine","6200","1","6.2","428","n/a","2"
"equipment-item:armor:closed-plate-helm","3800","1","3.8","200","n/a","2"
"equipment-item:armor:cloth-hood","400","1","0.4","52","n/a","2"
"equipment-item:armor:gambeson","3500","1","3.5","801","n/a","2"
"equipment-item:armor:hardened-leather-coat","4800","1","4.8","334","n/a","2"
"equipment-item:armor:iron-helmet","2800","1","2.8","200","n/a","2"
"equipment-item:armor:jack-of-plates","5400","1","5.4","521","n/a","2"
"equipment-item:armor:leather","4200","1","4.2","148","n/a","2"
"equipment-item:armor:leather-cap","800","1","0.8","57","n/a","2"
"equipment-item:armor:mail-coif","1600","1","1.6","212","n/a","2"
"equipment-item:armor:mail-shirt","7500","1","7.5","428","n/a","2"
"equipment-item:armor:padded-hood","800","1","0.8","137","n/a","2"
"equipment-item:armor:powder-cuirass","8200","1","8.2","664","n/a","2"
"equipment-item:armor:powered-harness","18000","1","18","3823","n/a","2"
"equipment-item:armor:rune-ward-mail","9000","1","9","2536","n/a","2"
"equipment-item:armor:scale-coat","8200","1","8.2","1182","n/a","2"
"equipment-item:armor:smoke-hood","1100","1","1.1","209","n/a","2"
"equipment-item:shield:blacksteel","11000","1","11","1903","n/a","2"
"equipment-item:shield:buckler","1800","1","1.8","838","n/a","2"
"equipment-item:shield:iron","6000","1","6","1031","n/a","2"
"equipment-item:shield:mana-buckler","2200","1","2.2","908","n/a","2"
"equipment-item:shield:pavise","12000","1","12","746","n/a","2"
"equipment-item:shield:powered","13000","1","13","1847","n/a","2"
"equipment-item:shield:rune","6500","1","6.5","3229","n/a","2"
"equipment-item:shield:tower","10000","1","10","492","n/a","2"
"equipment-item:shield:wood","3500","1","3.5","85","n/a","2"
"equipment-item:weapon:arquebus","5600","1","5.6","777","n/a","2"
"equipment-item:weapon:blacksteel-poleaxe","6800","1","6.8","2581","n/a","2"
"equipment-item:weapon:composite-bow","1800","1","1.8","232","n/a","2"
"equipment-item:weapon:crossbow","3800","1","3.8","366","n/a","2"
"equipment-item:weapon:dagger","700","1","0.7","69","n/a","2"
"equipment-item:weapon:estoc","2200","1","2.2","138","n/a","2"
"equipment-item:weapon:falchion","1700","1","1.7","138","n/a","2"
"equipment-item:weapon:greatsword","4600","1","4.6","933","n/a","2"
"equipment-item:weapon:halberd","4200","1","4.2","933","n/a","2"
"equipment-item:weapon:handgonne","4800","1","4.8","729","n/a","2"
"equipment-item:weapon:heavy-matchlock","8400","1","8.4","1793","n/a","2"
"equipment-item:weapon:javelin","2000","1","2","52","n/a","2"
"equipment-item:weapon:longbow","2100","1","2.1","122","n/a","2"
"equipment-item:weapon:longsword","1800","1","1.8","816","n/a","2"
"equipment-item:weapon:mace","2800","1","2.8","186","n/a","2"
"equipment-item:weapon:mana-lance","4900","1","4.9","759","n/a","2"
"equipment-item:weapon:matchlock-long-gun","6400","1","6.4","982","n/a","2"
"equipment-item:weapon:matchlock-pistol","2600","1","2.6","1311","n/a","2"
"equipment-item:weapon:pollaxe","4800","1","4.8","255","n/a","2"
"equipment-item:weapon:powered-striking-gauntlet","7200","1","7.2","838","n/a","2"
"equipment-item:weapon:repeating-crossbow","4400","1","4.4","1235","n/a","2"
"equipment-item:weapon:rune-blade","2200","1","2.2","2033","n/a","2"
"equipment-item:weapon:rune-bow","2400","1","2.4","1281","n/a","2"
"equipment-item:weapon:shortbow","1400","1","1.4","122","n/a","2"
"equipment-item:weapon:shotgun","6100","1","6.1","1018","n/a","2"
"equipment-item:weapon:siege-arbalest","8500","1","8.5","1518","n/a","2"
"equipment-item:weapon:sniper-arquebus","6800","1","6.8","2053","n/a","2"
"equipment-item:weapon:spear","2400","1","2.4","73","n/a","2"
"equipment-item:weapon:throwing-axe","1400","1","1.4","138","n/a","2"
"equipment-item:weapon:warhammer","3100","1","3.1","207","n/a","2"
"equipment-item:weapon:windlass-crossbow","5200","1","5.2","1162","n/a","2"
"equipment:cold-work-suit","900","1","0.9","25","0.588053","1"
"equipment:rune-cold-suit","800","1","0.8","25","0.58784","1"
"equipment:slime-warming-pad","300","1","0.3","22","0.574561","1"
"evolution:catalyst:arcane:1","250","20","5","120","n/a","1"
"evolution:catalyst:arcane:10","250","20","5","61440","n/a","1"
"evolution:catalyst:arcane:11","250","20","5","122880","n/a","1"
"evolution:catalyst:arcane:12","250","20","5","245760","n/a","1"
"evolution:catalyst:arcane:13","250","20","5","491520","n/a","1"
"evolution:catalyst:arcane:14","250","20","5","983040","n/a","1"
"evolution:catalyst:arcane:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:arcane:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:arcane:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:arcane:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:arcane:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:arcane:2","250","20","5","240","n/a","1"
"evolution:catalyst:arcane:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:arcane:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:arcane:3","250","20","5","480","n/a","1"
"evolution:catalyst:arcane:4","250","20","5","960","n/a","1"
"evolution:catalyst:arcane:5","250","20","5","1920","n/a","1"
"evolution:catalyst:arcane:6","250","20","5","3840","n/a","1"
"evolution:catalyst:arcane:7","250","20","5","7680","n/a","1"
"evolution:catalyst:arcane:8","250","20","5","15360","n/a","1"
"evolution:catalyst:arcane:9","250","20","5","30720","n/a","1"
"evolution:catalyst:authority:1","250","20","5","120","n/a","1"
"evolution:catalyst:authority:10","250","20","5","61440","n/a","1"
"evolution:catalyst:authority:11","250","20","5","122880","n/a","1"
"evolution:catalyst:authority:12","250","20","5","245760","n/a","1"
"evolution:catalyst:authority:13","250","20","5","491520","n/a","1"
"evolution:catalyst:authority:14","250","20","5","983040","n/a","1"
"evolution:catalyst:authority:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:authority:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:authority:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:authority:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:authority:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:authority:2","250","20","5","240","n/a","1"
"evolution:catalyst:authority:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:authority:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:authority:3","250","20","5","480","n/a","1"
"evolution:catalyst:authority:4","250","20","5","960","n/a","1"
