"disease_id","routes","incubation_days","contagious_days","base_infection_probability","base_severity","target_system","vaccine_allowed","chronic","symptom_profile","field_responses","final_value_source","static_status"
"condition:core-corrosion","128","0","0","0","60","0","0","1","symptom:condition:core-corrosion","response:isolate:condition:core-corrosion|response:environment:condition:core-corrosion","serialized DiseaseDefinitionSO asset","locked"
"disease:ash-lung","1","4","14","0.09","52","2","1","0","symptom:progressive-breathlessness","response:respirator|response:wet-cleaning","serialized DiseaseDefinitionSO asset","locked"
"disease:blood-wasting","4","7","20","0.2","70","4","1","0","symptom:blood-wasting","response:isolate:disease:blood-wasting|response:vaccine:disease:blood-wasting","serialized DiseaseDefinitionSO asset","locked"
"disease:cave-flu","1","2","6","0.18","25","2","1","0","symptom:cave-flu","response:isolate:disease:cave-flu|response:vaccine:disease:cave-flu","serialized DiseaseDefinitionSO asset","locked"
"disease:deep-parasitosis","24","3","12","0.18","48","3","1","0","symptom:wasting-anemia","response:boil-water|response:antiparasitic","serialized DiseaseDefinitionSO asset","locked"
"disease:dream-mold","1","7","20","0.08","57","1","1","0","symptom:shared-dream-delirium","response:dreamless-sedative|response:spore-filter","serialized DiseaseDefinitionSO asset","locked"
"disease:ember-fever","65","2","8","0.16","64","1","1","0","symptom:heat-hallucination","response:cooling-bed|response:vent-seal","serialized DiseaseDefinitionSO asset","locked"
"disease:glass-blood","32","6","18","0.07","68","4","1","0","symptom:crystal-clotting","response:mana-shield|response:blood-filtration","serialized DiseaseDefinitionSO asset","locked"
"disease:green-swarm","64","2","9","0.2","46","4","1","0","symptom:moving-green-rash","response:hot-wash|response:pest-lure","serialized DiseaseDefinitionSO asset","locked"
"disease:gut-rot","24","1","5","0.25","45","3","1","0","symptom:gut-rot","response:isolate:disease:gut-rot|response:vaccine:disease:gut-rot","serialized DiseaseDefinitionSO asset","locked"
"disease:mana-pox","32","5","10","0.08","60","0","1","0","symptom:mana-pox","response:isolate:disease:mana-pox|response:vaccine:disease:mana-pox","serialized DiseaseDefinitionSO asset","locked"
"disease:night-thirst","4","4","16","0.14","62","1","1","0","symptom:nocturnal-thirst","response:sealed-blood-reserve|response:night-watch","serialized DiseaseDefinitionSO asset","locked"
"disease:red-fever","6","3","10","0.1","55","4","1","0","symptom:red-fever","response:isolate:disease:red-fever|response:vaccine:disease:red-fever","serialized DiseaseDefinitionSO asset","locked"
"disease:slime-blight","80","2","10","0.15","65","0","1","0","symptom:slime-blight","response:isolate:disease:slime-blight|response:vaccine:disease:slime-blight","serialized DiseaseDefinitionSO asset","locked"
"disease:spore-lung","1","4","12","0.12","50","2","1","0","symptom:spore-lung","response:isolate:disease:spore-lung|response:vaccine:disease:spore-lung","serialized DiseaseDefinitionSO asset","locked"
"disease:white-spore","65","5","15","0.11","58","4","1","0","symptom:white-mycelial-plaque","response:fungicide-wash|response:dry-isolation","serialized DiseaseDefinitionSO asset","locked"
