"procedure_id","source_path","kind","family","urgency","required_research","required_facility_tags","required_wu","difficulty_penalty","infection_risk","bleeding_risk","requires_anesthesia","requires_restraint","material_bom","material_kg","material_market_value","required_material_count","optional_material_count","final_value_source","static_status"
"procedure:amputation","Assets/Resources/SO/Medical/Procedures/procedure_amputation.asset","4","0","2","research:medical:surgery","28","38","0.18","0.12","0.24","1","1","medicine:standard×2","0.6","70","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:arcane-modification","Assets/Resources/SO/Medical/Procedures/procedure_arcane-modification.asset","9","0","2","research:medical:aberrant-augmentation","6160","88","0.32","0.18","0.24","1","1","resource:mana-crystal×3|medicine:standard×2","1.65","586","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:beastkin-sprint-joint","Assets/Resources/SO/Medical/Procedures/procedure_beastkin-sprint-joint.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:beastkin-tail-reconstruction","Assets/Resources/SO/Medical/Procedures/procedure_beastkin-tail-reconstruction.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:blood-rejuvenation","Assets/Resources/SO/Medical/Procedures/procedure_blood-rejuvenation.asset","1","7","1","research:medical:blood-rejuvenation","8192","72","0.16","0.02","0","0","0","medical:rejuvenation-serum×1","2","370","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:blood-transfusion","Assets/Resources/SO/Medical/Procedures/procedure_blood-transfusion.asset","1","0","2","research:survival:medical","1","10","0.05","0.12","0.05","0","0","medicine:blood-pack×1","0.5","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:corpse-organ-extraction","Assets/Resources/SO/Medical/Procedures/procedure_corpse-organ-extraction.asset","5","0","2","research:medical:anatomy","2","26","0.08","0","0","0","0","medicine:disinfectant×1","0.2","18","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:demon-heat-sac","Assets/Resources/SO/Medical/Procedures/procedure_demon-heat-sac.asset","13","6","1","research:medical:mana-core-engineering","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:demon-mana-core-suture","Assets/Resources/SO/Medical/Procedures/procedure_demon-mana-core-suture.asset","13","6","1","research:medical:mana-core-engineering","12","34","0.12","0.08","0.08","0","0","medical:mana-core-case×1","1.2","662","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:emergency-suture","Assets/Resources/SO/Medical/Procedures/procedure_emergency-suture.asset","0","0","2","research:survival:medical","1","12","0.04","0.16","0.06","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:foreign-body-removal","Assets/Resources/SO/Medical/Procedures/procedure_foreign-body-removal.asset","2","0","2","research:survival:medical","1","16","0.08","0.14","0.1","1","1","medicine:disinfectant×1","0.2","18","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:golem-body-recast","Assets/Resources/SO/Medical/Procedures/procedure_golem-body-recast.asset","11","4","0","research:medical:construct-core-maintenance","32","26","0.04","0","0","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:golem-coolant-refill","Assets/Resources/SO/Medical/Procedures/procedure_golem-coolant-refill.asset","11","4","0","research:medical:construct-core-maintenance","32","26","0.04","0","0","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:golem-power-core","Assets/Resources/SO/Medical/Procedures/procedure_golem-power-core.asset","11","4","0","research:medical:construct-core-maintenance","32","26","0.04","0","0","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:golem-sensor-core","Assets/Resources/SO/Medical/Procedures/procedure_golem-sensor-core.asset","11","4","0","research:medical:construct-core-maintenance","32","26","0.04","0","0","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:golem-servo-alignment","Assets/Resources/SO/Medical/Procedures/procedure_golem-servo-alignment.asset","11","4","0","research:medical:construct-core-maintenance","32","26","0.04","0","0","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:harpy-air-sac-suture","Assets/Resources/SO/Medical/Procedures/procedure_harpy-air-sac-suture.asset","12","3","2","research:medical:avian-prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:harpy-feather-regrowth","Assets/Resources/SO/Medical/Procedures/procedure_harpy-feather-regrowth.asset","12","3","2","research:medical:avian-prosthetics","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:harpy-tail-graft","Assets/Resources/SO/Medical/Procedures/procedure_harpy-tail-graft.asset","12","3","2","research:medical:avian-prosthetics","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:harpy-wing-fixation","Assets/Resources/SO/Medical/Procedures/procedure_harpy-wing-fixation.asset","12","3","2","research:medical:avian-prosthetics","12","34","0.12","0.08","0.08","0","0","material:lumber×1","1.2","5","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:human-neural-assist","Assets/Resources/SO/Medical/Procedures/procedure_human-neural-assist.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:human-precision-prosthetic","Assets/Resources/SO/Medical/Procedures/procedure_human-precision-prosthetic.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:implant-installation","Assets/Resources/SO/Medical/Procedures/procedure_implant-installation.asset","8","0","2","research:medical:prosthetics","28","50","0.18","0.12","0.18","1","1","material:lumber×2|medicine:standard×1","2.7","45","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:kobold-precision-hand","Assets/Resources/SO/Medical/Procedures/procedure_kobold-precision-hand.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:kobold-tail-balance","Assets/Resources/SO/Medical/Procedures/procedure_kobold-tail-balance.asset","13","0","1","research:medical:prosthetics","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
