"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","cells_per_unit","total_cells","construction_wu_per_unit","total_construction_wu","construction_bom_per_unit","total_bom_kg","total_bom_market_value","maintenance_per_unit","total_maintenance","source_path","static_status"
"arcane","960","building:1032","1","research:arcane:records","knowledge-storage","1x1","1","125","125","material:lumber×6","7.2","30","1","1","Assets/Resources/SO/Building/Modular/Q03_연구용책장.asset","bom-resolved"
"arcane","960","building:1091","1","research:arcane:alchemy","alchemy","2x1","2","486","486","material:stone-block×6|component:rune-conductor×3|material:iron-ingot×2|component:machine-parts×2|component:engineering-drawing×1","21.9","1355","4","4","Assets/Resources/SO/Building/Modular/P19_연금대.asset","bom-resolved"
"arcane","960","building:8805","1","research:authority:ritual","ritual-space","1x1","1","360","360","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","26","496","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF05_의식_화로.asset","bom-resolved"
"arcane","960","building:1056","1","research:arcane:advanced","mana-storage","1x1","1","144","144","material:treated-lumber×4|material:iron-ingot×1|component:rune-conductor×1","7.9","441","2","2","Assets/Resources/SO/Building/Modular/L07_마력보관함.asset","bom-resolved"
"arcane","960","building:8897","1","research:arcane:resonance","resonance","1x1","1","1215","1215","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF97_공명_조율실.asset","bom-resolved"
"arcane","960","building:9812","1","research:industry:mana-power","mana-generation","2x1","2","657","657","material:stone-block×8|material:steel-ingot×6|component:machine-parts×3|component:precision-parts×1|component:rune-conductor×2|material:mana-alloy×1","31.15","2221","0","0","Assets/Resources/SO/Building/Industrial/I03_마나_발전기.asset","bom-resolved"
"arcane","960","building:8823","1","research:industry:mana-power","rune-bus","1x1","1","369","369","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2|component:rune-bus-coupler×1","60.9","5711","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF23_룬_버스_결합기.asset","bom-resolved"
"arcane","960","building:9826","1","research:equipment:rune-module-tuning","module-tuning","2x1","2","486","486","material:stone-block×4|material:iron-ingot×3|material:cloth×1|component:rune-conductor×2|material:mana-alloy×1","15.3","1070","0","0","Assets/Resources/SO/Building/Industrial/I17_룬_조율실.asset","bom-resolved"
"arcane","960","building:8867","1","research:medical:regenerative-culture","regenerative-culture","1x1","1","369","369","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF67_재생_배양조.asset","bom-resolved"
"arcane","960","building:8878","1","research:genetics:hereditary-records","lineage-records","1x1","1","558","558","material:lumber×9|material:treated-lumber×3|material:iron-ingot×3|material:paper×6","22.35","261","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF78_유전_기록고.asset","bom-resolved"
"arcane","960","building:8868","1","research:medical:organ-regeneration","organ-regeneration","1x1","1","675","675","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF68_장기_재생_수술실.asset","bom-resolved"
"arcane","960","building:8871","1","research:medical:whole-body-regeneration","whole-body-regeneration","1x1","1","675","675","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF71_전신_재생조.asset","bom-resolved"
"arcane","960","building:8872","1","research:medical:temporal-stasis","temporal-stasis","1x1","1","675","675","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF72_시간_고정실.asset","bom-resolved"
