"portfolio_id","horizon_day","research_id","closure_role","required_wu","maximum_researchers","target_chain","source_path","numeric_authority","static_status"
"arcane","960","research:agriculture:compost","prerequisite-closure","28","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/agriculture_compost.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:agriculture:field","prerequisite-closure","28","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/agriculture_field.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:agriculture:gathering","prerequisite-closure","17","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/agriculture_gathering.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:agriculture:greenhouse-horticulture","prerequisite-closure","255","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/agriculture_greenhouse_horticulture.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:agriculture:indoor","prerequisite-closure","60","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/agriculture_indoor.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:agriculture:irrigation","prerequisite-closure","42","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/agriculture_irrigation.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:arcane:advanced","explicit-target","42","1","research:arcane:advanced|research:arcane:resonance|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/arcane_advanced.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:arcane:alchemy","explicit-target","28","1","research:arcane:advanced|research:arcane:alchemy|research:arcane:resonance|research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/arcane_alchemy.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:arcane:records","explicit-target","17","1","research:arcane:advanced|research:arcane:alchemy|research:arcane:records|research:arcane:resonance|research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/arcane_records.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:arcane:resonance","explicit-target","60","1","research:arcane:resonance|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/arcane_resonance.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:authority:office","prerequisite-closure","42","1","research:arcane:resonance|research:authority:ritual|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/authority_office.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:authority:prestige","prerequisite-closure","28","1","research:arcane:resonance|research:authority:ritual|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/authority_prestige.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:authority:quarters","prerequisite-closure","17","1","research:arcane:resonance|research:authority:ritual|research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/authority_quarters.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:authority:ritual","explicit-target","60","1","research:arcane:resonance|research:authority:ritual|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/authority_ritual.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:climate:environment-control","prerequisite-closure","437","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/climate_environment_control.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:climate:regional-climatology","prerequisite-closure","3819","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/climate_regional_climatology.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:climate:weather-observation","prerequisite-closure","153","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/climate_weather_observation.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:commerce:logistics","prerequisite-closure","17","1","research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/commerce_logistics.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:defense:watch","prerequisite-closure","17","1","research:arcane:resonance|research:authority:ritual|research:equipment:rune-module-tuning|research:industry:mana-power|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/defense_watch.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:environment:cold-work","prerequisite-closure","42","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/environment_cold_work.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:environment:rune-insulation","prerequisite-closure","84","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/environment_rune_insulation.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:industrial-metrology","prerequisite-closure","437","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/equipment_industrial_metrology.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:material-testing","prerequisite-closure","255","1","research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/equipment_material_testing.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:precision-fitting","prerequisite-closure","328","1","research:equipment:rune-module-tuning|research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/equipment_precision_fitting.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:prototype-engineering","prerequisite-closure","328","1","research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/equipment_prototype_engineering.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:relic-appraisal","prerequisite-closure","306","1","research:equipment:rune-module-tuning|research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/equipment_relic_appraisal.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:equipment:rune-module-tuning","explicit-target","546","1","research:equipment:rune-module-tuning|research:medical:temporal-stasis","Assets/Resources/SO/Research/Projects/equipment_rune_module_tuning.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:forestry:charcoal","prerequisite-closure","42","1","research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/forestry_charcoal.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:forestry:fungal","prerequisite-closure","84","1","research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/forestry_fungal.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:forestry:logging","prerequisite-closure","28","1","research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/forestry_logging.asset","research-numeric-ledger.csv","closure-resolved"
"arcane","960","research:forestry:sawmill","prerequisite-closure","28","1","research:equipment:rune-module-tuning|research:genetics:hereditary-records|research:industry:mana-power|research:medical:organ-regeneration|research:medical:regenerative-culture|research:medical:temporal-stasis|research:medical:whole-body-regeneration","Assets/Resources/SO/Research/Projects/forestry_sawmill.asset","research-numeric-ledger.csv","closure-resolved"
