"portfolio_id","horizon_day","research_id","closure_role","required_wu","maximum_researchers","target_chain","source_path","numeric_authority","static_status"
"hospitality","960","research:agriculture:field","prerequisite-closure","28","1","research:service:dining-operations","Assets/Resources/SO/Research/Projects/agriculture_field.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:agriculture:gathering","prerequisite-closure","17","1","research:service:dining-operations","Assets/Resources/SO/Research/Projects/agriculture_gathering.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:arcane:alchemy","prerequisite-closure","28","1","research:service-automation","Assets/Resources/SO/Research/Projects/arcane_alchemy.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:arcane:records","prerequisite-closure","17","1","research:service-automation","Assets/Resources/SO/Research/Projects/arcane_records.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:authority:office","prerequisite-closure","42","1","research:authority:ritual","Assets/Resources/SO/Research/Projects/authority_office.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:authority:prestige","explicit-target","28","1","research:authority:prestige|research:authority:ritual","Assets/Resources/SO/Research/Projects/authority_prestige.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:authority:quarters","explicit-target","17","1","research:authority:prestige|research:authority:quarters|research:authority:ritual|research:hospitality-operations|research:service-automation","Assets/Resources/SO/Research/Projects/authority_quarters.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:authority:ritual","explicit-target","60","1","research:authority:ritual","Assets/Resources/SO/Research/Projects/authority_ritual.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:bath-business","prerequisite-closure","42","1","research:service-automation","Assets/Resources/SO/Research/Projects/bath_business.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:commerce:expansion","explicit-target","42","1","research:commerce:expansion|research:commerce:secure-trade","Assets/Resources/SO/Research/Projects/commerce_expansion.asset","research-numeric-ledger.csv","closure-resolved"
"hospitality","960","research:commerce:logistics","explicit-target","17","1","research:commerce:expansion|research:commerce:logistics|research:commerce:retail|research:commerce:secure-trade|research:control:blood-show|research:control:show|research:hospitality-operations|research:service-automation|research:service:dining-operations","Assets/Resources/SO/Research/Projects/commerce_logistics.asset","research-numeric-ledger.csv","closure-resolved"
