"portfolio_id","horizon_day","research_id","closure_role","required_wu","maximum_researchers","target_chain","source_path","numeric_authority","static_status"
"industrial","960","research:agriculture:compost","prerequisite-closure","28","1","research:industry:electric-smelting","Assets/Resources/SO/Research/Projects/agriculture_compost.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:agriculture:field","prerequisite-closure","28","1","research:industry:electric-smelting","Assets/Resources/SO/Research/Projects/agriculture_field.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:agriculture:gathering","prerequisite-closure","17","1","research:industry:electric-smelting","Assets/Resources/SO/Research/Projects/agriculture_gathering.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:arcane:alchemy","prerequisite-closure","28","1","research:industry:electric-smelting","Assets/Resources/SO/Research/Projects/arcane_alchemy.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:arcane:records","prerequisite-closure","17","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:electric-smelting|research:industry:line-balancing|research:industry:storage","Assets/Resources/SO/Research/Projects/arcane_records.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:commerce:logistics","prerequisite-closure","17","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:conveyor|research:industry:electric-smelting|research:industry:lifts|research:industry:line-balancing|research:industry:storage","Assets/Resources/SO/Research/Projects/commerce_logistics.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:defense:fortification","prerequisite-closure","28","1","research:industry:line-balancing","Assets/Resources/SO/Research/Projects/defense_fortification.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:defense:ranged-positions","prerequisite-closure","42","1","research:industry:line-balancing","Assets/Resources/SO/Research/Projects/defense_ranged_positions.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:defense:tactical-command","prerequisite-closure","60","1","research:industry:line-balancing","Assets/Resources/SO/Research/Projects/defense_tactical_command.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:defense:watch","prerequisite-closure","17","1","research:industry:line-balancing","Assets/Resources/SO/Research/Projects/defense_watch.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:forestry:charcoal","prerequisite-closure","42","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:conveyor|research:industry:electric-smelting|research:industry:lifts|research:industry:line-balancing|research:industry:steam-power|research:industry:storage","Assets/Resources/SO/Research/Projects/forestry_charcoal.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:forestry:logging","prerequisite-closure","28","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:conveyor|research:industry:electric-smelting|research:industry:lifts|research:industry:line-balancing|research:industry:steam-power|research:industry:storage","Assets/Resources/SO/Research/Projects/forestry_logging.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:forestry:sawmill","prerequisite-closure","28","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:conveyor|research:industry:electric-smelting|research:industry:lifts|research:industry:line-balancing|research:industry:steam-power|research:industry:storage","Assets/Resources/SO/Research/Projects/forestry_sawmill.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:forestry:tools","explicit-target","17","1","research:forestry:tools|research:industry:assisted-processing|research:industry:automatic-bills|research:industry:conveyor|research:industry:electric-smelting|research:industry:lifts|research:industry:line-balancing|research:industry:steam-power|research:industry:storage","Assets/Resources/SO/Research/Projects/forestry_tools.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:industry:assisted-processing","explicit-target","328","1","research:industry:assisted-processing|research:industry:automatic-bills|research:industry:line-balancing|research:industry:storage","Assets/Resources/SO/Research/Projects/industry_assisted_processing.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:industry:automatic-bills","explicit-target","873","1","research:industry:automatic-bills|research:industry:line-balancing|research:industry:storage","Assets/Resources/SO/Research/Projects/industry_automatic_bills.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:industry:breakers","prerequisite-closure","582","1","research:industry:storage","Assets/Resources/SO/Research/Projects/industry_breakers.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:industry:conveyor","explicit-target","582","1","research:industry:automatic-bills|research:industry:conveyor|research:industry:lifts|research:industry:line-balancing|research:industry:storage","Assets/Resources/SO/Research/Projects/industry_conveyor.asset","research-numeric-ledger.csv","closure-resolved"
"industrial","960","research:industry:electric-smelting","explicit-target","655","1","research:industry:electric-smelting","Assets/Resources/SO/Research/Projects/industry_electric_smelting.asset","research-numeric-ledger.csv","closure-resolved"
