"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","cells_per_unit","total_cells","construction_wu_per_unit","total_construction_wu","construction_bom_per_unit","total_bom_kg","total_bom_market_value","maintenance_per_unit","total_maintenance","source_path","static_status"
"sanctuary","960","building:1095","1","research:agriculture:field","field-production","3x1","3","425","425","material:cloth×6|material:iron-ingot×2|component:machine-parts×2|supply:nitrate-fertilizer×1","8.3","313","3","3","Assets/Resources/SO/Building/Modular/P23_야외경작지.asset","bom-resolved"
"sanctuary","960","building:1087","1","research:cuisine:crops","food-processing","2x1","2","312","312","material:treated-lumber×6|material:iron-ingot×4|material:stone-block×2|component:machine-parts×2","17.3","438","3","3","Assets/Resources/SO/Building/Modular/P15_조리대.asset","bom-resolved"
"sanctuary","960","building:1097","1","research:survival:sanitation","waste-control","2x1","2","895","895","material:stone-block×8|material:iron-ingot×8|component:machine-parts×2","21.8","550","3","3","Assets/Resources/SO/Building/Modular/P25_폐기소각로.asset","bom-resolved"
"sanctuary","960","building:8802","1","research:agriculture:irrigation","water-control","1x1","1","234","234","material:stone-block×8|material:treated-lumber×4|material:iron-ingot×6|resource:clean-water×4","22.4","348","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF02_중력식_수문.asset","bom-resolved"
"sanctuary","960","building:8850","1","research:agriculture:phenology","seasonal-planning","1x1","1","364","364","material:lumber×9|material:treated-lumber×2|material:iron-ingot×3|material:paper×6","21.2","247","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF50_작물_달력대.asset","bom-resolved"
"sanctuary","960","building:1088","1","research:survival:preservation","reserve-processing","2x1","2","318","318","material:stone-block×6|material:iron-ingot×4|component:machine-parts×3","17.7","469","4","4","Assets/Resources/SO/Building/Modular/P16_훈연대.asset","bom-resolved"
"sanctuary","960","building:8852","1","research:agriculture:soil-cycles","soil-specialization","1x1","1","522","522","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","26","496","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF52_토양_검사대.asset","bom-resolved"
"sanctuary","960","building:8853","1","research:survival:seasonal-storage","seasonal-reserve","1x1","1","351","351","material:lumber×10|material:treated-lumber×4|material:cloth×6|material:stone-block×4|component:sealed-seasonal-container×1","24.8","241","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF53_계절_저장_선반.asset","bom-resolved"
"sanctuary","960","building:8849","1","research:life:seasonal-calendar","seasonal-coordination","1x1","1","234","234","material:lumber×6|material:treated-lumber×2|material:iron-ingot×3|material:paper×6","17.6","232","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF49_계절력_기록대.asset","bom-resolved"
"sanctuary","960","building:8893","1","research:agriculture:cultivar-breeding","cultivar-greenhouse","1x1","1","351","351","material:treated-lumber×12|material:stone-block×8|material:iron-ingot×6|resource:clean-water×12|component:machine-parts×2|material:cloth×4","40.6","674","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF93_육종_온실.asset","bom-resolved"
"sanctuary","960","building:8855","1","research:husbandry:seasonal-breeding","breeding-stable","1x1","1","552","552","material:lumber×15|material:treated-lumber×6|material:cloth×9|material:stone-block×4","31.9","237","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF55_번식_일정_축사.asset","bom-resolved"
"sanctuary","960","building:8876","1","research:health:vaccination","vaccine-research","1x1","1","369","369","material:stone-block×12|material:steel-ingot×8|component:machine-parts×4|component:precision-parts×4|component:engineering-drawing×2","41.2","2560","4","4","Assets/Resources/SO/Building/ResearchOverhaul/RF76_백신_연구실.asset","bom-resolved"
