"portfolio_id","horizon_day","selected_facility_rows","total_cells","facility_construction_wu","cumulative_primary_budget_wu","primary_budget_utilization_pct","total_bom_kg","total_bom_market_value","numeric_maintenance","unresolved_bom_reference_count","static_status"
"arcane","30","3","4","971","1370","70.88","55.1","1881","7","0","within-budget"
"arcane","120","7","9","3356","13370","25.1","214.75","15456","21","0","within-budget"
"arcane","400","10","13","4769","89370","5.34","312.1","21989","28","0","within-budget"
"arcane","960","13","16","6794","262170","2.59","491.2","37595","46","0","within-budget"
"expeditionary","30","3","3","1126","1210","93.06","37.15","722","6","0","within-budget"
"expeditionary","120","6","7","2396","11410","21","86.85","1546","15","0","within-budget"
"expeditionary","400","11","12","4661","73410","6.35","195.15","6030","mixed-or-not-authored","0","within-budget"
"expeditionary","960","12","13","5030","212610","2.37","236.35","8590","mixed-or-not-authored","0","within-budget"
"hospitality","30","3","3","654","1660","39.4","53.5","772","5","0","within-budget"
"hospitality","120","6","8","1264","13660","9.25","110.9","3472","11","0","within-budget"
"hospitality","400","9","11","2380","89660","2.65","165.65","5086","16","0","within-budget"
"hospitality","960","11","13","2890","262460","1.1","205.9","5691","19","0","within-budget"
"industrial","30","2","4","1188","1320","90","54.7","1323","5","0","within-budget"
"industrial","120","5","12","2883","12120","23.79","123","3884","13","0","within-budget"
"industrial","400","9","21","6448","84120","7.67","195.95","8372","15","0","within-budget"
"industrial","960","12","26","8863","247320","3.58","257.3","12169","19","0","within-budget"
"sanctuary","30","2","5","737","1550","47.55","25.6","751","6","0","within-budget"
"sanctuary","120","6","11","2548","12950","19.68","108.7","2365","16","0","within-budget"
"sanctuary","400","9","14","3655","86950","4.2","177.1","3334","20","0","within-budget"
"sanctuary","960","12","17","4927","259750","1.9","290.8","6805","27","0","within-budget"
"underground","30","3","6","786","1730","45.43","49.5","1311","9","0","within-budget"
"underground","120","6","11","2079","14330","14.51","148.85","3150","13","0","within-budget"
"underground","400","9","16","3543","96330","3.68","249.9","8763","20","0","within-budget"
"underground","960","11","19","4539","293130","1.55","334.3","14626","31","0","within-budget"
