"portfolio_id","horizon_day","active_adults","effective_wu_per_day","daily_operating_wu","daily_primary_wu","daily_research_wu","daily_reserve_wu","cumulative_operating_wu","cumulative_primary_wu","cumulative_research_wu","cumulative_reserve_wu","minimum_food_stock_days","minimum_water_stock_days","minimum_critical_stock_days","maximum_single_network_share","maximum_recovery_days"
"arcane","10","3","135","85","17","25","8","850","170","250","80","5","5","5","0.65","3"
"arcane","30","6","270","165","40","48","17","5800","1370","1690","590","9","9","12","0.65","5"
"arcane","120","12","540","345","100","75","20","47200","13370","10690","2990","20","20","30","0.65","10"
"arcane","400","24","1080","715","190","140","35","333200","89370","66690","16990","45","45","55","0.60","15"
"arcane","960","24","1080","725","180","135","40","1029200","262170","196290","55390","45","50","70","0.55","30"
"expeditionary","10","3","135","91","16","18","10","910","160","180","100","5","5","5","0.65","3"
"expeditionary","30","6","270","177","35","42","16","6220","1210","1440","580","8","8","12","0.65","5"
"expeditionary","120","12","540","360","85","70","25","49420","11410","9840","3580","18","18","30","0.65","10"
"expeditionary","400","24","1080","725","155","155","45","339420","73410","71840","21580","30","30","55","0.60","15"
"expeditionary","960","24","1080","750","145","145","40","1059420","212610","211040","59980","30","35","70","0.55","30"
"hospitality","10","3","135","83","22","15","15","830","220","150","150","5","5","4","0.65","3"
"hospitality","30","6","270","158","48","38","26","5570","1660","1290","930","9","8","10","0.65","5"
"hospitality","120","12","540","310","100","70","60","42770","13660","9690","8130","15","15","25","0.65","10"
"hospitality","400","24","1080","630","190","155","105","294770","89660","71690","50130","30","30","45","0.60","15"
"hospitality","960","24","1080","660","180","145","95","928370","262460","210890","141330","30","35","60","0.55","30"
"industrial","10","3","135","99","18","8","10","990","180","80","100","5","5","4","0.65","3"
"industrial","30","6","270","203","38","15","14","7080","1320","530","520","10","9","10","0.65","5"
"industrial","120","12","540","390","90","35","25","53880","12120","4730","3520","22","20","25","0.65","10"
"industrial","400","24","1080","803","180","55","42","375080","84120","26730","20320","45","40","45","0.60","15"
"industrial","960","24","1080","812","170","50","48","1154600","247320","74730","66400","45","45","60","0.55","30"
"sanctuary","10","3","135","95","20","8","12","950","200","80","120","5","5","2","0.70","3"
"sanctuary","30","6","270","187","45","20","18","6560","1550","680","660","12","10","5","0.70","5"
"sanctuary","120","12","540","365","95","45","35","50360","12950","6080","4860","30","25","15","0.70","10"
"sanctuary","400","24","1080","725","185","95","75","340360","86950","44080","34860","60","50","30","0.65","15"
"sanctuary","960","24","1080","730","180","95","75","1041160","259750","135280","106860","60","60","45","0.60","30"
"underground","10","3","135","92","23","8","12","920","230","80","120","5","5","3","0.70","3"
"underground","30","6","270","185","50","22","13","6470","1730","740","510","10","10","6","0.70","5"
"underground","120","12","540","365","105","45","25","50270","14330","6140","3510","20","22","18","0.70","10"
"underground","400","24","1080","730","205","95","50","342270","96330","44140","23510","45","45","35","0.65","15"
"underground","960","24","1080","735","205","90","50","1047870","293130","130540","71510","45","50","50","0.60","30"
