"portfolio_id","horizon_day","explicit_target_count","unique_research_count","research_closure_wu","cumulative_research_budget_wu","budget_utilization_pct","remaining_research_choice_wu","unresolved_prerequisite_count","static_status"
"arcane","30","3","7","209","1690","12.37","1481","0","within-budget"
"arcane","120","6","25","5387","10690","50.39","5303","0","within-budget"
"arcane","400","9","64","11860","66690","17.78","54830","0","within-budget"
"arcane","960","12","90","43423","196290","22.12","152867","0","within-budget"
"expeditionary","30","3","5","121","1440","8.4","1319","0","within-budget"
"expeditionary","120","7","18","671","9840","6.82","9169","0","within-budget"
"expeditionary","400","11","35","3007","71840","4.19","68833","0","within-budget"
"expeditionary","960","14","44","4421","211040","2.09","206619","0","within-budget"
"hospitality","30","3","3","62","1290","4.81","1228","0","within-budget"
"hospitality","120","6","9","279","9690","2.88","9411","0","within-budget"
"hospitality","400","9","29","1604","71690","2.24","70086","0","within-budget"
"hospitality","960","12","42","2111","210890","1","208779","0","within-budget"
"industrial","30","3","3","51","530","9.62","479","0","within-budget"
"industrial","120","6","9","651","4730","13.76","4079","0","within-budget"
"industrial","400","10","32","5752","26730","21.52","20978","0","within-budget"
"industrial","960","13","39","8882","74730","11.89","65848","0","within-budget"
"sanctuary","30","3","4","79","680","11.62","601","0","within-budget"
"sanctuary","120","6","11","588","6080","9.67","5492","0","within-budget"
"sanctuary","400","9","42","5014","44080","11.37","39066","0","within-budget"
"sanctuary","960","12","62","11618","135280","8.59","123662","0","within-budget"
"underground","30","3","8","237","740","32.03","503","0","within-budget"
"underground","120","6","27","1693","6140","27.57","4447","0","within-budget"
"underground","400","9","67","10605","44140","24.03","33535","0","within-budget"
"underground","960","12","72","15710","130540","12.03","114830","0","within-budget"
